,owner_name
700,TARA APTS LLC
701,DEXTER MULTIFAMILY LLC
702,GRAHAM THOMAS P III+NANCY BOURGOIS
703,100 ALOHA LP
704,ADAMS PAUL G
705,DEXTER HOUSE ASSOCIATES L L C
706,TOWNVUE HEIGHTS LLC
707,CROSSPOINTE INVESTMENTS LLC
708,GILBERT SEATTLE GROUP LLC
709,VALI-HAI LIMITED PARTNERSHIP
710,FIRST AND ROY LP
711,BEL-AIR L L C
712,AQUA TERRACE LLC
713,ORION APARTMENTS LLC
714,TB 800 SECOND AVENUE LLC
715,TW BRIGHT STARS II LLC
716,MGP 42 LLC
717,DELMONT APARTMENTS LLC
718,QUEENS OAKS LLC
719,RAR2 QUEEN ANNE-SEVEN HILLS QRS LLC
720,T-C UPTOWN APAPRTMENTS LLC
721,BPP HOLLAND JUXT LLC
722,CHAMPION SLU PROPERTY LLC
723,GDCV LOWER QUEEN ANNE LLC
724,ALTHOFF FAMILY LP
725,ACME WMR THE Q APARTMENT LLC
726,SUMMIT AT LAKE UNION APARTMENTS II LLC
727,229 QUEEN ANNE NORTH LLC
728,SI XXI LLC
729,975 JOHN STREET LLC
730,WSDOT
731,BOREALIS APARTMENTS LLC
732,SEATTLE UNITY CHURCH
733,VIEW 222 APARTMENTS LLC
734,ESSEX BERNARD LP
735,SEIM VIRGINIA C
736,EQR-ALCYONE APARTMENTS LLC
737,LAKEVIEW APARTMENTS LPS % LIHI
738,400 FAIRVIEW LLC
739,MERCER VIEW APARTMENTS LLC
740,PPF AMLI 535 PONTIUS AVENUE NORTH LLC
741,CASCADE SENIOR HOUSING LIMITED PARTNERSHIP % LOW INCOME HOUSING INSTITUTE
742,DESC CASCADE SUPPORTIVE HOUSING LP
743,801 DEXTER INVESTORS L P
744,SHLP NEPTUNE LLC
745,2016 E ROANOKE APARTMENTS LLC +TUDOR APTS LLC
746,SULMONETTI ZINN LLC
747,ESSEX PORTFOLIO LP
748,HASS FAMILY LLC
749,W R P LAKE UNION LTD PTNRSHP
750,CONNELL WESTLAKE LLC
751,UNION VIEW APARTMENTS LLC
752,ALLEY SEATTLE LLC
753,9TH & REPUBLICAN LLC
754,TOP OF THE 5TH LLC
755,WPPI SEATTLE AC LLC
756,17910 BURBANK LLC
757,400 QUEEN ANNE LP
758,DEXTER CITY LLC
759,TREA UNION AT SLU APRTMENTS LLC
760,RIVET URBAN HOMES LLC+RIVET URBAN HOMES II LLC
761,RAR2 QUEEN ANNE - METRO MARKET QRS LLC
762,APERTURE ON FIFTH AVE APARTMENTS LLC
763,KW RADIUS LLC +LF RADIUS TIC LLC
764,GREENWOOD PLACE L L C
765,CLARENDON KS LLC (76.22%-INT)+CLARENDON RAY LLC (23.78%-INT) (TNTS IN CMN)
766,EQR-MARK ON 8TH LLC
767,24 ETRURIA LLC
768,BPP HOLLAND MARINA SLU LLC
769,219 1ST AVE N LLC
770,IRP CHROMA APARTMENTS LLC
771,CITY INVESTORS XXIV LLC
772,AMSTAR KOZ SLU LLC
773,1511 DEXTER LIMITED PS
774,624 YALE OWNER LLC
775,JUNE APARTMENTS LLC
776,BELKORP ORION LLC
777,403 DEXTER AVENUE NORTH GROUND OWNER LLC
778,FREMONT BRIDGE PARTNERS LLC
779,QUALITY FOOD CENTERS
780,NAUTICAL LANDING LLC
781,SPACE NEEDLE LLC
782,CITY INVESTORS XXX LLC
783,HOLY NAMES ACADEMY
784,HUNT JULIA ROSE
785,ASC MADISON LLC
786,SINGLETON FAMILY OF WASHINGTON L L C
787,GREENLIND BUILDING LLC
788,BROADMOOR GOLF CLUB
789,ADELPHI LLC
790,ELIZABETH JAMES SENIOR HOUSING
791,ANHALT APARTMENT LLC
792,BUCKLEY GROUP LLC
793,BROTHERTON-PLEAS
794,RP-SEASONS APTS LLC
795,19TH AVENUE GARDEN COURT L L C
796,RM LITTLEFIELD LLC
797,CAPITOL HILL HOUSING PROGRAM
798,ASTOR COURT LLC
799,ANDREWS APARTMENTS LLC
800,PGA LEGACY LLC
801,RUTH COURT APARTMENTS LLC
802,PENN HALL ASSOCIATES
803,MIHOLOVICH PROPERTIES L L C
804,MERCER TOWERS LTD LLC
805,PARKSIDE LIMITED LIABILITY COMPANY
806,PARKSIDE LLC
807,MADISON PARK I LLP
808,LAKE COURT APARTMENTS L.L.C
809,MADISON GATE INVESTORS 2016 LLC
810,STARBOARD MADISON VIEW DST
811,1608 EAST REPUBLICAN L L C
812,WRP ASSOCIATES 19TH AVE LLC
813,WRIGHT ERIN L
814,MERCER ST I LLC+MERCER II LLC+MERCER III LLC+MERCER IV LLC+MERCER V LLC
815,605 15TH AVENUE LLC
816,WC SEATTLE VI SPE LLC
817,2200 BOSTON LLC
818,MULBERG CLIFFORD R+RUTH M
819,EPIC PROPERTY MANAGEMENT L L C
820,VIRGINIA MASON MEDICAL CENTER % MARY ANNE OLMSTEAD
821,SAFEWAY STORES 98 INC
822,MLK FAMILY ARTS MENTORING ENRICHMENT COMMUNITY CENTER
823,NORTHGATE LODGING LLLP
824,BRYSON PROPERTIES L L C
825,NICOLA NORTHGATE LP
826,SCU HOLDINGS LLC
827,444 RAVENNA LLC
828,TEMPLE BETH AM
829,SFB-B LIMITED PARTNERSHIP
830,8512 35TH AVENUE LLC
831,WILLOW CREEK PROPERTIES LLC
832,IDA CULVER HOUSE RAVENNA LLC
833,CSH MAPLE LEAF LLC
834,LUTHERAN RETIREMENT HOME OF GREATER SEATTLE
835,442 NE MAPLE PLACE LLC
836,ASC RAVENNA LLC
837,NORTH SEATTLE PROFESSIONAL CENTER LLC
838,GROUP HEALTH COOPERATIVE PUGET
839,UNIVERSITY PREPARATORY ACADEMY
840,WOODLAND PARK CHURCH GOD
841,9709 THIRD AVENUE INVESTORS LLC
842,NORTHGATE ATHLETIC CLUB LLC
843,BECK TIM
844,TRINITY LAKEVIEW COURT LLC
845,VISTA POINT APARTMENTS LLC
846,LANGER PROPERTIES LLC +MOD APARTMENT INVESTORS LLC
847,LORING GROUP LLC
848,CRYSTAL COURT APARTMENTS LLC
849,9100 ROOSEVELT 2021 LLC +JIMMYJAX 9100 2021 LLC
850,TBBK LLC
851,BLACKWOOD PROPERTIES LLC
852,2020 A&D LLC
853,RAVENNA HOUSE 2015 LLC
854,TELFORD HOLDINGS INC
855,OTT DEVELOPMENT LLC
856,JASPER 91 LLC
857,HIVE APARTMENTS LLC
858,SOB DEVELOPMENT LLC
859,CASCADIA PARTNERS LLC
860,MCPHEE MADELYN+SHELTON MARILYN
861,ALADDIN LLC % DAVID+ANNE G HURLBUT
862,TREA CIRCA GREEN LAKE LLC
863,NITORI YUKI
864,LANGER PROPERTIES LLC
865,EDMONDS SW LLC
866,OSWEGO ARMS LLC
867,RIVENDELL LLC
868,HUP MORNINGSIDE LLC
869,SAND POINT COMMUNITY HOUSING ASSOC
870,SPH TWO LLLP
871,HB ECOLUXE PARTNERS LLC
872,7011 ROOSEVELT WAY NE LLC
873,SRMAHULLUNA LLC
874,6700 ROOSEVELT APARTMENTS LLC
875,DALLY PROPERTIES LLC
876,ROOSTER APARTMENTS I LLC
877,GREEN LAKE JOINT VENTURE LLC
878,EQR-SQUARE ONE LLC
879,SEDONA APARTMENTS LLC
880,ROOSTER APARTMENTS LLC
881,MU 68TH & 8TH OWNER LLC
882,GREEN LAKE PHASE II LLC
883,SRMAHULBROOKLYN65 LLC
884,RISE FLATS LLC
885,SRMAHULTRACK66 LLC
886,68TH AND ROOSEVELT LLC
887,BROOKLYN COURT LLC
888,METRO SELF STORAGE
889,ROOSEVELT ECONO-MINI STORAGE LLC
890,CLAY HEARL K JR
891,ROOSEVELT SQUARE REGENCY LLC
892,NEWARK MEADOWS LLC
893,ACI REAL ESTATE SPE 137 LLC
894,LUTHERAN HIGH SCHOOL ASSN WASH
895,MILLER FAMILY INVESTMENTS LLC
896,DNXT LLC
897,SABRA PARK WEST LLC
898,CBYW SEATTLE PROPCO LLC
899,QUAIL PARK OF WEST SEATTLE LLC
900,ASC ADMIRAL WAY LLC
901,FTW LLC
902,CAPCO INVESTMENTS INC
903,JSP ARTERRA LLC  ET AL
904,HSIAO FAMILY (1) L L C
905,MANNING PLACE LLC
906,EDGEWATER HOLDINGS LLC
907,DUFFY INVESTMENTS L L C
908,ALKI PLACE APARTMENTS LLC
909,SAN JUAN APARTMENTS LLC
910,ALKI 37 LLC
911,CRE 4321 GENESEE LLC
912,TERRACE VIEW 3703 L L C
913,HAMM BUILDING LLC
914,OLYMPIC VIEW APARTS I LLC
915,JARRELL DAVID+DEAK JUDITH A
916,GARDEN TERRACE INVESTORS 2008 L L C
917,YOSHIKAWA TERRANCE
918,WEST 206 ALLIANCE INVESTMENTS LLC
919,VILLA ANDORA 1520 LLC
920,PARK HAMILTON INVESTORS 2019 LLC
921,ALKI SHORES L L C
922,RIPPLE ROCK LLC
923,6023 SW STEVENS LLC
924,FRASER RICHARD H
925,4821 FAUNTLEROY LLC
926,ADMIRAL APARTMENTS L L C
927,4801 FAUNTLEROY LLC
928,ALASKA HOUSE LLC
929,HUDSON SQUARE APARTMENTS LLC
930,SUNDSMO ALBERT+LOIS
931,SISTERS OF PROVIDENCE PARISEAU ASSOC
932,4730 CALIFORNIA LLC
933,4724 CALIFORNIA AVE DEVELOPMENT CO LLC
934,WEST SEATTLE CAPITAL PARTNERS
935,RSA SOUND VIEW LLC
936,BROADSTONE SKY LLC
937,3 M 42 LLC
938,ADMIRAL FARM TO MARKET L L C
939,SVF ADMIRAL SAFEWAY SEATTLE LLC
940,J.G.CROWN HILL L.L.C
941,820 NW 95TH STREET PROPERTY LLC
942,FIRST FREE METHODIST CHURCH
943,GREEN LAKE PRESBYTERIAN CHURCH PRESBYTERIAN CHURCH IN AMERICA
944,SMALL FACES CHILD DEVELOPMENT CENTER
945,DUVAL LIMITED PARTNERSHIP
946,FORTYSEVEN LLC
947,CROWN RIDGE LLC
948,CLOSE ROBERT J
949,NW LIMITED PARTNERSHIP
950,CP5 BELAY LLC
951,CP5 NOBA LLC
952,LILLEHAMMER LLC
953,GREENWOOD FM PROPERTIES LLC
954,CROWN HILL LLC
955,NORTH AMERICA CHANG JIANG 8 LLP
956,CENTRAL PUGET SOUND REGIONAL TRANSIT
957,BEACON HOMES INC
958,WCSD 6020 RAINIER AVE S LLC
959,EMPIRE WAY SHOPPING CENTER LLC
960,B9 SS 40TH AVE OWNER LLC
961,SOUTH BENNETT STREET HOMES LLC
962,PUGET SOUND NEIGHBORHOOD HEALTH CENTERS
963,SEATTLES UNION GOSPEL MISSION
964,TWO SYNAGOGUES LLC
965,LMD RENTALS LLC
966,IGLESIA NI CRISTO
967,40TH AVE SOUTH L L C
968,GARDEN COURT WPIG L L C
969,R&W LANTERA LLC
970,BRIGHTON APARTMENTS L L C THE
971,MYRLE STREET APARTMENTS LLC
972,TARNG YAO SENG
973,SOUTHEAST SEATTLE SENIOR FOUNDATION
974,BOYD PARKWAY APTS LLC
975,FONTANELLE APARTMENTS LLC
976,LILAC LODGE LLC
977,J & E APARTMENTS LLC
978,MOUNT BAKER HOUSING ASSN
979,LAKE WASHINGTON II LLLP
980,CY & Y ENTERPRISE LLC
981,BIG BUY LLC
982,ESPERANZA APARTMENTS LTD PSTHP
983,PARK PLACE RHF HOUSING
984,SEWARD PARK APARTMENTS LLC
985,OREGON PLACE APTS LLC
986,HOUSING RESOURCES GROUP
987,SPENCER APARTMENTS LLC
988,SB-FELIX NORTH LLC
989,COLONY SURF LLC
990,DESC RAINIER HOUSING L P
991,4730 32ND AVENUE DEVELOPMENT II LLC
992,STATION AT OTHELLO PARK LLC
993,TD FRANK FAMILY LLC
994,MATTESON GREENHOUSE INVESTORS LLC
995,ANGELINE OWNER LLC
996,OTHELLO NORTH LP
997,AREC RW MS LLC C/O U-HAUL INTERNATIONAL INC
998,YEE KING G LLC
999,SAINT GERVAIS LLC % STARRETT CTY ASSO
1000,5940 MARTIN LUTHER KING WAY SOUTH LLC
1001,NORFOLD BUILDING LP
1002,98 NORFOLK LLC
1003,CREF3 NORFOLK STREET OWNER LLC
1004,PAPE PROPERTIES INC
1005,HIT PORTFOLIO II OWNER LLC
1006,NW WORK LOFTS LP
1007,QA PARTNERS LLC
1008,SREH 2014 LLC
1009,GMT ELLIOTT PORTFOLIO LLC
1010,COLE OF SEATTLE WA LLC
1011,SREH 2018 MANAGEMENT LLC
1012,ELLIOTT SEATTLE REAL ESTATE HOLDING INC
1013,SELIG REAL ESTATE HOLDINGS TEN
1014,BAYVIEW BUILDING ASSOCIATES LLC
1015,ABADAN HOLDINGS LLC
1016,S3KM LLC
1017,QA CANAL LLC
1018,HAYS ELLIOTT PROPERTIES LLC
1019,CRUISE LLC
1020,ARE SEATTLE NO 10 LLC
1021,DS PROPERTIES 18 LP
1022,1570 W ARMORY LLC
1023,SVAP III ELLIOT PLAZA LLC
1024,1625 W WHEELER LLC
1025,1700 W ARMORY LLC
1026,BAYVIEW MANOR HOMES
1027,ASC QUEEN ANNE LLC
1028,ASC QUEEN ANNE SPU LLC
1029,KOREA REPUBLIC OF
1030,ON THE BOARDS
1031,FIRST FREE METHODIST CHURCH OF
1032,CHURCH OF SCIENTOLOGY
1033,SEATTLE PACIFIC UNIVERSITY
1034,BMR 201 ELLIOTT AVENUE LLC
1035,INTERBAY MM HOLDING LLC
1036,ARGONAUT PROPERTIES INC
1037,LINEAGE WA POS RE 2 LLC
1038,PARKER APARTMENTS LIMITED PARTNERSHIP
1039,CARLYLE APARTMENTS SEATTLE LLC
1040,21 W LEE LLC
1041,QUEEN ANNE 23 LLC
1042,ELSTON PROPERTIES INC
1043,STRATFORD DEVELOPMENT CO LLC
1044,FOURTH WEST PROPERTIES LLC
1045,510/520 FOURTH WEST PROPERTIES
1046,WARN AGUILAR 525 FAMILY L L C
1047,GREX RESIDENCES LLC
1048,ALOHA TERRACE ASSOCIATES
1049,FOUNTAIN COURT APARTMENTS LLC
1050,RAVENSTONE APARTMENTS LLC
1051,LA CHARME ASSOCIATES LLC
1052,LOLA APARTMENTS LLC
1053,ELIASEN MARK G+DEBORAH J+CHELAN INVESTORS LLC
1054,FRANCONIA APARTMENTS LLC
1055,KAPLAN REAL ESTATE SERVICES LLC
1056,MERCER CREST LLC
1057,CTA I LLC
1058,DELROY ASSOCIATES L.L.C
1059,CRE HH PARTNERS LLC
1060,JAC-VW CORPORATION
1061,GLEN EDEN LLC
1062,LANTZ SUZANNE RAGAN
1063,OLYMPIC/GRAYSON ARMS LLC
1064,VIKMIN PROPERTIES LLC
1065,RUDENKO TATYANA
1066,CHELSEA PLACE APARTMENTS L L C
1067,KINNEAR LLC
1068,1127 OLYMPIC WAY WEST L L C
1069,FLATS AT INTERBAY LIMITED PARTNERSHIP
1070,DESC INTERBAY SUPPORTIVE HOUSING LP
1071,CIELE AZUL QA FLATS LLC
1072,EASTHOM INVESTMENT LLC
1073,WEST REPUBLICAN PLACE INC
1074,ODEGARD-GOCKEL INVESTMENTS LLC
1075,ASN SEATTLE LLC
1076,EQR-METRO ON FIRST LLC
1077,FIRST & REPUBLICAN ASSOCIATES L L C
1078,KAMI LP+MILKIE STUDIO INC ET AL
1079,WESTROY APARTMENTS L L C
1080,COREY NICHOLAS ANDREW
1081,SKYLINE HOUSE APARTMENTS LLC
1082,H2O APARTMENTS LLC
1083,LPF SLATE LLC
1084,ESSEX CANVAS LLC
1085,TEHAMA JAX LLC+FR JAX LLC
1086,2ND & JOHN APARTMENTS LLC
1087,ZELLA APARTMENTS LLC
1088,DRAVUS APARTMENTS LLC
1089,MAGNOLIA BRIDGE SELF STORAGE INVESTMENT LLC
1090,A-1 SELF STORAGE LLC
1091,INTERBAY URBAN STORAGE LLC
1092,SS INTERBAY LLC
1093,DS INTERBAY URBAN CENTER LP
1094,GROSS TED AND ANTONIA PROPERTIES LLC
1095,MINI-MAX LLC
1096,KELLER FAMILY PROPERTIES LLC
1097,SALMON BAY WATERWAY INVESTMENTS LLC
1098,STRONG VENTURE LLC
1099,BUILDERS HARDWARESUPPLY CO
1100,IMMUNEX CORPORATION
1101,BROADWAY SILVER CLOUD INN LLC
1102,SATO FAMILY LTD PARTNERSHIP
1103,RLI BUILDING LLC
1104,PLANNED PARENTHOOD WESTERN WA
1105,COHO COMMERCIAL BUILDING L L C
1106,LEGACY PINE STREET LLC
1107,1016 E PIKE STREET INC
1108,PINE LLC
1109,AP PINE AND BOYLSTON LLC
1110,LESCHI PARTNERS L L P
1111,WEISS-JENKINS III LLC
1112,900 E PINE LLC
1113,JEWISH FAMILY SVCS OF SEATTTLE
1114,BF BLOCKER LLC
1115,12TH AVENUE MARKETPLACE L L C
1116,J G CAPITAL HILL LLC
1117,PACIFIC NORTHWEST RESEARCH
1118,EPIPHANY SCHOOL
1119,NORTHWEST SCHOOL OF THE ARTS
1120,FIRST PLACE
1121,CRAWFORD GROUP OF SEATTLE L L C THE
1122,SEATTLE ACADEMY OF ARTS & SCIENCES
1123,1205 EAST PIKE LLC
1124,SEATTLE 1521 10TH LLC
1125,AR PIKE II LLC
1126,914 EAST TERRACE LLC
1127,SEATTLE UNIVERSITY
1128,12 MADISON INVESTMENT LLC
1129,POLYCLINIC MSO PLLC
1130,SWEDISH HEALTH SERVICES
1131,HCP 600 BROADWAY MOB LLC
1132,700 BROADWAY MOB LLC
1133,JAPANESE BAPTIST CHURCH SOCIET
1134,ODDFELLOWS LLC
1135,CASCADE PUBLIC MEDIA
1136,AUBOMBOLI ITALIANE REAL ESTATE INVESTMET
1137,12TH & PIKE ASSOCIATES L L C
1138,PIKE BUILDING LLC
1139,GREENUS BUILDING INC
1140,4-N ASSOCIATES L L C
1141,MADISON CROSSING LLC
1142,HISTORIC SEATTLE PRESERVATION & DEVELOPMENT COMPANY
1143,YESLER PLACE LLC
1144,TE GKI BOYLSTON LLC
1145,HOWELL STREET ASSOCIATES LLC
1146,QUALMAN BUILDING LLC
1147,PARAMOUNT APARTMENTS LLC
1148,BANCROFT INVESTORS 2009 LLC
1149,BOREN DEVELOPMENT LLC
1150,SHING-YEEN SHEEN ONE L L C
1151,ABBOTSFORD 151 LLC
1152,STAR APTS L.L.C
1153,PIONEER HUMAN SERVICES
1154,510 BROADWAY PARTNERS LLC
1155,EQR-RIANNA I LLC
1156,HELEN V APTS LLC
1157,ARPEG HOLDINGS 1956 LLC
1158,STEVENS NEIGHBORHOOD HOUSING
1159,BRISTOL APARTMENTS LLC
1160,WASHINGTON IRVING 2012 LLC
1161,RANDOLPH PARTNERS LLC
1162,TESHOME FAMILY LLC
1163,CRE WINSTON LLC
1164,CHRISTIAN SUSAN
1165,LAURELTON LLC
1166,HILLCREST ASSOCIATED LTD PTSHP
1167,ROXBOROUGH INVESTORS LLC
1168,RKM EAGLE COURT LLC
1169,CREST APARTMENTS ASSOCIATES LLC
1170,312 E OLIVE PL LLC
1171,C K INTERNATIONAL CORP
1172,AMD ROOSEVELT L L C
1173,BELLEVUE PLACE LLC
1174,DIAMOND PARKING INC
1175,WOLSKI DAVID
1176,CAPITOL HILL HOUSING IMPROVEMENT PROGRAM
1177,OLETA APARTMENTS LIMITED PARTNERSHIP
1178,BOYLSTON COURT ASSOCIATES
1179,1630 LLC
1180,WEINER JERALD DAVID+MARC V -REV TRUST
1181,OLIVE TERRACE APARTMENTS LLC
1182,LA MAISON ASSOCIATES LLC & WINCHESTER APTS LLC
1183,ABONITA LLC
1184,DK SUMMIT PLACE LLC
1185,MORRIS APARTMENTS LLC
1186,MITSUMARU ESTATE CO LTD
1187,CRE BUENA VISTA PARTNERS LLC
1188,RIALTO COURT LLC
1189,PIONEER HUMAN SVCS
1190,HYCROFT INTERNATIONAL LLC
1191,PIKE STREET TPII LLC
1192,ST JOHN INVESTORS LLC
1193,GORDON ELYSE
1194,CASCADIA APARTMENTS C/O CASCADIA APARTMENTS C/O GEMPERLE A RICHARD+MARY BETH
1195,PROJECT S47 LLC
1196,BYRON MICHAEL
1197,PARK ROYAL APARTMENTS LLC
1198,UPPER PINE LLC
1199,MADISON COURT PARTNERS LIMITED LIABILITY COMPANY
1200,ARLLIS ARMS APARTMENTS LLC
1201,MACRI THERESA
1202,UNION 18 PARTNERS LLC
1203,1531 BROADWAY LLC
1204,AGNES PISTON L L C
1205,GORDON VAN BUREN LLC +1711 FELSON PARTNERS LP
1206,VITALITY ON HOWELL LLC
1207,MARTIN SQUARED L L C
1208,MELROSE & OLIVE LLC
1209,COUCH INVESTMENTS IV
1210,1011 E TERRACE ST OWNER LLC
1211,SPRUCE APARTMENTS LLC
1212,JBJ ALDERVIEW LLC
1213,GUSTAFSON BELINDA J ET AL
1214,KAYKAS-WOLFF JASCHA+REBECCA C
1215,EQR-CHLOE LLC
1216,EQR-MADISON LLC
1217,MOUNT ZION MADISON STREET PROPERTIES
1218,ESSEX PORTFOLIO L P
1219,PANTAGES APT LLC
1220,EQR-320 PINE LLC
1221,BELLEVUE TERRACE L L C
1222,CAPITOL STEPS L.L.C
1223,BELLEVUE OLIVE LLC
1224,BATTERY STREET LTD
1225,W R P ASSOCIATES OF BELLEVUE
1226,BURLINGAME PARTNERS L P
1227,BOYLSTON HOWELL APARTMENTS LLC
1228,SUMMIT ARMS LLC
1229,DUNN AUTOMOTICE BUILDING LLC
1230,MANCHESTER SERIES 1 LLC
1231,SUMMIT HOUSE APARTMENTS REAL ESTATE INVESTMENTS LLC
1232,KISSEL JULIA GUNN
1233,CHARBERN L L C
1234,BOYLSTON FLATS LLC
1235,MADISON PLACE AT 19TH L L C
1236,OLYMPIAN LLC
1237,EQR-PACKARD LLC
1238,EQR-PEARL LLC
1239,1700 MADISON APARTMENTS LLC
1240,LOTS II L L C
1241,1222 EAST MADISON L L C
1242,JEFFERSON & 12TH LLC
1243,19TH AND MADISON LLC
1244,PINE & BELMONT LLC
1245,BARCLAY 118 LLC
1246,ENGELMANNII HOUSE LLC
1247,ASB SUNSET ELECTRIC LLC
1248,SEATTLE MADISON LLC
1249,BROADSTONE CAPITAL HILL VENTURE LLC
1250,954 EAST UNION LLC
1251,ASB REO FLATS LLC
1252,CWS ANTHEM LP
1253,TRPF 1525 HARVARD AVENUE LLC
1254,TA PIKE MOTORWORKS LLC
1255,FIRENZE LLC
1256,RISE-CG CAPITOL HILL LP
1257,PINE & MELROSE LLC
1258,DECIBEL APARTMENTS LLC
1259,REVERB APARTMENTS LLC
1260,MAD FLATS LLC
1261,BELLEVUE AVE COVE HOLDINGS LLC + ET AL
1262,GS ZIG LLC
1263,2051 MADISON STREET PARTNERS LLC
1264,1420 EAST MADISON STREET LLC
1265,PIKE FLATS LLC
1266,EAST UNION 22 LLC
1267,YESLER INVESTORS 2 LLC
1268,YESLER INVESTORS 3 LLC
1269,BOREN AND SPRUCE LLC
1270,SORENTO ON YESLER OWNER LLC
1271,HYCROFT INTERNATIONAL
1272,LIBERTY BANK COMMERCIAL LLC
1273,BELLWETHER VIEWS LLC
1274,CAPITAL HILL PARTNERS
1275,STORAGE EQUITIES INC
1276,SPTSUN II PROPERTIES TRUST
1277,BASTA MATT J LLC
1278,UNION GOSPEL MISSION ASSN SEAT
1279,JAMES TOWER LLC
1280,FIRST COVENANT CHURCH OF
1281,INVESTMENTS PROPERTY AQUISITIONS LLC
1282,CHSW HOLDINGS NORTHWEST LLC
1283,INLAND WESTERN SEATTLE NORTHGAGE NORTH LLC
1284,BRFII NORTHGATE LLC
1285,SHORELINE CITY OF
1286,PAN WASHINGTON LLC
1287,GRE/NOP FIFTH AVENUE LLC
1288,MGP XIV LLC
1289,GRE FOUNDATION HOUSE LLC
1290,CRP/CSH NORTHGATE LLC
1291,NORTHAVEN DEVELOPMENT
1292,ALJOYA THORNTON PLACE LLC
1293,WELL CA WA LANDLORD LLC
1294,SAINT ANNE CORPORATION
1295,AMERICAN FAMILY LLC
1296,5TH AVE MEDICAL ASSOCIATES LLC
1297,PACMED CLINICS
1298,INDONESIAN FULL GOSPEL FELLOWSHIP OF STATE OF WASHINGTON
1299,BILLINGS MIDDLE SCHOOL
1300,NG 295 DEVELOPMENT LLC
1301,WORKSHOPS SEATTLE LAKE CITY WAY
1302,GMC LLC
1303,WHITE HEATHER APARTMENTS LLC
1304,DDH PARTNERS L L C
1305,TELFORD HOLDINGS INCORPORATED
1306,KIMBERLY APARTMENTS LLC
1307,RIVIERA NORTHGATE APARTMENTS LLC
1308,PINEHURST LLC
1309,MGRE 10522 LCW LLC
1310,GRIFFIN & GRIFFIN PTR
1311,MCGUIRE COURT ASSOCIATES
1312,RH ROOSEVELT RIDGE LIMITED LIABILITY COMPANY
1313,PILAT LLC
1314,K GROUP VILLAGER LLC
1315,ACME WMR PARK 3025 LLC
1316,INVESTMENTS LLC
1317,AAC/FSC CLOCKTOWER INVESTORS LLC
1318,3030 LAKE CITY LLC A DELAWARE LLC
1319,YOSHIKAWA REVERSE L L C
1320,CRE NORTH SEATTLE PARTNERS LLC
1321,WANG LISA TS
1322,HAYRE PROPERTIES LLC
1323,PRE LAKE CITY 26 LLC
1324,NORTHBROOK PLACE LTD PARTNSHIP
1325,THORNTON CREEK APARTMENTS LLC
1326,WILLOWS COURT LLC
1327,12040 28TH AVENUE LLC
1328,HUP LINK-14 LLC
1329,HIDDEN CREEK ASSOCIATES
1330,PERFECTION PROPERTIES L L C+ALLSWELL L L C+HALF-TIME IV L L C
1331,LAKE CITY ASSOCIATES L L C
1332,MILLS EVANSTON LLC
1333,EDERLING L L C
1334,MIKE AND LISA KELLEY LLC
1335,PLAZA 15 LLC
1336,BRADLEY HILL FAMILY LTD PTSHP
1337,MULLALLY & SON INVESTORS LLC
1338,MULLALLY FAMILY LLC
1339,ROOSEVELT SQUARE APARTMENTS LLC
1340,ROOSEVELT PARK APARTMENTS LLC
1341,KISH LLC
1342,DPE INVESTMENTS LLC
1343,HENRY PROSPEROUS PROPERTY LLC
1344,VALOR APARTMENT ASSOCIATES
1345,ATHLON LLC
1346,EQR-LANE LLC
1347,FAIRFIELD LAKE CITY LP
1348,FSC LAKE CITY ASSOCIATES LLC
1349,SOLARA SEATTLE APARTMENTS LLC
1350,LAKE CITY WAY 137 ASSOCIATES LLC
1351,PROMENADE LAKE CITY LLC
1352,LIHI MEADOWBROOK ASSOCIATES LLC C/O LOW INCOME HOUSING INSTITUTE
1353,VILLA APPIA LLC
1354,ORIGIN APARTMENT INVESTORS LLC
1355,LAKE CITY PROJECT ASSOCIATES
1356,NORTHGATE 3 LLC
1357,13355 LAKE CITY WAY NE ASSOCIATES
1358,SCHARMACH SEATTLE LLC
1359,NE 130TH ST LLC
1360,NORTHGATE STORAGE LLC
1361,FRED MEYER STORES INC
1362,QUINTON PROPERTIES LLC
1363,DB FIVE SEATTLE GROCERY LLC
1364,26TH AVENUE BUILDING LLC
1365,PIERRE FAMILY LIMITED PARTNERSHIP
1366,LAKE CITY 5 LLC
1367,ASAR LLC
1368,SALTY'S PROPERTIES II L L C
1369,MEPT WESTWOOD VILLAGE LLC
1370,WCSD 9601 35TH AVE SW LLC
1371,SNR 24 BRIDGE PARK OWNER LLC
1372,TRINITY WEST SEATTLE
1373,ACTIVSPACE AT LUNA PARK LLC
1374,HARBOR SQUARE APARTMENTS LLC
1375,BOLLER HURDITCH -RLT
1376,MMJV LLC
1377,SWEENEY ORCHARDS TWO LLC
1378,FAIRWAY BUILDING LLC
1379,BARTON COURT ASSOCIATES LLC
1380,HUNTINGTON RETIREMENT HOMES
1381,HILL CREST WEST SEATTLE LLC
1382,SOCKO LLC
1383,EVARONE JACK W
1384,SVF LINK SEATTLE LLC
1385,CBYW WEST SEATTLE PROPCO LLC
1386,AVALON WEST PARTNERS LLC
1387,SEACLIFF WESTSIDE II LLC
1388,SEACLIFF GOTHARD L L C
1389,NOVA APARTMENTS LLC
