,OSEBuildingID,DataYear,BuildingName,BuildingType,TaxParcelIdentificationNumber,Address,City,State,ZipCode,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),EPAPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),ComplianceStatus,ComplianceIssue,Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,geometry,Owner,TaxParcelOwner,UBINumber,Principals,CompanyAddress,BusinessName,Agent
435,613,2020,GRAND CENTRAL BUILDING,NonResidential,5247800390,216 1ST AVE S,SEATTLE,WA,98104.0,47.60035,-122.33379,DOWNTOWN,7.0,1900,4,1,84750,84750,0,,19.9,19.6,1400869.0,1381400.0,50.7,50.4,Office,Office,41609.0,Enclosed Mall,28734.0,,,351385,0,1825,Compliant,No Issue,1198927.0,182473.0,16.1,0.2,POINT (-122.33379 47.60035),,WESTERN OFFICE GC PROPERTY OWNER LLC,,,,,
436,614,2020,INTERURBAN BUILDING (OLD SMITH TOWER ANNEX BUILDING),NonResidential,5247800555,157 YESLER WAY,SEATTLE,WA,98104.0,47.60146,-122.33248,DOWNTOWN,7.0,1900,6,1,75496,62176,13320,,48.8,48.2,3684221.0,3638750.0,129.8,128.1,Office,Office,46514.0,Parking,13320.0,Restaurant,9126.0,979357,0,2972,Compliant,No Issue,3341567.0,297183.0,33.6,0.5,POINT (-122.33248 47.60146),American Nevada Company,TATNUCK VENTURES LLC,602 628 574,['AMERICAN NEVADA COMPANY' 'BARBARA LEE'],"2360 CORPORATE CIR STE 330, LAS VEGAS, NV, 89074, UNITED STATES",TATNUCK VENTURES LLC,C T CORPORATION SYSTEM
437,615,2020,OCCIDENTAL MALL,NonResidential,5247800695,308 OCCIDENTAL AVE S,SEATTLE,WA,98104.0,47.59962,-122.33247,DOWNTOWN,7.0,1900,4,1,164380,164380,0,89.0,38.9,38.5,5610685.0,5564612.0,96.0,95.6,Office,Office,123607.0,Retail Store,20795.0,,,1321220,474403,5822,Compliant,No Issue,4508003.0,582207.0,94.3,0.6,POINT (-122.33247 47.59962),"Martin Smith, Inc",BURKE-STATE BLDG LLC,601 728 210,"['H  MARTIN SMITH, III']","316 OCCIDENTAL AVE S, STE 300, SEATTLE, WA, 98104, UNITED STATES","BURKE-STATE BLDG., LLC",FIKSO KRETSCHMER SMITH DIXON ORMSETH PS
438,616,2020,COURT IN THE SQUARE (Goldsmith & Northcoast),NonResidential,5247800755,401 2ND AVE S,SEATTLE,WA,98104.0,47.59858,-122.33198,DOWNTOWN,2.0,1907,7,1,160580,160580,0,64.0,45.2,44.9,7251433.0,7206140.0,115.9,115.5,Office,Office,147744.0,Other - Restaurant/Bar,12836.0,,,1827485,467901,5029,Compliant,No Issue,6235379.0,502859.0,98.7,0.6,POINT (-122.33198 47.59858),,IC U S A NO 8 PROPERTY PARTNERSHIP,602 570 885,[nan],,IC U.S.A. NO. 8 PROPERTY LIMITED PARTNERSHIP,
439,617,2020,PACIFIC COMMERCIAL BUILDING,NonResidential,5247800900,240 2ND AVE S,SEATTLE,WA,98104.0,47.60022,-122.33127,DOWNTOWN,7.0,1900,5,1,54805,54805,0,58.0,51.9,51.9,2385530.0,2385530.0,145.2,145.2,Office,Office,46000.0,,,,,699159,0,0,Compliant,No Issue,2385530.0,0.0,12.7,0.2,POINT (-122.33127 47.60022),Rubicon Point Partners,RFA MASIN BLOCK LLC,604 773 676,['RAZMIG BOLADIAN'],"55 2ND ST STE 1900, SAN FRANCISCO, CA, 94105-3497, UNITED STATES",RFA MASIN BLOCK LLC,C T CORPORATION SYSTEM
440,618,2020,PREFONTAINE BUILDING,NonResidential,5247801045,110 PREFONTAINE PL S,SEATTLE,WA,98104.0,47.60159,-122.32915,DOWNTOWN,7.0,1909,6,1,73470,73470,0,81.0,39.3,38.2,2885642.0,2809987.0,110.0,107.1,Office,Office,56958.0,Retail Store,10100.0,Non-Refrigerated Warehouse,6412.0,823560,0,0,Compliant,No Issue,2809987.0,0.0,14.9,0.2,POINT (-122.32915 47.60159),Unknown,NEUBERT FAMILY LIMITED PARTNERSHIP,602 546 418,['THOMAS A HENSON'],"61 BENSON CREEK DR, TWISP, WA, 98856-9606, UNITED STATES",THE NEUBERT FAMILY LIMITED PARTNERSHIP,
441,619,2020,KING STREET STATION-BNRR/AMTRAK,Nonresidential COS,5247801160,301 S JACKSON ST,SEATTLE,WA,98104.0,47.59871,-122.3299,DOWNTOWN,2.0,1906,3,1,85595,85595,0,,37.1,36.5,2428786.0,2391643.0,103.2,101.6,Transportation Terminal/Station,Transportation Terminal/Station,42174.0,Other - Entertainment/Public Assembly,10239.0,Office,9616.0,700950,0,0,Compliant,No Issue,2391643.0,0.0,12.7,0.1,POINT (-122.3299 47.59871),,CITY OF SEATTLE,,,,,
451,630,2020,THE REEDO BUILDING,NonResidential,7666206851,542 1ST AVE S,SEATTLE,WA,98104.0,47.59701,-122.33378,DOWNTOWN,2.0,1904,4,1,66842,66842,0,52.0,67.6,66.3,3626458.0,3553624.0,140.8,139.4,Office,Office,43122.0,Retail Store,10514.0,,,627196,0,14136,Compliant,No Issue,2139994.0,1413630.0,86.5,1.3,POINT (-122.33378 47.59701),Nicola Wealth,REEDO LP,603 010 792,['NICOLA REAL ESTATE GENERAL PARTNER LTD.'],"12886 INTERURBAN AVE S, SEATTLE, WA, 98168, UNITED STATES",REEDO LP,ACB SERVICES LLC
452,631,2020,NORDIC COLD STORAGE COMPANY,NonResidential,7666206855,547 OCCIDENTAL AVE S,SEATTLE,WA,98104.0,47.59685,-122.33342,DOWNTOWN,2.0,1904,4,0,83400,83400,0,,,,,,,,Other,Other,83400.0,,,,,0,0,0,Compliant,No Issue,,,,,POINT (-122.33342 47.59685),Redco Development LLC,REDCO OCCIDENTAL 547 OWNER LLC,604 455 119,['IND HOLDCO I LLC'],,REDCO OCCIDENTAL 547 OWNER LLC,CORPORATE CREATIONS NETWORK INC.
453,632,2020,PROVIDENT BUILDING,NonResidential,7666206871,568 1ST AVE S,SEATTLE,WA,98134.0,47.59639,-122.33368,DOWNTOWN,2.0,1909,6,1,75288,64488,10800,92.0,28.2,28.2,1844758.0,1844758.0,78.8,78.8,Office,Office,65508.0,Parking,10918.0,,,540110,0,19,Compliant,No Issue,1842854.0,1905.0,9.9,0.2,POINT (-122.33368 47.59639),Martin Smith Inc,MSI PROVIDENT LLC,602 029 841,['H  MARTIN SMITH III'],"316 OCCIDENTAL AVE S, SUITE 300, SEATTLE, WA, 98104-4421, UNITED STATES",MSI PROVIDENT LLC,FIKSO KRETSCHMER SMITH DIXON ORMSETH PS
454,633,2020,83 KING STREET,NonResidential,7666206895,83 S KING ST,SEATTLE,WA,98104.0,47.59806,-122.33475,DOWNTOWN,2.0,1904,7,1,204504,204504,0,93.0,24.9,24.9,5003415.0,5003415.0,69.8,69.8,Office,Office,200608.0,Data Center,0.0,,,1466417,0,0,Compliant,No Issue,5003415.0,0.0,26.6,0.1,POINT (-122.33475 47.59806),Hudson Pacific Properties,HUDSON FIRST & KING LLC,603 316 717,"['HUDSON PACIFIC PROPERTIES, L.P.']","11601 WILSHIRE BOULEVARD, NINTH FLOOR, LOS ANGELES, CA, 90025, UNITED STATES","HUDSON FIRST & KING, LLC",C T CORPORATION SYSTEM
455,634,2020,505 FIRST AVENUE BUILDING,NonResidential,7666206900,505 1ST AVE S,SEATTLE,WA,98104.0,47.59767,-122.33467,DOWNTOWN,2.0,2009,7,1,443509,285914,157595,82.0,65.6,65.6,20581442.0,20581442.0,183.2,183.2,Office,Office,308286.0,Parking,150180.0,Retail Store,5495.0,6008933,0,790,Compliant,No Issue,20502479.0,78964.0,113.2,0.4,POINT (-122.33467 47.59767),Hudson Pacific Properties,HUDSON FIRST & KING LLC,603 316 717,"['HUDSON PACIFIC PROPERTIES, L.P.']","11601 WILSHIRE BOULEVARD, NINTH FLOOR, LOS ANGELES, CA, 90025, UNITED STATES","HUDSON FIRST & KING, LLC",C T CORPORATION SYSTEM
468,655,2020,TASHIRO-KAPLAN BUILDING CONDO/MIXED USE,Multifamily MR (5-9),8566600000,101 PREFONTAINE PL S,SEATTLE,WA,98104.0,47.60138,-122.32997,DOWNTOWN,7.0,2002,6,1,117950,106740,11210,,29.3,28.5,3123058.0,3043226.0,80.4,78.4,Multifamily MR (5-9),Multifamily Housing,66839.0,Other - Lodging/Residential,39901.0,Parking,11210.0,866658,0,862,Compliant,No Issue,2957036.0,86190.0,20.3,0.2,POINT (-122.32997 47.60138),,UNDEFINED,,,,,
470,657,2020,2200 WESTLAKE,NonResidential,8729740010,2200 WESTLAKE AVE,SEATTLE,WA,98121.0,47.61783,-122.33729,DOWNTOWN,7.0,2006,0,1,516407,516407,0,78.0,61.5,60.8,31770184.0,31396188.0,142.6,141.9,Mixed Use Property,Parking,385196.0,Multifamily Housing,340236.0,Hotel,80067.0,6750285,0,83642,Compliant,No Issue,23031972.0,8364218.0,566.7,1.1,POINT (-122.33729 47.61783),Kimco Realty,WRI 2200 WESTLAKE LP,603 587 485,"['WRI WESTERN RETAIL PARTNERS GP, LLC']","500 N BROADWAY, SUITE 201, JERICHO, NY, 11753, UNITED STATES",WRI 2200 WESTLAKE LP,C T CORPORATION SYSTEM
471,658,2020,505 UNION STATION,NonResidential,8809700020,505 5TH AVE S,SEATTLE,WA,98104.0,47.59865,-122.32854,DOWNTOWN,2.0,2000,11,1,312512,312512,0,62.0,70.8,70.8,22140730.0,22140730.0,198.3,198.3,Office,Office,303312.0,Data Center,4738.0,Restaurant,4462.0,6484771,0,147,Compliant,No Issue,22126039.0,14692.0,118.4,0.4,POINT (-122.32854 47.59865),Vulcan Real Estate,505 UNION STATION LTD,602 347 763,"['CITY INVESTORS MM INC'
 'JO LYNN ALLEN, EXECUTOR OF THE ESTATE OF PAUL G ALLEN']","505 5TH AVE S #900, SEATTLE, WA, 98104, UNITED STATES",505 UNION STATION LLC,C T CORPORATION SYSTEM
472,659,2020,RUSSELL INVESTMENTS CENTER,NonResidential,9184500000,1301 2ND AVE,SEATTLE,WA,98101.0,47.6074,-122.33777,DOWNTOWN,7.0,2005,42,1,1592914,1295457,297457,94.0,33.6,33.5,41910884.0,41766760.0,91.1,91.0,Office,Office,901624.0,Parking,348788.0,Financial Office,329335.0,11624230,2104638,3,Compliant,No Issue,39661873.0,253.0,385.6,0.3,POINT (-122.33777 47.6074),,UNDEFINED,,,,,
473,660,2020,1505 5TH AVE,NonResidential,1975700220,1501 5TH AVE,SEATTLE,WA,98101.0,47.61077,-122.3361,DOWNTOWN,7.0,1926,6,1,97720,97720,0,97.0,57.2,56.6,5533974.0,5479418.0,160.0,158.4,Office,Office,63661.0,Retail Store,19954.0,Data Center,13216.0,1605926,0,0,Compliant,No Issue,5479420.0,0.0,29.1,0.3,POINT (-122.3361 47.61077),Goldman Sachs,WESTERN OFFICE PORTFOLIO PROPERTY OWNER LLC,604 370 949,['WESTERN OFFICE PORTFOLIO MEZZ BORROWER LLC'],"1215 4TH AVE STE 600, SEATTLE, WA, 98161-1084, UNITED STATES",WESTERN OFFICE PORTFOLIO PROPERTY OWNER LLC,C T CORPORATION SYSTEM
480,678,2020,COLMAN BUILDING,NonResidential,8591400005,811 1ST AVE,SEATTLE,WA,98104.0,47.60353,-122.33558,DOWNTOWN,7.0,1900,6,1,166975,166975,0,90.0,46.0,45.2,7684150.0,7554280.0,99.7,98.8,Office,Office,141415.0,Restaurant,19427.0,Retail Store,6133.0,1384334,1966342,8646,Compliant,No Issue,4723348.0,864590.0,234.3,1.4,POINT (-122.33558 47.60353),Unico,UNICO BOP COLMAN BUILDING LLC,604 412 880,['UNICO PROPERTIES LLC'],"1326 5TH AVE, SUITE 800, SEATTLE, WA, 98101-2627, UNITED STATES",UNICO BOP COLMAN BUILDING LLC,CORPORATION SERVICE COMPANY
481,679,2020,MUTUAL LIFE BUILDING,NonResidential,8591400075,605 1ST AVE,SEATTLE,WA,98104.0,47.60197,-122.33437,DOWNTOWN,7.0,1900,6,1,56700,56700,0,51.0,48.2,48.2,2730682.0,2730682.0,134.8,134.8,Office,Office,46200.0,Retail Store,10500.0,,,800317,0,0,Compliant,No Issue,2730683.0,0.0,14.5,0.3,POINT (-122.33437 47.60197),,HISTORIC SEATTLE PRESERVATION & DEVELOPMENT AUTHORITY,,,,,
486,684,2020,LEGACY CENTRE & ARBOR PLACE CONDO,Multifamily HR (10+),0254600000,2505 2ND AVE,SEATTLE,WA,98121.0,47.61534,-122.34844,DOWNTOWN,7.0,1989,26,1,358176,276497,81679,76.0,43.9,42.8,12142059.0,11836669.0,95.4,94.1,Multifamily HR (10+),Multifamily Housing,198911.0,Parking,81769.0,Office,59371.0,2273241,0,40804,Compliant,No Issue,7756298.0,4080370.0,258.0,0.9,POINT (-122.34844 47.61534),,UNDEFINED,,,,,
487,685,2020,818 STEWART,NonResidential,2285050000,818 STEWART ST,SEATTLE,WA,98101.0,47.61567,-122.33503,DOWNTOWN,7.0,2008,14,1,362033,237527,124506,71.0,47.9,47.4,12141697.0,12000714.0,134.2,132.6,Office,Office,243998.0,Parking,97874.0,Bank Branch,5780.0,3515655,0,53,Compliant,No Issue,11995415.0,5298.0,64.1,0.3,POINT (-122.33503 47.61567),,UNDEFINED,,,,,
489,688,2020,INTERNATIONAL DISTRICT VILLAGE SQUARE 2,Multifamily MR (5-9),3558300000,701 8TH AVE S,SEATTLE,WA,98104.0,47.59625,-122.32283,DOWNTOWN,2.0,2002,5,1,228288,195993,32295,66.0,67.2,66.0,7222620.0,7091138.0,102.3,101.0,Multifamily MR (5-9),Multifamily Housing,80298.0,Parking,29050.0,Other - Entertainment/Public Assembly,16116.0,571002,0,51429,Compliant,No Issue,1948259.0,5142879.0,283.5,1.4,POINT (-122.32283 47.59625),,UNDEFINED,,,,,
491,690,2020,ONE CONVENTION PLACE,NonResidential,5342900030,701 PIKE ST,SEATTLE,WA,98101.0,47.6115,-122.33278,DOWNTOWN,7.0,2001,23,1,538933,454273,84660,84.0,38.7,38.7,13577328.0,13577328.0,108.4,108.4,Office,Office,350811.0,Parking,108325.0,,,3979287,0,0,Compliant,No Issue,13577327.0,0.0,72.2,0.2,POINT (-122.33278 47.6115),,SFERS REAL ESTATE CORP FF,,,,,
492,691,2020,OLYMPIC TOWER CONDOMINIUMS,NonResidential,6385300000,217 PINE ST,SEATTLE,WA,98101.0,47.6103,-122.33879,DOWNTOWN,7.0,1929,13,1,99470,88470,11000,78.0,42.6,41.6,3769358.0,3680947.0,91.2,90.2,Office,Office,79470.0,Parking,11000.0,Retail Store,9000.0,689140,0,13296,Compliant,No Issue,2351345.0,1329602.0,83.1,0.9,POINT (-122.33879 47.6103),,UNDEFINED,,,,,
493,692,2020,2323 ELLIOTT - PARKING & OFFICE,NonResidential,6780950000,2323 ELLIOTT AVE,SEATTLE,WA,98121.0,47.61234,-122.34897,DOWNTOWN,7.0,1983,6,1,275982,78852,197130,100.0,,11.7,,921663.0,,32.7,Office,Office,78852.0,,,,,270091,0,0,Compliant,No Issue,921552.0,0.0,4.9,0.1,POINT (-122.34897 47.61234),,UNDEFINED,,,,,
505,708,2020,3131 ELLIOTT BLDG,NonResidential,7666202240,3131 ELLIOTT AVE,SEATTLE,WA,98121.0,47.61813,-122.35833,DOWNTOWN,7.0,1986,7,1,277486,197203,80283,77.0,50.0,49.9,10734306.0,10708935.0,140.1,139.7,Office,Office,199918.0,Parking,74092.0,Other,14653.0,3138609,0,0,Compliant,No Issue,10708934.0,0.0,56.9,0.3,POINT (-122.35833 47.61813),Martin Selig Real Estate,SELIG HOLDINGS COMPANY LLC,602 559 881,['MARTIN SELIG'],"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",SELIG HOLDINGS COMPANY L.L.C.,
506,709,2020,PIER 69,NonResidential,7666202295,2611 ALASKAN WAY,SEATTLE,WA,98121.0,47.614,-122.35375,DOWNTOWN,7.0,1993,3,1,187130,187130,0,61.0,44.7,43.8,8540523.0,8364874.0,125.1,122.5,Office,Office,162616.0,Transportation Terminal/Station,17460.0,Non-Refrigerated Warehouse,7261.0,2451605,0,0,Compliant,No Issue,8364876.0,0.0,44.5,0.2,POINT (-122.35375 47.614),,PORT OF SEATTLE,,,,,
507,710,2020,WORLD TRADE CENTER NORTH,NonResidential,7666202320,2401 ELLIOTT AVE,SEATTLE,WA,98121.0,47.61287,-122.35022,DOWNTOWN,7.0,2000,5,1,251044,133177,117867,69.0,111.0,111.0,15996526.0,15996526.0,310.7,310.7,Office,Office,131867.0,Data Center,12302.0,,,4688314,0,0,Compliant,No Issue,15996527.0,0.0,85.1,0.6,POINT (-122.35022 47.61287),Unico,UCP 2401 ELLIOTT LLC,604 166 835,['UNICO PROPERTIES LLC'],"1215 FOURTH AVENUE, SUITE 600, SEATTLE, WA, 98161, UNITED STATES",UCP 2401 ELLIOTT LLC,CORPORATION SERVICE COMPANY
508,711,2020,PUBLIC STORAGE (STORE 8495),NonResidential,7666202440,1334 ALASKAN WAY,SEATTLE,WA,98101.0,47.60703,-122.34038,DOWNTOWN,7.0,1912,5,1,95330,95330,0,,14.0,13.3,1338602.0,1269619.0,39.3,37.3,Self-Storage Facility,Self-Storage Facility,95330.0,Parking,0.0,,,372104,0,0,Compliant,No Issue,1269619.0,0.0,6.8,0.1,POINT (-122.34038 47.60703),Public Storage,PUBLIC STORAGE,602 740 958,['DREW ADAMS' 'NATHAN VITAN' 'TERRANCE F. SPIDELL'],"701 WESTERN AVE, SUITE 200, GLENDALE, CA, 91201-2349, UNITED STATES",PUBLIC STORAGE,CORPORATION SERVICE COMPANY
509,712,2020,51 UNIVERSITY (SCHWABACHER BLDG.),NonResidential,7666202477,51 UNIVERSITY ST,SEATTLE,WA,98101.0,47.60604,-122.33948,DOWNTOWN,7.0,1918,6,1,117182,104823,12359,,37.2,37.2,3899890.0,3899890.0,95.0,95.0,Office,Office,68964.0,Adult Education,16050.0,Parking,12359.0,966615,601798,0,Compliant,No Issue,3298092.0,0.0,67.5,0.6,POINT (-122.33948 47.60604),,TILT49 OFFICE DEVELOPERS LLC,603 497 884,[' TILT49 MEMBER LLC' ' TOUCHSTONE-URG TILT49 LLC'],"1425 4TH AVE STE 200, SEATTLE, WA, 98101-2274, UNITED STATES",TILT49 OFFICE DEVELOPERS LLC,
510,713,2020,NATIONAL BUILDING,NonResidential,7666202515,1000 WESTERN AVE,SEATTLE,WA,98104.0,47.6047,-122.33739,DOWNTOWN,7.0,1905,6,1,167860,167860,0,,31.0,30.4,5195638.0,5095736.0,86.7,85.0,Office,Office,149581.0,Retail Store,18279.0,,,1493475,0,0,Compliant,No Issue,5095737.0,0.0,27.1,0.2,POINT (-122.33739 47.6047),,STATE OF WASHINGTON,,,,,
511,714,2020,MARITIME BUILDING,NonResidential,7666202525,911 WESTERN AVE,SEATTLE,WA,98104.0,47.60378,-122.33741,DOWNTOWN,7.0,1911,5,1,241685,211043,30642,99.0,20.7,20.4,4626084.0,4556953.0,57.8,56.9,Office,Office,223860.0,Parking,32335.0,,,1333702,0,64,Compliant,No Issue,4550591.0,6363.0,24.5,0.1,POINT (-122.33741 47.60378),STRS Ohio,BCSP MARITIME BUILDING,604 282 227,"['MATTHEW WORLEY' 'STRS OHIO WA REAL ESTATE INVESTMENTS, LLC']","275 E BROAD ST, COLUMBUS, OH, 43215-3703, UNITED STATES",BCSP MARITIME BUILDING LLC,CORPORATION SERVICE COMPANY
512,715,2020,POLSON BUILDING,NonResidential,7666202565,71 COLUMBIA ST,SEATTLE,WA,98104.0,47.60247,-122.33621,DOWNTOWN,7.0,1910,6,1,112560,112560,0,96.0,36.4,35.5,3672662.0,3580964.0,84.3,83.3,Office,Office,100860.0,Parking,11700.0,,,778142,0,9259,Compliant,No Issue,2655020.0,925944.0,63.3,0.6,POINT (-122.33621 47.60247),Stanley Real Estate,POLSON HOLDINGS LLC,603 591 729,['LOIS MAYERS' 'LORRI A. DUNSMORE'],"2101 FOURTH AVENUE, SUITE 310, SEATTLE, WA, 98121, UNITED STATES",POLSON HOLDINGS LLC,STANLEY PIHA
513,716,2020,WESTERN BUILDING,NonResidential,7666202570,615 WESTERN AVE,SEATTLE,WA,98104.0,47.60223,-122.33602,DOWNTOWN,7.0,1910,6,1,86204,86204,0,92.0,41.3,39.9,3350644.0,3243912.0,78.7,77.3,Office,Office,81204.0,,,,,480898,0,16031,Compliant,No Issue,1640825.0,1603086.0,93.9,1.1,POINT (-122.33602 47.60223),,STATE OF WASHINGTON,,,,,
536,748,2020,PIER 70,NonResidential,7666202292,2801 ALASKAN WAY,SEATTLE,WA,98121.0,47.61472,-122.35566,DOWNTOWN,7.0,1902,3,1,76893,76893,0,29.0,105.5,105.5,8115622.0,8115622.0,252.0,252.0,Office,Office,69951.0,Restaurant,6942.0,,,1817873,0,19130,Compliant,No Issue,6202583.0,1913038.0,134.6,1.8,POINT (-122.35566 47.61472),,TRIAD PIER 70 L L C,,,,,
537,749,2020,FOURTH & VINE BLDG,NonResidential,0656000410,2601 4TH AVE,SEATTLE,WA,98121.0,47.61732,-122.34791,DOWNTOWN,7.0,1975,8,1,150000,126370,23630,88.0,40.9,40.2,5099117.0,5007850.0,99.9,99.1,Office,Office,124594.0,Parking,20821.0,,,1187800,0,9551,Compliant,No Issue,4052774.0,955078.0,72.3,0.6,POINT (-122.34791 47.61732),Martin Selig Real Estate,SELIG HOLDINGS COMPANY LLC,602 559 881,['MARTIN SELIG'],"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",SELIG HOLDINGS COMPANY L.L.C.,
538,750,2020,SEATTLE CHILDREN'S HOSPITAL RESEARCH BUILDING #2,NonResidential,0660001255,1915 TERRY AVE,SEATTLE,WA,98101.0,47.61628,-122.33391,DOWNTOWN,7.0,1953,7,1,274362,274362,0,90.0,32.4,32.1,8894638.0,8797361.0,88.3,87.4,Office,Office,274362.0,,,,,2467711,0,3775,Compliant,No Issue,8419830.0,377532.0,64.8,0.2,POINT (-122.33391 47.61628),,SEATTLE CHILDREN'S HOSPITAL,178 019 356,"['COLIN FOX' 'COLLEEN FUKUI-SKETCHLEY' 'CONAN VIERNES' 'DAN LEVITAN'
 'JILL BRUBAKER' 'JOEL FRENCH' 'JOHN SCHOETTLER' 'JUDITH PIERCE'
 'KEN DENMAN' 'KURT SHINTAFFER' 'LOREN ALHADEFF' 'MOYA VASQUEZ'
 'PATRICIA LOERA' 'RACQUEL RUSSELL' 'SUSAN BETCHER' 'TROY HUTSON']","4800 SAND POINT WAY NE, SEATTLE, WA, 98105-3901, UNITED STATES",SEATTLE CHILDREN'S HOSPITAL,CORPORATION SERVICE COMPANY
539,751,2020,BLANCHARD PLAZA,NonResidential,0697000235,2201 6TH AVE,SEATTLE,WA,98121.0,47.61599,-122.34165,DOWNTOWN,7.0,1983,15,1,378002,261722,116280,78.0,56.2,55.2,15190980.0,14922884.0,135.0,133.9,Office,Office,270237.0,Parking,71602.0,,,3437441,0,31943,Compliant,No Issue,11728549.0,3194336.0,232.0,0.9,POINT (-122.34165 47.61599),AFL-CIO Building Investment Trust,BIT BCAL BLANCHARD PROPERTY LLC,604 361 055,['BIT BCAL BLANCHARD JV LLC'],"200 STATE ST, 5TH FLOOR, BOSTON, MA, 02109, UNITED STATES",BIT BCAL BLANCHARD PROPERTY LLC,C T CORPORATION SYSTEM
540,752,2020,ACTIVE VOICE  BUILDING (FORMERLY SIXTH & LENORA),NonResidential,0659000930,2033 6TH AVE,SEATTLE,WA,98121.0,47.61481,-122.33969,DOWNTOWN,7.0,1963,11,1,169020,169020,0,87.0,48.0,46.7,8394830.0,8176996.0,104.7,103.2,Office,Office,156414.0,Bar/Nightclub,10337.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",8208.0,1526133,2355511,6143,Compliant,No Issue,5207166.0,614318.0,255.8,1.5,POINT (-122.33969 47.61481),,CLISE INC & HAMMER CO LLP,,,,,
541,753,2020,THE WESTIN BUILDING EXCHANGE (Office),NonResidential,0659000950,2001 6TH AVE,SEATTLE,WA,98121.0,47.61438,-122.33871,DOWNTOWN,7.0,1981,33,1,429405,429405,0,,630.9,630.8,270901888.0,270873920.0,1765.1,1765.0,Mixed Use Property,Data Center,237276.0,Office,189244.0,Parking,169000.0,79296072,0,3157,Compliant,No Issue,270558198.0,315739.0,1455.5,3.4,POINT (-122.33871 47.61438),Digital Realty,2001 SIXTH LLC,602 745 341,['2001 SIXTH HOLDINGS LLC' 'A M CLISE'],"1700 7TH AVE STE 1800, SEATTLE, WA, 98101, UNITED STATES",2001 SIXTH LLC,"NATIONAL REGISTERED AGENTS, INC."
542,754,2020,720 OLIVE BLDG,NonResidential,0659000305,720 OLIVE WAY,SEATTLE,WA,98101.0,47.61418,-122.33485,DOWNTOWN,7.0,1981,19,1,383515,293737,89778,82.0,46.0,46.0,15153997.0,15153997.0,128.8,128.8,Office,Office,329378.0,Parking,91000.0,,,4441382,0,0,Compliant,No Issue,15153995.0,0.0,80.6,0.3,POINT (-122.33485 47.61418),PPF Group (through subsidiary PPF Real Estate Holding),PPF OFF 720 OLIVE WAY LLC,604 288 094,"['PPF OFF, LLC']","3280 PEACHTREE ROAD, NE, 20TH FLOOR, ATLANTA, GA, 30305, UNITED STATES","PPF OFF 720 OLIVE WAY, LLC",C T CORPORATION SYSTEM
543,755,2020,MEDICAL DENTAL BUILDING,NonResidential,0659000085,509 OLIVE WAY,SEATTLE,WA,98101.0,47.61274,-122.33685,DOWNTOWN,7.0,1925,18,1,363934,335064,28870,,,,,,,,Medical Office,Medical Office,315026.0,Parking,28870.0,Retail Store,16587.0,0,0,0,Not Compliant,Account Requires Verification,,,,,POINT (-122.33685 47.61274),Menashe Properties,MDB LANDMARK LLC,604 488 379,['JORDAN MENASHE' 'JORDAN MENASHE'],"621 SW ALDER ST STE 800, PORTLAND, OR, 97205-3623, UNITED STATES","MDB LANDMARK, LLC","UNISEARCH, INC."
544,756,2020,OLD NAVY,NonResidential,1976700005,601 PINE ST,SEATTLE,WA,98101.0,47.61203,-122.33486,DOWNTOWN,7.0,1929,4,1,78920,78920,0,,50.6,50.6,3991472.0,3991472.0,141.6,141.6,Mixed Use Property,Retail Store,38680.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",31176.0,Other,9064.0,1169834,0,0,Compliant,No Issue,3991474.0,0.0,21.2,0.3,POINT (-122.33486 47.61203),L & B Realty Advisors,601 PINE STREET INVESTMENT GROUP INC,602 454 789,"['CHRISTE CAVANESS' 'G. ANDREWS SMITH' 'JENNIFER A. HANSON'
 'PETER A. BENYO' 'STACIE S. CROWN']","5910 N CENTRAL EXPRESSWAY, SUITE 1200, DALLAS, TX, 75206, UNITED STATES","601 PINE STREET INVESTMENT GROUP, INC.",C T CORPORATION SYSTEM
