,Owner,BuildingsOwned,TotalSquareFootage,TotalGHGEmissions__metric_tons_,TotalElectricity_kBtu_,TotalSteamUse_kBtu,TotalNaturalGas_kBtu,TotalOtherFuelUse_kBtu,AverageGHGEmissionsIntensity,AverageSiteEUI_kBtu_sf,AverageSourceEUI_kBtu_sf,AverageENERGYSTARScore
243,AUBOMBOLI ITALIANE REAL ESTATE INVESTMET,1,36000,33,600648,0,561531,0,0.9,64.6,126.2,13.0
244,CASCADE PUBLIC MEDIA,1,55800,20,2073125,0,171590,0,0.4,46.9,125.0,
245,AVALON BELLTOWN LLC,1,94595,16,3021161,0,0,0,0.2,29.3,82.1,50.0
246,SUNSET APARTMENTS LIMITED PARTNERSHIP,1,77800,43,2110589,0,608408,0,0.6,58.7,141.4,41.0
247,ELLIS COURT APARTMENTS LLC,1,39050,5,1116901,0,0,0,0.2,37.0,103.6,96.0
248,BRE-FMCA LLC,1,135433,36,3589134,0,332970,0,0.3,29.0,76.8,94.0
249,SATO FAMILY LTD PARTNERSHIP,1,54984,58,1629873,0,937444,0,1.1,46.7,100.9,76.0
250,CORNELIUS APARTMENTS LLC,1,86560,23,3503554,0,94611,0,0.3,57.7,158.9,45.0
251,CRITICAL VENTURES HOUSING PS,1,35520,31,453261,0,552583,0,0.9,28.7,52.8,99.0
252,RLI BUILDING LLC,1,38460,36,1287772,0,565073,0,1.0,48.2,109.2,61.0
253,ALWAYS COMPETE LLC,1,21130,62,131432,0,1169002,0,3.0,61.5,75.5,93.0
254,PLANNED PARENTHOOD WESTERN WA,1,31357,21,1906748,0,216866,0,0.7,69.6,182.5,45.0
255,COHO COMMERCIAL BUILDING L L C,1,30720,18,648539,0,287302,0,0.6,32.2,72.9,
256,SLT REALTY LTD PARTNERSHIP,1,23568,22,623461,0,355947,0,0.9,41.6,89.9,81.0
257,INTERBAY URBAN STORAGE LLC,1,93815,31,438683,0,541326,0,0.3,10.3,18.9,
258,LEGACY PINE STREET LLC,1,20897,17,354128,0,286116,0,0.8,37.5,75.7,
259,CX3 DAVENPORT LLC,1,27993,67,360467,0,1239780,0,2.4,62.2,89.8,90.0
260,STONECLIFF ASSOCIATES LLC,1,22400,3,716046,0,0,0,0.2,32.0,89.5,72.0
261,CHARLESGATE L L C,1,34060,55,370762,0,1015353,0,1.6,40.7,61.8,99.0
262,VALLEY VILLAGE MEDICAL CENTER LLC,1,21095,21,407884,0,359662,0,1.0,36.4,72.0,96.0
263,YOUNG WOMEN'S CHRISTIAN ASSOC,1,33440,84,570125,0,1539376,0,2.5,63.1,96.1,75.0
264,1016 E PIKE STREET INC,1,22866,33,864148,0,550021,0,1.5,61.8,131.1,
265,OREGON APARTMENTS LLC,1,56776,41,1000179,0,673532,0,0.7,29.5,61.8,96.0
266,SOUTH SHORE ASSOCIATES LP,1,77887,12,2396222,0,0,0,0.2,38.9,94.7,88.0
267,GRAHAM TERRY APARTMENTS LLC,1,47151,90,1234241,0,1587789,0,1.9,49.8,90.5,96.0
268,2721 FOURTH AVE LP,1,54102,129,1760003,0,2254556,0,2.4,69.0,125.3,96.0
269,LOS ROBLES COURT COMPANY LLC,1,47343,10,654557,0,125020,0,0.2,16.5,41.5,100.0
270,WESTERN & LENORA INVESTORS LLC,1,57492,31,1467535,0,443272,0,0.5,34.5,82.6,84.0
271,ELLIOTT POINTE LLC,1,64826,19,1980348,0,161028,0,0.3,30.5,85.5,
272,XERAD LLC,1,32460,93,438827,0,1713642,0,2.9,66.3,93.3,89.0
273,SV PROPERTIES L L C,1,50376,9,1719814,0,0,0,0.2,34.6,96.8,67.0
274,CASTLE LLC,1,32760,36,680288,0,612237,0,1.1,39.5,77.8,95.0
275,2400 ELLIOTT LLC,1,214625,136,6166487,0,1944846,0,0.6,37.8,90.0,89.0
276,FG92 LENORA LLC+CWS LENORA LP,1,99450,132,2393414,0,2257272,0,1.3,46.8,91.2,71.0
277,CEDARS LLC,1,132358,22,2042757,0,211118,0,0.2,34.2,95.8,53.0
278,206 BELL LLC,1,92007,89,2648126,0,1418486,0,1.0,43.3,94.9,87.0
279,EDWARDS ON 5TH AVE LTD PARTNERSHIP,1,21840,21,685285,0,331578,0,1.0,46.6,103.8,67.0
280,BROADWAY SILVER CLOUD INN LLC,1,100528,320,4311403,0,5609200,0,3.2,98.7,178.7,61.0
281,SOMERSET GREEN TOWNHOUSES ASSOCIATES L L C,1,119764,17,3191991,0,0,0,0.1,26.7,74.6,97.0
282,FLT WINDHAM LLC,1,37300,39,1273197,0,607165,0,1.0,50.4,112.7,65.0
283,FIFTH AND BLANCHARD ASSOCIATES LLC,1,31054,5,962175,0,0,0,0.2,31.0,86.8,96.0
284,AGC ARTHOUSE OWNER LLC,1,109745,58,2016487,0,897994,0,0.5,27.8,62.8,98.0
285,RAR 2501 LLC,1,70586,41,1135566,0,673257,0,0.6,25.7,55.1,
286,2900 ON FIRST APARTMENTS LLC,1,129092,21,3881085,0,10856,0,0.2,30.1,84.3,96.0
287,VERSAILLES APARTMENTS LLC THE,1,25129,36,700266,0,620010,0,1.5,52.5,103.9,71.0
288,EQR-MODA I LLC+EQR-MODA II LLC,1,143183,158,3963168,0,2579109,0,1.1,45.7,96.4,96.0
289,EQR CENTENNIAL COURT LLC,1,142497,19,3717452,0,0,0,0.1,26.1,73.0,99.0
290,VINE COURT APARTMENTS LLC,1,34880,5,998525,0,0,0,0.2,24.4,68.2,89.0
291,NEW PACIFIC LLC,1,26640,57,780730,0,1004833,0,2.2,67.0,121.7,
292,BREMER APARTMENTS LLC,1,33400,68,522922,0,1230334,0,2.0,52.5,82.5,78.0
293,SECURITY HOUSE LLLP,1,79235,21,3984445,0,0,0,0.3,50.3,140.8,33.0
294,CRAWFORD GROUP OF SEATTLE L L C THE,1,35780,34,1486405,0,496328,0,1.0,52.2,123.2,26.0
295,1205 EAST PIKE LLC,1,21228,1,338605,0,0,0,0.1,16.0,44.7,
296,SEATTLE 1521 10TH LLC,1,30240,17,610066,0,272720,0,0.6,26.8,60.6,88.0
297,3RD & CEDAR LLC,1,255205,222,8053483,0,3381139,0,0.9,36.1,82.3,
298,SEATTLE TOWER I LLC,1,442703,359,9702721,0,5790367,0,0.8,35.0,75.1,97.0
299,AR PIKE II LLC,1,24750,32,362515,0,578922,0,1.3,34.9,60.2,95.0
300,914 EAST TERRACE LLC,1,22777,0,0,0,0,0,0.0,,,
301,EQR CENTENNIAL TOWER LLC,1,226500,417,7493370,0,7107464,0,1.8,64.5,125.6,48.0
302,EQR/LEGACY PARTNERS (1999) TOWERS,1,409137,264,9085702,0,4066595,0,0.6,32.1,72.6,97.0
303,12 MADISON INVESTMENT LLC,1,45251,0,0,0,0,0,0.0,,,
304,MARTIN APARTMENTS LLC,1,295754,214,5348740,0,3499786,0,0.7,36.0,75.9,82.0
305,POLYCLINIC MSO PLLC,1,179014,487,9654977,0,8212732,0,2.7,99.8,199.2,57.0
306,SBOB LLC,1,33180,40,2435774,0,522657,0,1.2,31.0,77.2,
307,ELLIOTT COURT LLC,1,47265,6,1206334,0,0,0,0.1,29.0,81.3,98.0
308,700 BROADWAY MOB LLC,1,39115,58,1896671,0,901753,0,1.5,67.5,150.9,65.0
309,PPF OFF 2001 WESTERN AVENUE LLC,1,43983,215,5994157,0,3463142,0,4.9,63.6,137.4,75.0
310,2001 SIXTH LLC,1,429405,1455,270558198,0,315739,0,3.4,630.8,1765.0,
311,WRI 2200 WESTLAKE LP,1,516407,566,23031972,0,8364218,0,1.1,60.8,141.9,78.0
312,JAPANESE BAPTIST CHURCH SOCIET,1,22688,10,127637,0,179768,0,0.5,19.6,34.8,58.0
313,ODDFELLOWS LLC,1,55520,111,807151,0,2013102,0,2.0,50.8,78.8,
314,ALTO 92 OWNER LP,1,141084,150,3509075,0,2487649,0,1.1,34.4,71.4,95.0
315,FIRST PLACE,1,22344,40,423465,0,712840,0,1.8,50.9,86.6,47.0
316,PINE LLC,1,27544,16,578238,0,259407,0,0.6,30.4,68.7,90.0
317,WINDSOR ADVISERS 2030 EIGHTH AVENUE LLC,1,277566,416,9864996,0,6848157,0,1.5,45.5,94.7,
318,AVALON 210 WALL LLC,1,316083,221,7726679,0,3400531,0,0.7,37.4,84.7,74.0
319,2202 EIGHTH AVENUE LLC,1,487234,552,13259032,0,9077238,0,1.1,45.8,95.8,72.0
320,AP PINE AND BOYLSTON LLC,1,27600,4,836486,0,0,0,0.2,30.3,84.9,83.0
321,LESCHI PARTNERS L L P,1,75868,55,4186374,0,620411,0,0.7,63.4,163.1,
322,CHAINQUI DEVELOPMENT BELLTOWN LLC,1,141619,130,2551821,0,2193691,0,0.9,33.5,66.7,95.0
323,WA TOWER 12 APARTMENTS LLC,1,412344,429,9331059,0,7156293,0,1.0,40.0,81.6,83.0
324,WEISS-JENKINS III LLC,1,23422,93,250729,0,1725088,0,4.0,84.4,107.3,70.0
325,900 E PINE LLC,1,27938,5,1062826,0,4713,0,0.2,39.4,110.0,
326,JEWISH FAMILY SVCS OF SEATTTLE,1,25834,29,1151550,0,429889,0,1.1,49.7,115.5,62.0
327,COLUMBIA WASHINGTON WALTON LOFTS RESIDENTIAL PROPERTIES LLC,1,123686,71,3409029,0,1003398,0,0.6,35.9,86.3,83.0
328,NORTHWEST SCHOOL OF THE ARTS,1,60000,54,812602,0,944142,0,0.9,28.9,53.7,79.0
329,DIMENSION SEATTLE INC,1,193927,155,5506221,0,2378707,0,0.8,40.7,92.4,94.0
330,BF BLOCKER LLC,1,52000,2,503178,0,0,0,0.1,10.4,5.1,100.0
331,12TH AVENUE MARKETPLACE L L C,1,37873,68,1419672,0,1143476,0,1.8,67.7,136.7,47.0
332,J G CAPITAL HILL LLC,1,85112,10,2054063,0,0,0,0.1,24.1,67.6,96.0
333,PACIFIC NORTHWEST RESEARCH,1,34380,597,5239331,6854334,3751,0,17.4,264.3,500.7,
334,NINTH AND LENORA LLC,1,482600,576,12476193,0,9603562,0,1.2,33.6,68.5,85.0
335,EPIPHANY SCHOOL,1,28500,34,634063,0,588183,0,1.2,39.3,76.9,80.0
336,VERVE KS LLC +VERVE RAY LLC,1,146203,25,3876571,0,94291,0,0.2,27.2,74.9,
337,RISE-CG JA LOFTS LIMITED PARTNERSHIP,1,161722,75,3259589,0,1086901,0,0.5,25.5,60.2,
338,SS INTERBAY LLC,1,270000,96,720795,0,1735619,0,0.4,9.1,14.2,
339,GLEN EDEN LLC,1,31400,24,630580,0,399660,0,0.8,32.8,69.6,93.0
340,A-1 SELF STORAGE LLC,1,39952,0,0,0,0,0,,,,
341,ALKI PLACE APARTMENTS LLC,1,24711,3,577975,0,0,0,0.1,23.4,65.5,84.0
342,ALKI SHORES L L C,1,22982,2,550284,0,0,0,0.1,23.9,67.0,
343,PARK HAMILTON INVESTORS 2019 LLC,1,36067,5,1037398,0,0,0,0.2,28.8,80.5,55.0
344,VILLA ANDORA 1520 LLC,1,30420,5,965657,0,0,0,0.2,27.5,76.9,69.0
345,WEST 206 ALLIANCE INVESTMENTS LLC,1,30649,7,1313146,0,0,0,0.2,31.0,86.9,43.0
346,YOSHIKAWA TERRANCE,1,20790,2,517221,0,0,0,0.1,24.9,69.7,87.0
347,GARDEN TERRACE INVESTORS 2008 L L C,1,24664,3,672237,0,0,0,0.1,27.3,76.3,83.0
348,JARRELL DAVID+DEAK JUDITH A,1,33084,6,1193163,0,0,0,0.2,36.1,101.0,30.0
349,OLYMPIC VIEW APARTS I LLC,1,26280,18,512324,0,295843,0,0.7,32.7,70.7,88.0
350,HAMM BUILDING LLC,1,21239,2,431409,0,1730,0,0.1,20.4,57.0,
351,TERRACE VIEW 3703 L L C,1,30799,4,900135,0,0,0,0.2,29.2,81.8,67.0
352,CRE 4321 GENESEE LLC,1,23596,2,503715,0,0,0,0.1,21.3,59.8,
353,ALKI 37 LLC,1,23820,6,1130593,0,0,0,0.3,41.4,115.8,31.0
354,SAN JUAN APARTMENTS LLC,1,23553,3,718344,0,0,0,0.2,30.5,85.4,78.0
355,DUFFY INVESTMENTS L L C,1,22960,30,287258,0,545674,0,1.3,47.2,78.1,
356,CLAY HEARL K JR,1,38959,2,459405,0,0,0,0.1,11.8,33.0,
357,MANNING PLACE LLC,1,21991,3,696361,0,0,0,0.2,31.7,88.7,58.0
358,HSIAO FAMILY (1) L L C,1,28397,78,861861,0,1382609,0,2.7,77.9,134.1,
359,CAPCO INVESTMENTS INC,1,23315,30,463773,0,528722,0,1.3,59.6,111.3,
360,FTW LLC,1,28304,8,1674123,0,0,0,0.3,83.3,233.1,13.0
361,ASC ADMIRAL WAY LLC,1,67626,150,2581538,0,2571701,0,2.2,76.2,146.8,52.0
362,QUAIL PARK OF WEST SEATTLE LLC,1,45130,11,2200260,0,0,0,0.3,56.3,146.6,
363,CBYW SEATTLE PROPCO LLC,1,57566,80,2163159,0,1298045,0,1.4,60.1,128.9,58.0
364,SABRA PARK WEST LLC,1,46633,160,1988650,0,2817592,0,3.4,112.2,199.0,77.0
365,DNXT LLC,1,20184,0,0,0,0,0,0.0,,,
366,MILLER FAMILY INVESTMENTS LLC,1,22180,117,2258336,0,1986294,0,5.3,191.4,379.1,
367,LUTHERAN HIGH SCHOOL ASSN WASH,1,49744,93,281126,0,1728999,0,1.9,40.4,52.3,93.0
368,ACI REAL ESTATE SPE 137 LLC,1,38000,341,6723152,0,5755700,0,9.0,301.1,600.0,39.0
369,NEWARK MEADOWS LLC,1,32822,231,4552591,0,3896400,0,7.0,241.1,480.5,58.0
370,RIPPLE ROCK LLC,1,25016,3,561499,0,0,0,0.1,22.4,62.8,90.0
371,6023 SW STEVENS LLC,1,21642,3,562699,0,0,0,0.1,20.9,58.6,90.0
372,FRASER RICHARD H,1,26528,3,631383,0,0,0,0.1,23.8,66.6,
373,4821 FAUNTLEROY LLC,1,21596,3,610309,0,0,0,0.2,28.3,79.1,76.0
374,LILLEHAMMER LLC,1,66570,7,1325159,0,0,0,0.1,33.1,69.4,97.0
375,CP5 NOBA LLC,1,45159,6,1154301,0,0,0,0.1,26.2,73.5,97.0
376,CP5 BELAY LLC,1,83999,90,1598817,0,1544137,0,1.1,48.3,93.7,93.0
377,NW LIMITED PARTNERSHIP,1,28328,4,766658,0,0,0,0.1,27.1,75.8,64.0
378,CLOSE ROBERT J,1,36273,6,791757,0,38650,0,0.2,26.9,73.2,89.0
379,CROWN RIDGE LLC,1,24435,24,485929,0,415470,0,1.0,36.9,73.5,93.0
380,FORTYSEVEN LLC,1,23381,2,412087,0,0,0,0.1,17.6,49.3,
381,DUVAL LIMITED PARTNERSHIP,1,35512,5,945110,0,0,0,0.1,26.6,74.5,86.0
382,SMALL FACES CHILD DEVELOPMENT CENTER,1,42172,112,358949,0,2076739,0,2.7,57.4,75.1,
383,GREEN LAKE PRESBYTERIAN CHURCH PRESBYTERIAN CHURCH IN AMERICA,1,35736,48,142596,0,906867,0,1.4,29.0,37.3,67.0
384,FIRST FREE METHODIST CHURCH,1,33589,29,102980,0,545806,0,0.9,19.3,25.6,81.0
385,820 NW 95TH STREET PROPERTY LLC,1,34636,277,3255145,0,4896163,0,8.0,134.9,235.9,33.0
386,J.G.CROWN HILL L.L.C,1,25384,45,1781015,0,678588,0,1.8,104.8,242.9,5.0
387,SVF ADMIRAL SAFEWAY SEATTLE LLC,1,59800,353,7285985,0,5929405,0,5.9,194.4,391.6,
388,ADMIRAL FARM TO MARKET L L C,1,31841,356,5346225,0,6182101,0,11.2,362.1,674.0,
389,3 M 42 LLC,1,61455,65,1422375,0,1084732,0,1.1,40.7,83.1,
390,BROADSTONE SKY LLC,1,149318,105,2610174,0,1729436,0,0.7,20.0,33.1,98.0
391,RSA SOUND VIEW LLC,1,75630,10,1925873,0,0,0,0.1,25.5,71.3,
392,WEST SEATTLE CAPITAL PARTNERS,1,105596,18,3555884,0,0,0,0.2,33.7,94.3,89.0
393,4724 CALIFORNIA AVE DEVELOPMENT CO LLC,1,114045,88,1977845,0,1465534,0,0.8,30.2,62.1,100.0
394,4730 CALIFORNIA LLC,1,84970,52,2198935,0,760716,0,0.6,46.9,110.1,66.0
395,SISTERS OF PROVIDENCE PARISEAU ASSOC,1,21815,15,348654,0,256150,0,0.7,27.7,57.1,
396,SUNDSMO ALBERT+LOIS,1,72155,42,1485697,0,651257,0,0.6,29.6,67.1,64.0
397,HUDSON SQUARE APARTMENTS LLC,1,22606,3,589644,0,0,0,0.1,26.1,73.0,
398,ALASKA HOUSE LLC,1,64602,65,2500712,0,981520,0,1.0,53.9,124.3,64.0
399,4801 FAUNTLEROY LLC,1,28910,23,692558,0,362889,0,0.8,36.5,80.3,93.0
400,ADMIRAL APARTMENTS L L C,1,23671,15,503442,0,248286,0,0.7,31.8,70.6,83.0
401,ROOSEVELT SQUARE REGENCY LLC,1,128315,145,12022035,0,1530179,0,1.1,104.7,272.6,94.0
402,ROOSEVELT ECONO-MINI STORAGE LLC,1,22522,35,125919,0,651799,0,1.6,34.5,46.0,
403,MAGNOLIA BRIDGE SELF STORAGE INVESTMENT LLC,1,94470,37,397249,0,658715,0,0.4,11.2,19.1,
404,WOODLAND PARK CHURCH GOD,1,45680,82,362403,0,1522111,0,1.8,41.3,57.2,59.0
405,TELFORD HOLDINGS INC,1,20278,2,501262,0,0,0,0.1,24.7,69.2,84.0
406,RAVENNA HOUSE 2015 LLC,1,25300,3,658139,0,0,0,0.1,26.0,72.8,86.0
407,2020 A&D LLC,1,26012,3,569037,0,0,0,0.1,25.7,72.1,83.0
408,BLACKWOOD PROPERTIES LLC,1,62440,0,0,0,0,0,,,,
409,9100 ROOSEVELT 2021 LLC +JIMMYJAX 9100 2021 LLC,1,20176,3,612401,0,0,0,0.2,27.8,77.9,70.0
410,CRYSTAL COURT APARTMENTS LLC,1,20559,2,511407,0,0,0,0.1,24.9,69.7,
411,LORING GROUP LLC,1,23937,3,631958,0,0,0,0.1,27.3,76.4,75.0
412,LANGER PROPERTIES LLC +MOD APARTMENT INVESTORS LLC,1,74614,163,1080693,0,2970666,0,2.2,54.3,82.4,76.0
413,VISTA POINT APARTMENTS LLC,1,29914,5,933235,0,0,0,0.2,31.2,87.4,87.0
414,TRINITY LAKEVIEW COURT LLC,1,60487,9,1750736,0,0,0,0.2,28.9,81.0,77.0
415,BECK TIM,1,21462,5,985505,0,0,0,0.2,33.8,94.6,
416,NORTHGATE ATHLETIC CLUB LLC,1,30610,119,1500854,0,2093575,0,3.9,117.4,209.1,
417,9709 THIRD AVENUE INVESTORS LLC,1,127392,37,7024325,0,0,0,0.3,55.1,154.4,
418,UNIVERSITY PREPARATORY ACADEMY,1,31386,44,674908,0,767201,0,1.4,48.1,89.8,32.0
419,METRO SELF STORAGE,1,41047,6,857780,0,41805,0,0.2,18.7,50.8,
420,GROUP HEALTH COOPERATIVE PUGET,1,38745,39,1764062,0,562100,0,1.0,35.7,85.0,86.0
421,NORTH SEATTLE PROFESSIONAL CENTER LLC,1,20580,4,852775,0,0,0,0.2,31.7,88.7,75.0
422,ASC RAVENNA LLC,1,61429,12,2412109,0,0,0,0.2,38.1,106.6,93.0
423,442 NE MAPLE PLACE LLC,1,23248,0,0,0,0,0,0.0,,,
424,LUTHERAN RETIREMENT HOME OF GREATER SEATTLE,1,47711,31,910672,0,498672,0,0.7,29.5,64.4,96.0
425,CSH MAPLE LEAF LLC,1,88839,129,2283065,0,2202369,0,1.5,50.5,98.0,89.0
426,IDA CULVER HOUSE RAVENNA LLC,1,90383,126,2170391,0,2160674,0,1.4,47.9,92.3,
427,WILLOW CREEK PROPERTIES LLC,1,24291,0,0,0,0,0,0.0,,,
428,8512 35TH AVENUE LLC,1,26853,24,944169,0,362216,0,0.9,64.2,148.5,70.0
429,SFB-B LIMITED PARTNERSHIP,1,20738,2,442447,0,0,0,0.1,21.3,59.7,82.0
430,TEMPLE BETH AM,1,21500,193,2522193,0,3385905,0,9.0,61.4,110.4,57.0
431,444 RAVENNA LLC,1,40768,23,287080,0,408358,0,0.6,17.1,30.2,100.0
432,SCU HOLDINGS LLC,1,90266,22,4307810,0,0,0,0.3,47.4,132.9,83.0
433,OTT DEVELOPMENT LLC,1,20144,3,719295,0,0,0,0.2,35.7,100.0,62.0
434,JASPER 91 LLC,1,67360,85,1592993,0,1446900,0,1.3,27.7,54.5,98.0
435,HIVE APARTMENTS LLC,1,24288,3,611405,0,0,0,0.1,25.2,70.5,80.0
436,SOB DEVELOPMENT LLC,1,21518,5,936943,0,0,0,0.2,44.4,124.2,23.0
437,BROOKLYN COURT LLC,1,138899,81,2920732,0,1243356,0,0.6,22.0,50.1,
438,68TH AND ROOSEVELT LLC,1,73179,9,1750785,0,0,0,0.1,23.9,67.0,99.0
439,SRMAHULTRACK66 LLC,1,35371,30,498098,0,520978,0,0.9,28.8,54.9,100.0
440,RISE FLATS LLC,1,54721,50,1434014,0,813000,0,0.9,41.1,89.0,100.0
441,SRMAHULBROOKLYN65 LLC,1,26255,20,661197,0,322232,0,0.8,37.5,83.4,99.0
442,GREEN LAKE PHASE II LLC,1,81802,65,2834069,0,944060,0,0.8,47.3,111.8,78.0
443,MU 68TH & 8TH OWNER LLC,1,273568,113,3597876,0,1777117,0,0.4,22.3,49.5,100.0
444,ROOSTER APARTMENTS LLC,1,162213,145,3830939,0,2348300,0,0.9,30.1,64.3,95.0
445,EQR-SQUARE ONE LLC,1,79554,68,1195329,0,1175609,0,0.9,29.8,57.6,100.0
446,GREEN LAKE JOINT VENTURE LLC,1,292376,259,11456667,0,3741349,0,0.9,45.1,106.8,
447,ROOSTER APARTMENTS I LLC,1,84577,38,1083915,0,608843,0,0.5,38.8,84.1,92.0
448,DALLY PROPERTIES LLC,1,48330,45,1217714,0,740509,0,0.9,44.8,95.8,84.0
449,6700 ROOSEVELT APARTMENTS LLC,1,80701,9,1831283,0,0,0,0.1,22.7,63.5,100.0
450,SRMAHULLUNA LLC,1,31165,22,668406,0,357810,0,0.7,32.9,72.1,99.0
451,7011 ROOSEVELT WAY NE LLC,1,31016,25,524047,0,434238,0,0.8,30.9,62.0,99.0
452,HB ECOLUXE PARTNERS LLC,1,27889,20,600839,0,331286,0,0.7,30.2,65.9,91.0
453,SPH TWO LLLP,1,45760,69,834141,0,1224354,0,1.5,53.8,94.6,31.0
454,HUP MORNINGSIDE LLC,1,34916,4,873883,0,0,0,0.1,25.0,70.1,
455,RIVENDELL LLC,1,21841,2,453765,0,0,0,0.1,20.2,56.6,
456,OSWEGO ARMS LLC,1,21000,3,564587,0,13150,0,0.2,20.8,57.4,96.0
457,EDMONDS SW LLC,1,28075,3,652675,0,0,0,0.1,23.2,65.1,
458,LANGER PROPERTIES LLC,1,25943,3,613920,0,0,0,0.1,23.7,66.3,88.0
459,NITORI YUKI,1,41026,5,1085425,0,0,0,0.1,26.5,74.1,98.0
460,TREA CIRCA GREEN LAKE LLC,1,63176,222,5080280,0,3677130,0,3.5,27.4,56.6,92.0
461,ALADDIN LLC % DAVID+ANNE G HURLBUT,1,38035,4,908821,0,0,0,0.1,23.9,66.9,91.0
462,MCPHEE MADELYN+SHELTON MARILYN,1,99893,31,2128198,0,374140,0,0.3,25.1,63.6,93.0
463,CASCADIA PARTNERS LLC,1,33869,48,993987,0,806531,0,1.4,46.3,93.4,48.0
464,GREENWOOD FM PROPERTIES LLC,1,118133,365,11238046,0,5750448,0,3.1,100.7,222.3,92.0
465,CROWN HILL LLC,1,45522,34,6484421,0,0,0,0.8,142.4,398.8,57.0
466,NORTH AMERICA CHANG JIANG 8 LLP,1,41262,10,1967552,0,0,0,0.3,47.7,133.5,58.0
467,ELSTON PROPERTIES INC,1,28546,24,92971,0,458402,0,0.9,18.5,24.9,100.0
468,KAPLAN REAL ESTATE SERVICES LLC,1,36292,43,1082566,0,713399,0,1.2,53.9,113.5,69.0
469,FRANCONIA APARTMENTS LLC,1,27035,57,311370,0,1055110,0,2.1,50.5,73.2,88.0
470,ELIASEN MARK G+DEBORAH J+CHELAN INVESTORS LLC,1,20798,63,188242,0,1178865,0,3.1,65.7,84.9,75.0
471,LOLA APARTMENTS LLC,1,41420,30,655209,0,502646,0,0.7,28.0,57.0,
472,LA CHARME ASSOCIATES LLC,1,36837,50,586198,0,900081,0,1.4,40.3,70.2,
473,RAVENSTONE APARTMENTS LLC,1,21094,3,648865,0,0,0,0.2,30.8,86.1,73.0
474,FOUNTAIN COURT APARTMENTS LLC,1,21240,3,609101,0,0,0,0.2,28.7,80.3,63.0
475,ALOHA TERRACE ASSOCIATES,1,28674,9,669287,0,107423,0,0.3,27.1,69.3,79.0
476,GREX RESIDENCES LLC,1,22320,62,214660,0,1162656,0,2.8,61.7,81.6,85.0
477,WARN AGUILAR 525 FAMILY L L C,1,37161,5,978811,0,0,0,0.1,19.2,53.8,91.0
478,510/520 FOURTH WEST PROPERTIES,1,37340,4,920602,0,0,0,0.1,24.7,69.0,92.0
479,FOURTH WEST PROPERTIES LLC,1,23282,3,616606,0,0,0,0.1,24.6,68.9,90.0
480,STRATFORD DEVELOPMENT CO LLC,1,33953,4,838548,0,0,0,0.1,29.1,81.4,84.0
481,QUEEN ANNE 23 LLC,1,24540,9,427496,0,129135,0,0.4,22.7,54.3,
482,BEACON HOMES INC,1,98357,91,1422333,0,1578869,0,0.9,30.5,57.3,86.0
483,21 W LEE LLC,1,26678,51,256305,0,935548,0,1.9,41.2,58.7,
484,CARLYLE APARTMENTS SEATTLE LLC,1,21376,51,171991,0,954841,0,2.4,52.7,69.4,82.0
485,PARKER APARTMENTS LIMITED PARTNERSHIP,1,38328,6,1192269,0,0,0,0.2,38.7,108.4,66.0
486,LINEAGE WA POS RE 2 LLC,1,963257,559,39938142,0,6539996,0,0.6,44.8,116.1,
487,ARGONAUT PROPERTIES INC,1,37600,24,464874,0,415053,0,0.7,23.4,46.2,
488,INTERBAY MM HOLDING LLC,1,57644,138,879200,0,2509774,0,2.4,58.8,88.4,
489,BMR 201 ELLIOTT AVENUE LLC,1,151000,548,15150539,0,8807011,0,3.6,154.8,333.9,
490,CHURCH OF SCIENTOLOGY,1,31945,8,1564798,0,0,0,0.3,49.0,137.2,12.0
491,FIRST FREE METHODIST CHURCH OF,1,62000,79,675134,0,1435210,0,1.3,33.9,54.6,33.0
492,ON THE BOARDS,1,34976,12,538067,0,189716,0,0.4,20.8,48.8,
493,KOREA REPUBLIC OF,1,22778,0,0,0,0,0,0.0,,,
494,ASC QUEEN ANNE SPU LLC,1,139061,94,3584098,0,1428263,0,0.7,34.6,79.6,75.0
495,ASC QUEEN ANNE LLC,1,41010,55,1637692,0,881949,0,1.4,61.4,134.4,97.0
496,MERCER CREST LLC,1,23636,3,613491,0,0,0,0.1,26.0,72.7,93.0
497,CTA I LLC,1,22093,3,558921,0,0,0,0.1,25.3,70.8,80.0
498,DELROY ASSOCIATES L.L.C,1,40370,4,919949,0,0,0,0.1,22.8,63.8,
499,JAC-VW CORPORATION,1,46296,93,381040,0,1726490,0,2.0,45.5,62.2,70.0
500,DRAVUS APARTMENTS LLC,1,29482,21,771402,0,329745,0,0.7,37.3,85.0,89.0
501,ZELLA APARTMENTS LLC,1,86923,60,1600390,0,977241,0,0.7,29.7,63.4,100.0
502,2ND & JOHN APARTMENTS LLC,1,59811,39,1244964,0,613391,0,0.7,25.3,56.2,
503,TEHAMA JAX LLC+FR JAX LLC,1,43904,50,1350561,0,808103,0,1.1,30.8,66.0,99.0
504,ESSEX CANVAS LLC,1,100371,12,2274804,0,0,0,0.1,23.1,64.5,95.0
505,LPF SLATE LLC,1,145602,144,4036157,0,2309047,0,1.0,23.2,50.1,100.0
506,H2O APARTMENTS LLC,1,21762,20,755926,0,300652,0,0.9,35.0,80.5,97.0
507,SKYLINE HOUSE APARTMENTS LLC,1,75086,140,1126327,0,2536770,0,1.9,48.8,77.5,94.0
