Owner,BuildingsOwned,TotalGHGE,TotalGHGE_metric_tons,AverageEnergyStarScore,TotalNaturalGas_kBtu,TotalElectricity_kBtu,TotalSteamUse_kBtu
2400 ELLIOTT LLC,1,136.1,136.1,89.0,1944846,6166487,0
COHO COMMERCIAL BUILDING L L C,1,18.7,18.7,,287302,648539,0
PLANNED PARENTHOOD WESTERN WA,1,21.7,21.7,45.0,216866,1906748,0
RLI BUILDING LLC,1,36.9,36.9,61.0,565073,1287772,0
LANGER PROPERTIES LLC +MOD APARTMENT INVESTORS LLC,1,163.5,163.5,76.0,2970666,1080693,0
SATO FAMILY LTD PARTNERSHIP,1,58.5,58.5,76.0,937444,1629873,0
BROADWAY SILVER CLOUD INN LLC,1,320.8,320.8,61.0,5609200,4311403,0
LORING GROUP LLC,1,3.4,3.4,75.0,0,631958,0
RAR 2501 LLC,1,41.8,41.8,,673257,1135566,0
AGC ARTHOUSE OWNER LLC,1,58.4,58.4,98.0,897994,2016487,0
LOS ROBLES COURT COMPANY LLC,1,10.1,10.1,100.0,125020,654557,0
206 BELL LLC,1,89.4,89.4,87.0,1418486,2648126,0
SV PROPERTIES L L C,1,9.1,9.1,67.0,0,1719814,0
1016 E PIKE STREET INC,1,33.8,33.8,,550021,864148,0
CONCEPT ONE APARTMENTS LLC,1,107.8,107.8,57.0,1835581,1935039,0
WESTERN & LENORA INVESTORS LLC,1,31.3,31.3,84.0,443272,1467535,0
ELLIOTT POINTE LLC,1,19.1,19.1,,161028,1980348,0
XERAD LLC,1,93.3,93.3,89.0,1713642,438827,0
CRYSTAL COURT APARTMENTS LLC,1,2.7,2.7,,0,511407,0
9100 ROOSEVELT 2021 LLC +JIMMYJAX 9100 2021 LLC,1,3.3,3.3,70.0,0,612401,0
CASTLE LLC,1,36.1,36.1,95.0,612237,680288,0
FG92 LENORA LLC+CWS LENORA LP,1,132.6,132.6,71.0,2257272,2393414,0
CLISE INC & HAMMER CO LLP,1,255.8,255.8,87.0,614318,5207166,2355511
BLACKWOOD PROPERTIES LLC,1,0.0,0.0,,0,0,0
CEDARS LLC,1,22.1,22.1,53.0,211118,2042757,0
LEGACY PINE STREET LLC,1,17.1,17.1,,286116,354128,0
PINE LLC,1,16.9,16.9,90.0,259407,578238,0
HCP 600 BROADWAY MOB LLC,1,93.8,93.8,66.0,680472,10851521,0
CRAWFORD GROUP OF SEATTLE L L C THE,1,34.3,34.3,26.0,496328,1486405,0
WOODLAND PARK CHURCH GOD,1,82.8,82.8,59.0,1522111,362403,0
POLYCLINIC MSO PLLC,1,487.5,487.5,57.0,8212732,9654977,0
12 MADISON INVESTMENT LLC,1,0.0,0.0,,0,0,0
9709 THIRD AVENUE INVESTORS LLC,1,37.4,37.4,,0,7024325,0
914 EAST TERRACE LLC,1,0.0,0.0,,0,0,0
AR PIKE II LLC,1,32.7,32.7,95.0,578922,362515,0
SEATTLE 1521 10TH LLC,1,17.7,17.7,88.0,272720,610066,0
NORTHGATE ATHLETIC CLUB LLC,1,119.2,119.2,,2093575,1500854,0
1205 EAST PIKE LLC,1,1.8,1.8,,0,338605,0
BECK TIM,1,5.2,5.2,,0,985505,0
TRINITY LAKEVIEW COURT LLC,1,9.3,9.3,77.0,0,1750736,0
FIRST PLACE,1,40.1,40.1,47.0,712840,423465,0
VISTA POINT APARTMENTS LLC,1,5.0,5.0,87.0,0,933235,0
NORTHWEST SCHOOL OF THE ARTS,1,54.5,54.5,79.0,944142,812602,0
EPIPHANY SCHOOL,1,34.6,34.6,80.0,588183,634063,0
PACIFIC NORTHWEST RESEARCH,1,597.0,597.0,,3751,5239331,6854334
J G CAPITAL HILL LLC,1,10.9,10.9,96.0,0,2054063,0
12TH AVENUE MARKETPLACE L L C,1,68.3,68.3,47.0,1143476,1419672,0
BF BLOCKER LLC,1,2.7,2.7,100.0,0,503178,0
JEWISH FAMILY SVCS OF SEATTTLE,1,29.0,29.0,62.0,429889,1151550,0
900 E PINE LLC,1,5.9,5.9,,4713,1062826,0
WEISS-JENKINS III LLC,1,93.0,93.0,70.0,1725088,250729,0
LESCHI PARTNERS L L P,1,55.2,55.2,,620411,4186374,0
AP PINE AND BOYLSTON LLC,1,4.4,4.4,83.0,0,836486,0
2701 FIRST AVENUE L L C,1,101.6,101.6,82.0,1747009,1651476,0
VIRGINIA STREET REIT LLC,1,33.6,33.6,96.0,554768,785500,0
BIT BCAL BLANCHARD PROPERTY LLC,1,232.0,232.0,78.0,3194336,11728549,0
HUDSON SQUARE APARTMENTS LLC,1,3.1,3.1,,0,589644,0
QA PARTNERS LLC,1,57.2,57.2,76.0,880620,1963566,0
NW WORK LOFTS LP,1,340.8,340.8,,6069261,3466080,0
HIT PORTFOLIO II OWNER LLC,1,134.8,134.8,16.0,1865290,6714652,0
ADMIRAL APARTMENTS L L C,1,15.9,15.9,83.0,248286,503442,0
PAPE PROPERTIES INC,1,120.8,120.8,8.0,2181924,919770,0
CREF3 NORFOLK STREET OWNER LLC,1,2.2,2.2,73.0,0,408516,0
4801 FAUNTLEROY LLC,1,23.0,23.0,93.0,362889,692558,0
ALASKA HOUSE LLC,1,65.4,65.4,64.0,981520,2500712,0
98 NORFOLK LLC,1,15.8,15.8,91.0,249339,486957,0
NORFOLD BUILDING LP,1,93.9,93.9,3.0,1400115,3666859,0
5940 MARTIN LUTHER KING WAY SOUTH LLC,1,49.0,49.0,,847312,749891,0
SAINT GERVAIS LLC % STARRETT CTY ASSO,1,42.6,42.6,96.0,590148,2117071,0
FRASER RICHARD H,1,3.4,3.4,,0,631383,0
YEE KING G LLC,1,354.9,354.9,36.0,5912008,7699519,0
SUNDSMO ALBERT+LOIS,1,42.5,42.5,64.0,651257,1485697,0
AREC RW MS LLC C/O U-HAUL INTERNATIONAL INC,1,3.4,3.4,,14191,490837,0
OTHELLO NORTH LP,1,238.3,238.3,70.0,4170125,3159783,0
ANGELINE OWNER LLC,1,222.6,222.6,99.0,3889707,3009700,0
MATTESON GREENHOUSE INVESTORS LLC,1,71.1,71.1,98.0,1137274,2019527,0
TD FRANK FAMILY LLC,1,6.0,6.0,62.0,0,1137065,0
STATION AT OTHELLO PARK LLC,1,40.0,40.0,75.0,0,7520222,0
4730 32ND AVENUE DEVELOPMENT II LLC,1,113.3,113.3,100.0,1924548,2087045,0
DESC RAINIER HOUSING L P,1,118.2,118.2,16.0,2134009,909112,0
SISTERS OF PROVIDENCE PARISEAU ASSOC,1,15.5,15.5,,256150,348654,0
4821 FAUNTLEROY LLC,1,3.2,3.2,76.0,0,610309,0
6023 SW STEVENS LLC,1,3.0,3.0,90.0,0,562699,0
COLONY SURF LLC,1,6.5,6.5,77.0,0,1218201,0
WEST 206 ALLIANCE INVESTMENTS LLC,1,7.0,7.0,43.0,0,1313146,0
FIRST FREE METHODIST CHURCH OF,1,79.8,79.8,33.0,1435210,675134,0
ON THE BOARDS,1,12.9,12.9,,189716,538067,0
YOSHIKAWA TERRANCE,1,2.8,2.8,87.0,0,517221,0
KOREA REPUBLIC OF,1,0.0,0.0,,0,0,0
ASC QUEEN ANNE SPU LLC,1,94.9,94.9,75.0,1428263,3584098,0
ASC QUEEN ANNE LLC,1,55.5,55.5,97.0,881949,1637692,0
BAYVIEW MANOR HOMES,1,51.9,51.9,48.0,0,9756662,0
1700 W ARMORY LLC,1,2.9,2.9,97.0,0,541356,0
1625 W WHEELER LLC,1,1.0,1.0,100.0,0,186604,0
SVAP III ELLIOT PLAZA LLC,1,20.4,20.4,88.0,337186,467048,0
1570 W ARMORY LLC,1,3.4,3.4,,0,631838,0
VILLA ANDORA 1520 LLC,1,5.1,5.1,69.0,0,965657,0
RIPPLE ROCK LLC,1,3.0,3.0,90.0,0,561499,0
DS PROPERTIES 18 LP,1,7.1,7.1,,0,1327626,0
ARE SEATTLE NO 10 LLC,1,426.9,426.9,,7653181,3841840,0
PARK HAMILTON INVESTORS 2019 LLC,1,5.5,5.5,55.0,0,1037398,0
CRUISE LLC,1,436.6,436.6,91.0,4704359,35118454,0
HAYS ELLIOTT PROPERTIES LLC,1,12.7,12.7,100.0,235528,34782,0
QA CANAL LLC,1,2.8,2.8,86.0,0,528358,0
S3KM LLC,1,14.4,14.4,81.0,209096,622175,0
ALKI SHORES L L C,1,2.9,2.9,,0,550284,0
BAYVIEW BUILDING ASSOCIATES LLC,1,92.8,92.8,85.0,1699325,475157,0
SELIG REAL ESTATE HOLDINGS TEN,1,57.6,57.6,91.0,540037,5429673,0
ELLIOTT SEATTLE REAL ESTATE HOLDING INC,1,150.4,150.4,88.0,2499870,3312277,0
4730 CALIFORNIA LLC,1,52.1,52.1,66.0,760716,2198935,0
SB-FELIX NORTH LLC,1,5.7,5.7,34.0,0,1069430,0
TRIAD PIER 70 L L C,1,134.6,134.6,29.0,1913038,6202583,0
EMPIRE WAY SHOPPING CENTER LLC,1,172.1,172.1,,3207857,323487,0
LMD RENTALS LLC,1,4.4,4.4,80.0,52195,305804,0
TWO SYNAGOGUES LLC,1,36.6,36.6,48.0,676722,125953,0
SVF ADMIRAL SAFEWAY SEATTLE LLC,1,353.7,353.7,,5929405,7285985,0
J.G.CROWN HILL L.L.C,1,45.5,45.5,5.0,678588,1781015,0
820 NW 95TH STREET PROPERTY LLC,1,277.3,277.3,33.0,4896163,3255145,0
FIRST FREE METHODIST CHURCH,1,29.5,29.5,81.0,545806,102980,0
GREEN LAKE PRESBYTERIAN CHURCH PRESBYTERIAN CHURCH IN AMERICA,1,48.9,48.9,67.0,906867,142596,0
PUGET SOUND NEIGHBORHOOD HEALTH CENTERS,1,16.0,16.0,11.0,121219,1790731,0
SOUTH BENNETT STREET HOMES LLC,1,200.8,200.8,67.0,3534207,2460760,0
SMALL FACES CHILD DEVELOPMENT CENTER,1,112.2,112.2,,2076739,358949,0
B9 SS 40TH AVE OWNER LLC,1,0.0,0.0,,0,0,0
WCSD 6020 RAINIER AVE S LLC,1,0.0,0.0,,0,0,0
40TH AVE SOUTH L L C,1,0.0,0.0,,0,0,0
BEACON HOMES INC,1,91.4,91.4,86.0,1578869,1422333,0
SEATTLE CITY OF S-DOT R/W,1,12.7,12.7,,124380,1143627,0
NORTH AMERICA CHANG JIANG 8 LLP,1,10.5,10.5,58.0,0,1967552,0
CROWN HILL LLC,1,34.5,34.5,57.0,0,6484421,0
GREENWOOD FM PROPERTIES LLC,1,365.2,365.2,92.0,5750448,11238046,0
LILLEHAMMER LLC,1,7.0,7.0,97.0,0,1325159,0
CP5 NOBA LLC,1,6.1,6.1,97.0,0,1154301,0
CP5 BELAY LLC,1,90.5,90.5,93.0,1544137,1598817,0
NW LIMITED PARTNERSHIP,1,4.1,4.1,64.0,0,766658,0
CLOSE ROBERT J,1,6.3,6.3,89.0,38650,791757,0
CROWN RIDGE LLC,1,24.7,24.7,93.0,415470,485929,0
IGLESIA NI CRISTO,1,14.0,14.0,94.0,240211,228907,0
GARDEN COURT WPIG L L C,1,8.0,8.0,39.0,0,1498009,0
4724 CALIFORNIA AVE DEVELOPMENT CO LLC,1,88.4,88.4,100.0,1465534,1977845,0
MOUNT BAKER HOUSING ASSN,1,4.4,4.4,49.0,0,828025,0
WEST SEATTLE CAPITAL PARTNERS,1,18.9,18.9,89.0,0,3555884,0
KING COUNTY HOUSING AUTHORITY,1,59.9,59.9,52.0,816347,3112430,0
SPENCER APARTMENTS LLC,1,4.7,4.7,74.0,0,888092,0
OREGON PLACE APTS LLC,1,3.4,3.4,,0,631736,0
SEWARD PARK APARTMENTS LLC,1,3.5,3.5,,0,665803,0
PARK PLACE RHF HOUSING,1,153.0,153.0,5.0,2373612,5062030,0
RSA SOUND VIEW LLC,1,10.2,10.2,,0,1925873,0
ESPERANZA APARTMENTS LTD PSTHP,1,9.6,9.6,61.0,0,1810069,0
BIG BUY LLC,1,3.1,3.1,93.0,0,588356,0
CY & Y ENTERPRISE LLC,1,9.9,9.9,,109992,767778,0
LAKE WASHINGTON II LLLP,1,70.1,70.1,27.0,0,13176325,0
J & E APARTMENTS LLC,1,64.8,64.8,53.0,1185328,342371,0
R&W LANTERA LLC,1,7.8,7.8,80.0,0,1463818,0
SEATTLE OF CITY,1,81.5,81.5,96.0,1326461,2069391,0
BROADSTONE SKY LLC,1,105.7,105.7,98.0,1729436,2610174,0
LILAC LODGE LLC,1,5.3,5.3,62.0,0,998080,0
FONTANELLE APARTMENTS LLC,1,6.5,6.5,71.0,0,1218917,0
BOYD PARKWAY APTS LLC,1,8.5,8.5,56.0,0,1598553,0
SOUTHEAST SEATTLE SENIOR FOUNDATION,1,4.5,4.5,40.0,0,837151,0
3 M 42 LLC,1,65.2,65.2,,1084732,1422375,0
TARNG YAO SENG,1,5.3,5.3,58.0,0,992114,0
MYRLE STREET APARTMENTS LLC,1,5.7,5.7,62.0,0,1072997,0
ADMIRAL FARM TO MARKET L L C,1,356.8,356.8,,6182101,5346225,0
BRIGHTON APARTMENTS L L C THE,1,222.1,222.1,92.0,3973011,2088585,0
CHURCH OF SCIENTOLOGY,1,8.3,8.3,12.0,0,1564798,0
GARDEN TERRACE INVESTORS 2008 L L C,1,3.6,3.6,83.0,0,672237,0
JARRELL DAVID+DEAK JUDITH A,1,6.3,6.3,30.0,0,1193163,0
CBYW SEATTLE PROPCO LLC,1,80.4,80.4,58.0,1298045,2163159,0
MINI-MAX LLC,1,0.0,0.0,,0,0,0
MILLER FAMILY INVESTMENTS LLC,1,117.5,117.5,,1986294,2258336,0
DNXT LLC,1,0.0,0.0,,0,0,0
GROSS TED AND ANTONIA PROPERTIES LLC,1,223.5,223.5,48.0,3767896,4391479,0
DS INTERBAY URBAN CENTER LP,1,291.2,291.2,,4818027,6635552,0
SS INTERBAY LLC,1,96.0,96.0,,1735619,720795,0
INTERBAY URBAN STORAGE LLC,1,31.1,31.1,,541326,438683,0
A-1 SELF STORAGE LLC,1,0.0,0.0,,0,0,0
SABRA PARK WEST LLC,1,160.2,160.2,77.0,2817592,1988650,0
MAGNOLIA BRIDGE SELF STORAGE INVESTMENT LLC,1,37.1,37.1,,658715,397249,0
DRAVUS APARTMENTS LLC,1,21.6,21.6,89.0,329745,771402,0
ZELLA APARTMENTS LLC,1,60.4,60.4,100.0,977241,1600390,0
STRONG VENTURE LLC,1,2.6,2.6,,0,486178,0
2ND & JOHN APARTMENTS LLC,1,39.2,39.2,,613391,1244964,0
TEHAMA JAX LLC+FR JAX LLC,1,50.1,50.1,99.0,808103,1350561,0
QUAIL PARK OF WEST SEATTLE LLC,1,11.7,11.7,,0,2200260,0
ESSEX CANVAS LLC,1,12.1,12.1,95.0,0,2274804,0
ASC ADMIRAL WAY LLC,1,150.3,150.3,52.0,2571701,2581538,0
LPF SLATE LLC,1,144.1,144.1,100.0,2309047,4036157,0
FTW LLC,1,8.9,8.9,13.0,0,1674123,0
H2O APARTMENTS LLC,1,20.0,20.0,97.0,300652,755926,0
CAPCO INVESTMENTS INC,1,30.5,30.5,,528722,463773,0
SKYLINE HOUSE APARTMENTS LLC,1,140.7,140.7,94.0,2536770,1126327,0
COREY NICHOLAS ANDREW,1,4.4,4.4,99.0,0,829742,0
KELLER FAMILY PROPERTIES LLC,1,32.6,32.6,16.0,479758,1338933,0
BUILDERS HARDWARESUPPLY CO,1,17.4,17.4,,255997,724376,0
BMR 201 ELLIOTT AVENUE LLC,1,548.3,548.3,,8807011,15150539,0
ROOSEVELT ECONO-MINI STORAGE LLC,1,35.3,35.3,,651799,125919,0
RISE FLATS LLC,1,50.8,50.8,100.0,813000,1434014,0
UCP 2401 ELLIOTT LLC,1,85.1,85.1,69.0,0,15996527,0
SRMAHULTRACK66 LLC,1,30.3,30.3,100.0,520978,498098,0
68TH AND ROOSEVELT LLC,1,9.3,9.3,99.0,0,1750785,0
FORTYSEVEN LLC,1,2.2,2.2,,0,412087,0
LPF WTC EAST LLC,1,54.4,54.4,77.0,0,10222860,0
BROOKLYN COURT LLC,1,81.6,81.6,,1243356,2920732,0
METRO SELF STORAGE,1,6.8,6.8,,41805,857780,0
2601 ELLIOTT OWNER LLC,1,74.8,74.8,84.0,99308,13079677,0
HUDSON 5TH + BELL LLC,1,50.5,50.5,84.0,0,9489345,0
KILROY REALTY L P,1,102.5,102.5,94.0,0,19281055,0
CLAY HEARL K JR,1,2.4,2.4,,0,459405,0
LUTHERAN HIGH SCHOOL ASSN WASH,1,93.3,93.3,93.0,1728999,281126,0
88 VINE LLC,1,30.7,30.7,,548824,296095,0
PACIFIC NORTHWEST BELL TELEPHO,1,74.9,74.9,,0,14085664,0
PALLADIAN HOTEL LLC,1,21.1,21.1,95.0,215999,1804935,0
CLISE PROPERTIES INC,1,42.9,42.9,84.0,659957,1475505,0
ROOSEVELT SQUARE REGENCY LLC,1,145.2,145.2,94.0,1530179,12022035,0
2301 THIRD AVE L P,1,64.7,64.7,94.0,1114063,1041743,0
ASHFORD SEATTLE WATERFRONT L P,1,463.8,463.8,84.0,7870545,8614474,0
NEWARK MEADOWS LLC,1,231.1,231.1,58.0,3896400,4552591,0
ACI REAL ESTATE SPE 137 LLC,1,341.4,341.4,39.0,5755700,6723152,0
IMMUNEX CORPORATION,1,165.9,165.9,,0,31189430,0
SEATTLE SCHOOL DISTRICT #1,1,264.7,264.7,81.0,4595209,3887998,0
WESTROY APARTMENTS L L C,1,3.4,3.4,90.0,1502,615680,0
KAMI LP+MILKIE STUDIO INC ET AL,1,3.7,3.7,100.0,0,704058,0
HSIAO FAMILY (1) L L C,1,78.0,78.0,,1382609,861861,0
WARN AGUILAR 525 FAMILY L L C,1,5.2,5.2,91.0,0,978811,0
CTA I LLC,1,3.0,3.0,80.0,0,558921,0
MERCER CREST LLC,1,3.3,3.3,93.0,0,613491,0
KAPLAN REAL ESTATE SERVICES LLC,1,43.6,43.6,69.0,713399,1082566,0
FRANCONIA APARTMENTS LLC,1,57.7,57.7,88.0,1055110,311370,0
ELIASEN MARK G+DEBORAH J+CHELAN INVESTORS LLC,1,63.6,63.6,75.0,1178865,188242,0
LOLA APARTMENTS LLC,1,30.2,30.2,,502646,655209,0
LA CHARME ASSOCIATES LLC,1,50.9,50.9,,900081,586198,0
RAVENSTONE APARTMENTS LLC,1,3.5,3.5,73.0,0,648865,0
FOUNTAIN COURT APARTMENTS LLC,1,3.2,3.2,63.0,0,609101,0
ALOHA TERRACE ASSOCIATES,1,9.3,9.3,79.0,107423,669287,0
GREX RESIDENCES LLC,1,62.9,62.9,85.0,1162656,214660,0
510/520 FOURTH WEST PROPERTIES,1,4.9,4.9,92.0,0,920602,0
FIRST & REPUBLICAN ASSOCIATES L L C,1,20.1,20.1,100.0,281821,973593,0
FOURTH WEST PROPERTIES LLC,1,3.3,3.3,90.0,0,616606,0
STRATFORD DEVELOPMENT CO LLC,1,4.5,4.5,84.0,0,838548,0
ELSTON PROPERTIES INC,1,24.8,24.8,100.0,458402,92971,0
QUEEN ANNE 23 LLC,1,9.1,9.1,,129135,427496,0
21 W LEE LLC,1,51.0,51.0,,935548,256305,0
CARLYLE APARTMENTS SEATTLE LLC,1,51.6,51.6,82.0,954841,171991,0
PARKER APARTMENTS LIMITED PARTNERSHIP,1,6.3,6.3,66.0,0,1192269,0
OLYMPIC VIEW APARTS I LLC,1,18.4,18.4,88.0,295843,512324,0
LINEAGE WA POS RE 2 LLC,1,559.7,559.7,,6539996,39938142,0
ARGONAUT PROPERTIES INC,1,24.5,24.5,,415053,464874,0
INTERBAY MM HOLDING LLC,1,138.0,138.0,,2509774,879200,0
DELROY ASSOCIATES L.L.C,1,4.9,4.9,,0,919949,0
JAC-VW CORPORATION,1,93.7,93.7,70.0,1726490,381040,0
GLEN EDEN LLC,1,24.6,24.6,93.0,399660,630580,0
LANTZ SUZANNE RAGAN,1,76.5,76.5,69.0,1410836,287279,0
EQR-METRO ON FIRST LLC,1,76.0,76.0,100.0,1259012,1718445,0
ASN SEATTLE LLC,1,97.5,97.5,91.0,1415790,4203137,0
ODEGARD-GOCKEL INVESTMENTS LLC,1,9.5,9.5,88.0,21898,1563941,0
MANNING PLACE LLC,1,3.7,3.7,58.0,0,696361,0
WEST REPUBLICAN PLACE INC,1,3.2,3.2,98.0,0,600421,0
EASTHOM INVESTMENT LLC,1,28.9,28.9,,460143,831437,0
DUFFY INVESTMENTS L L C,1,30.5,30.5,,545674,287258,0
ALKI PLACE APARTMENTS LLC,1,3.1,3.1,84.0,0,577975,0
CIELE AZUL QA FLATS LLC,1,16.5,16.5,95.0,269239,415688,0
DESC INTERBAY SUPPORTIVE HOUSING LP,1,79.9,79.9,66.0,1358201,1459377,0
FLATS AT INTERBAY LIMITED PARTNERSHIP,1,13.1,13.1,96.0,0,2464921,0
SAN JUAN APARTMENTS LLC,1,3.8,3.8,78.0,0,718344,0
ALKI 37 LLC,1,6.0,6.0,31.0,0,1130593,0
1127 OLYMPIC WAY WEST L L C,1,38.7,38.7,94.0,711412,176783,0
KINNEAR LLC,1,34.0,34.0,100.0,626967,135514,0
CHELSEA PLACE APARTMENTS L L C,1,6.5,6.5,65.0,0,1230594,0
RUDENKO TATYANA,1,3.2,3.2,95.0,0,604443,0
OLETA APARTMENTS LIMITED PARTNERSHIP,1,55.2,55.2,73.0,1006925,323594,0
CRE 4321 GENESEE LLC,1,2.7,2.7,,0,503715,0
TERRACE VIEW 3703 L L C,1,4.8,4.8,67.0,0,900135,0
VIKMIN PROPERTIES LLC,1,70.5,70.5,33.0,1307038,204796,0
OLYMPIC/GRAYSON ARMS LLC,1,60.5,60.5,96.0,1112649,257108,0
HAMM BUILDING LLC,1,2.4,2.4,,1730,431409,0
TMUD GSL LLC,1,181.9,181.9,88.0,2965013,4588587,0
PANTAGES APT LLC,1,45.1,45.1,71.0,741291,1068853,0
BOYLSTON COURT ASSOCIATES,1,53.8,53.8,78.0,986187,268959,0
PACIFIC MILLENNIAL REALTY LLC,1,10.7,10.7,89.0,154071,466651,0
WES 2233 LLC,1,82.9,82.9,,1487533,727021,0
HGA INVESTMENTS LLC,1,73.4,73.4,,1374638,72075,0
LUCURELL DREW D,1,25.5,25.5,,459890,202169,0
KACZMAREK WILLIAM J+VIRGINIA A,1,7.2,7.2,84.0,114511,216031,0
PAUL LAUZIER SCHOLARSHIP FOUNDATION+PAUL LAUZIER CHARITABLE FOUNDATION,1,10.3,10.3,44.0,134562,593688,0
SOUTH FOREST LLC,1,17.1,17.1,43.0,245590,771535,0
DCT INDUSTRIAL VALUE FUND I,1,3.8,3.8,,47275,246735,0
ALASKAN COPPER COMPANIES INC,1,0.0,0.0,,0,0,0
RS KOHLS PROPERTIES LLC,1,29.9,29.9,75.0,525548,368188,0
JABOW INC +KRISTU LLC,1,3.2,3.2,53.0,0,596677,0
AMB US LOGISTICS FUND LP,1,280.9,280.9,79.0,4847181,4407707,0
FM 1703 6TH AVE SOUTH LLC,1,6.5,6.5,64.0,119,1215052,0
27OO 4TH AVE SOUTH L P,1,56.3,56.3,,1023429,364446,0
SWIND 2424 8TH AVENUE POINT LLC,1,32.6,32.6,60.0,415457,1977223,0
VIC AND JACK LLC,1,8.4,8.4,,0,1581785,0
PREDATION LLC,1,41.6,41.6,85.0,694829,875833,0
1016 1ST AVE SOUTH LP,1,5.1,5.1,,0,968099,0
1000 1ST AVENUE SOUTH LIMITED PARTNERSHIP,1,10.4,10.4,33.0,0,1954636,0
BEL TEMPO LLC,1,98.2,98.2,68.0,1631458,2164767,0
JMDH REAL ESTATE OF SEATTLE LLC,1,0.0,0.0,,0,0,0
NESOR INVESTMENT CO,1,873.7,873.7,,13127223,33187613,0
MUNICIPAL OF METROPOL SEATTLE,1,51.5,51.5,,881564,877032,0
DANIEL SMITH INC,1,35.4,35.4,,536533,1300951,0
NICOLA SOUTH HANFORD LP,1,8.1,8.1,,97865,552546,0
MASSACHUSETTS L L C,1,21.1,21.1,,284713,1133126,0
GULL INDUSTRIES INC,1,33.0,33.0,,575574,462365,0
1741 1ST SODO LLC,1,22.1,22.1,,0,4157276,0
SODO HOLGATE CENTER LLC,1,124.3,124.3,62.0,1563806,7747761,0
CEK HOLDINGS II L L C,1,5.9,5.9,,91160,203607,0
BNR CORPORATION,1,4.1,4.1,55.0,0,778035,0
NEWSOM PROPERTIES L L C,1,29.7,29.7,55.0,407595,1513558,0
WAREHOUSE INNOVATIONS LLC,1,1.6,1.6,29.0,0,306970,0
BOTTLEWORKS III LLC,1,12.1,12.1,83.0,189585,379970,0
TA REALTY VALUE-ADD FUND XIII REIT LLC,1,17.8,17.8,,300887,336419,0
GILLESPIE ROBERT L+ANCICH PATRICIA A,1,15.0,15.0,,235715,472016,0
CECCHINELLI STEVEN J,1,2.8,2.8,18.0,0,523014,0
2724 6TH AVENUE SOUTH LP,1,22.5,22.5,10.0,328791,940493,0
TERRENO 6TH AVE LLC,1,40.9,40.9,55.0,707917,629437,0
FM 2323 AIRPORT WAY SOUTH LLC,1,92.7,92.7,36.0,1687430,572838,0
HENSON FAMILY LIMITED LIABILITY COMPANY,1,0.0,0.0,,0,0,0
2100 AIRPORT WAY L L C,1,52.9,52.9,,958164,373532,0
AVALON ARTISTS LLC,1,12.2,12.2,7.0,151002,784725,0
B & B PARTNERS II LLC,1,74.2,74.2,64.0,1357757,393128,0
EXCHANGE 54 S DAWSON LLC,1,43.8,43.8,55.0,719058,1056176,0
2440 FIRST AVENUE SOUTH II LP,1,19.3,19.3,68.0,346843,160147,0
PURPLE CHEETAH LLC,1,61.9,61.9,21.0,1115834,494735,0
STAN & SHIRLEY HANDALY L L C,1,19.5,19.5,,294931,717496,0
PALACE INVESTMENT CO,1,38.5,38.5,50.0,689301,352660,0
SEADRUNAR PROPERTIES,1,7.5,7.5,33.0,0,1415059,0
NICOLA URBANWORKS LP,1,554.8,554.8,32.0,9977136,4689838,0
TUALATIN-LAKE OSWEGO LLC,1,110.8,110.8,46.0,1988235,975598,0
6TH & HOLGATE BUILDING LLC,1,130.6,130.6,8.0,1853938,6037578,0
HILL INVESTMENT COMPANY,1,83.9,83.9,,1256809,3230297,0
WSA PROPERTIES LLC,1,3.3,3.3,67.0,7700,550871,0
BIESOLD 4100 LLC,1,12.4,12.4,56.0,0,2330482,0
TERRENO 4225 2ND AVENUE SOUTH LLC,1,73.2,73.2,55.0,1285618,924114,0
G S BUILDING SUPPLY INC,1,0.0,0.0,,0,0,0
TERRENO 1ST AVENUE SOUTH LLC,1,81.6,81.6,,1536296,9107,0
OB SODO PROPERTIES V LLC,1,13.4,13.4,65.0,0,2518086,0
COSTCO WHOLESALE CORPORATION,1,529.0,529.0,81.0,8567611,13917459,0
SIC RP LLC,1,165.9,165.9,,749,31198717,0
PORT SEATTLE,1,50.4,50.4,,0,9470224,0
HUTCHINSON CAROL S,1,25.4,25.4,78.0,390054,881797,0
EVERGREEN TREATMENT SERVICES,1,25.5,25.5,,373163,1062188,0
URG OLYMPIC BUILDING LLC,1,19.1,19.1,93.0,0,3588298,0
LIBERTY RIDGE L L C,1,37.6,37.6,89.0,597156,1101036,0
KEY MAC LLC,1,43.9,43.9,94.0,657935,1679676,0
1ST AVENUE SOUTH SEATTLE OWNER LLC,1,43.6,43.6,,588992,2317426,0
SC SEATTLE RE II LLC,1,4.2,4.2,,0,794194,0
B&E INVESTMENTS LLC,1,12.2,12.2,,203967,253944,0
2944 FIRST AVENUE SOUTH LP,1,21.8,21.8,,330468,801516,0
CGA II LLC,1,71.8,71.8,,1292010,606278,0
PACIFIC INDUSTRIAL CENTER LP,1,41.5,41.5,,687604,938407,0
640 SPOKANE LLC,1,61.8,61.8,,0,11613093,0
CANAL BOILER LP,1,21.6,21.6,,374112,325107,0
MONROE COMMERCIAL PROPERTIES LLC,1,2.6,2.6,,3516,450116,0
MUNICIPALITY OF METROPOLITAN S,1,1179.7,1179.7,,21094967,11159342,0
