f,Owning Entity Best Guess (lookup into OwningEntities tab),HQ City,"Assets, $B, Best Guess",Owning Entity Category,Public/Private/Nonprofit/Condo status,"Company Info -- business model, how assets found, etc, incl links to evidence",Sustainability claim (any we happened to find while researching ownership),How Sleuthed. NOTE sheets bug broke hyperlinks. See tab AllSleuthData for links to supporting info,Who sleuthed owner,Sleuth pass,BEPS LegislationPropertyType,PropertyGFABuilding_s_,BuildingName,GHGEmissionsIntensityKgSqFt,TotalGHGEmissions__metric_tons_,June BEPS Target for 2031-2035,,Qualifies for Alt GHGIT,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI_kBtu_sf_,SiteEUIWN_kBtu_sf_,SiteEnergyUse_kBtu_,SiteEnergyUseWN_kBtu_,SourceEUI_kBtu_sf_,SourceEUIWN_kBtu_sf_,NaturalGas_kBtu_,NaturalGas_therms_,Electricity_kBtu_,Electricity_kWh_,SteamUse_kBtu_,OtherFuelUse_kBtu_,PropertyGFATotal,PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType
588 BELL ST,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,"Googled ""insignia tower seattle owners association"", then looked up the Business Name in Corporations & Charities just to be sure -- doc filing dates match, and governors are a Seattle condo management firm. Then decided not to go into details of condo buildings until/unless we actually need them.",Alice,3,Multifamily Housing,995234,INSIGNIA CONDOS,0.7,673,0.89,0,FALSE,50263,3589000000,2020,Multifamily HR (10+),,7,DOWNTOWN,,2015,SEATTLE,SEATTLE,98121,47.61672,-122.34337,,,Multifamily HR (10+),38,,50.9,51.4,39779848,39383032,120.6,121.2,9697086,96971,29685946,8700453,0,,1464631,469397,1,41,Multifamily Housing,763447,Parking,154200,Retail Store,10129,,No Issue,Compliant,,,Multifamily Housing
1823 TERRY AVE,TIAA,"New York, NY",1300,Asset Management,Private Ownership,"From wikipedia, asset management with $1 trillion in combined assets under management with holdings in more than 50 countries, and the third-largest commercial real estate manager in the world. The top level org is a nonprofit, but the $$ are pretty much all in for-profit subsidiaries.  ",,"Listed on the Wikipedia article, also found the sale article (https://www.bizjournals.com/seattle/news/2012/11/02/tiaa-cref-is-buyer-of-aspira-apartment.html)",Alex,1,Multifamily Housing,371539,ASPIRA - APARTMENTS,0.7,250,0.89,0,FALSE,20163,660001170,2020,Multifamily HR (10+),T-C ASPIRA LLC,1,DOWNTOWN,326,2008,SEATTLE,WA,98101,47.61589,-122.33342,,,Multifamily HR (10+),89,,32.6,32.6,12791350,12791350,74.4,74.4,3797352,37974,8993998,2635990,0,,517164,145625,1,37,Multifamily Housing,385571,Parking,108300,"Personal Services (Health/Beauty, Dry Cleaning, etc)",4434,,No Issue,Compliant,,,Multifamily Housing
1326 5TH AVE,University of Washington,Seattle,8,"Government (Seattle, UW, etc)",Government,"Note: For most UW-owned properties downtown, UW is noted as the Tax Parcel owner, so easy to id ownership. Some look like and are even claimed by Wikipedia to be owned by Unico, but in fact Unico ownly manages",,"Tax Parcel Owner is University of Washington, as for other buldings in the Metropolitan Tract.  That means other info found in earlier sleuthing is about managment of the building:  https://pcad.lib.washington.edu/building/4732/",Neal,3,Office,321945,THE COBB APARTMENTS,0.7,231,0.81,0,FALSE,19484,2400002,2020,Multifamily HR (10+),UNIVERSITY OF WASHINGTON BOARD OF REGENTS,1,DOWNTOWN,98,1910,SEATTLE,WA,98101,47.60932,-122.33388,,,Multifamily HR (10+),44,,60.2,61.1,5889559,5799277,115.4,116.6,1309259,13093,2718659,796793,1771359,,321945,0,1,11,Multifamily Housing,76422,Restaurant,19895,,,,No Issue,Compliant,,,Office
2000 ALASKAN WAY,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Multifamily Housing,301229,WATERFRONT LANDINGS CONDOMINIUM,0.7,224,0.89,0,FALSE,25527,9195870000,2020,Multifamily MR (5-9),,7,DOWNTOWN,NOT_FOUND,1997,SEATTLE,WA,98121,47.61005,-122.34561,,,Multifamily MR (5-9),85,,35.7,36.1,10861701,10747216,79.7,80.1,3480219,34802,7266997,2129835,0,,301229,0,3,5,Multifamily Housing,301229,,,,,,No Issue,Compliant,,,Multifamily Housing
210 WALL ST,AvalonBay Communities Inc.,"Arlington County, VA",19.199,Real Estate Investment,Private Ownership,,,Listed on their company portfolio ,Alex,3,Multifamily Housing,316083,AVALON BELLTOWN TOWERS,0.7,222,0.89,0,FALSE,50654,656000141,2020,Multifamily HR (10+),AVALON 210 WALL LLC,1,DOWNTOWN,,2017,SEATTLE,SEATTLE,98121,47.61591,-122.34807,,,Multifamily HR (10+),74,,37.4,38,11295692,11127208,84.7,85.3,3400531,34005,7726679,2264560,0,,397034,80951,1,24,Multifamily Housing,297620,,,,,,No Issue,Compliant,,,Multifamily Housing
2105 5TH AVE,Invesco,"Atlanta, GA",1483,Asset Management,Private Ownership,"Invesco Ltd. is an American independent investment management company that is headquartered in Atlanta, Georgia","We adopt and implement ESG principles to align with our fiduciary responsibilities to our clients, and have strengthened our position through industry advocacy, leadership, and innovation.","Search ""2105 5TH AVE seattle owner business journal"" found article on Invesco purchase in 2014. Search ""2105 5TH AVE seattle invesco"" found other articles about purchase by Invesco, none about them later selling it.",Alice,3,Multifamily Housing,295754,THE MARTIN APARTMENTS,0.7,214,0.89,0,FALSE,49789,696000055,2020,Multifamily HR (10+),MARTIN APARTMENTS LLC,7,DOWNTOWN,,2013,SEATTLE,SEATTLE,98121,47.61447,-122.34101,,,Multifamily HR (10+),82,,36,36.4,8943892,8848527,75.9,76.3,3499786,34998,5348740,1567626,0,,295754,0,1,24,Multifamily Housing,241268,Parking,50236,Restaurant,4532,,No Issue,Compliant,,,Multifamily Housing
1113 6TH AVE,IHG,"Windsor, England",4.22,Hotel Chain,Private Ownership,"Wikipedia: InterContinental Hotels Group, marketed as IHG Hotels & Resorts, is a British multinational hospitality company headquartered in Windsor, England. It is listed on the London Stock Exchange and the New York Stock Exchange. It is also a constituent of the FTSE 100 Index. Assets: "" UK-based multinational hotel company InterContinental Hotels Group had total assets of approximately 4.22 billion U.S. dollars during the 2022 financial year""",,"No useful info from principals+ihg or seattle, or any of the usual searches on business OR company address (because in this case they are the same). Building name + address tells us this is the Crown Plaza Hotel, and that Crown Hotels are owned by IHG, so at a minimum IHG manages, and as a giant hospitality company that trades on the LSE and NYSE, they can afford a heat pump.",Alice,3,Hotel,295511,CROWNE PLAZA,0.7,195,2.06,0,FALSE,18,942000235,2020,NonResidential,TODAYS HOTEL SEATTLE CORPORATION,1,DOWNTOWN,415,1980,SEATTLE,WA,98101,47.60809,-122.33212,,,Hotel,98,,40.2,40.2,11866220,11866220,96.1,96.1,2762324,27623,9103895,2668199,0,,353111,57600,1,33,Hotel,295511,Parking,57600,,,,No Issue,Compliant,,,Hotel
1326 5TH AVE,University of Washington,Seattle,8,"Government (Seattle, UW, etc)",Government,"Note: For most UW-owned properties downtown, UW is noted as the Tax Parcel owner, so easy to id ownership. Some look like and are even claimed by Wikipedia to be owned by Unico, but in fact Unico ownly manages",,"Tax Parcel Owner is University of Washington, as for other buldings in the Metropolitan Tract.  That means other info found in earlier sleuthing is about managment of the building:  https://pcad.lib.washington.edu/building/4732/",Neal,3,Office,226061,SKINNER BLDG,0.7,163,0.81,0,FALSE,385,2400002,2020,NonResidential,UNIVERSITY OF WASHINGTON BOARD OF REGENTS,1,DOWNTOWN,98,1927,SEATTLE,WA,98101,47.60932,-122.33388,,,Office,90,,32.6,32.8,7424600,7367962,80,80.3,0,0,5778942,1693711,1589021,,226061,0,1,8,Office,166919,Performing Arts,39355,Retail Store,19787,,No Issue,Compliant,,,Office
1809 7TH AVE,The Vance Corporation,Seattle,,Seattle Real Estate - Large,Private Ownership,"""The Vance Corporation buildings enjoy exceptional locations in Seattle’s thriving downtown core. All of our properties are architecturally unique and diverse. And we have renovated and maintained each one with an extremely high level of attention to detail and care. The Vance Corporation is a team of local experts in real estate and property management."" Their properties lists 5 downtown buildings.",,"Website for the building is the Vance Corporation listing for Tower Building, and I believe Vance owns all of its little group of downtown buildings",Alice,3,Office,174790,TOWER BLDG,0.7,121,0.81,0,FALSE,331,659000365,2020,NonResidential,TOWER BUILDING LLC,1,DOWNTOWN,NOT_FOUND,1930,SEATTLE,WA,98101,47.61375,-122.33566,,,Office,95,,35.5,36.4,6326106,6172385,81,81.9,1835521,18355,4336864,1271062,0,,204790,30000,1,17,Office,142034,Other - Recreation,17070,Retail Store,14666,,No Issue,Compliant,,,Office
2025 TERRY AVE,Capstone Development Partners and Harrison Street,"Chicago, IL",55,,Private Ownership,"Partners in at least one combined Seattle venture, we can clearly state their assets as at least as big as the larger of the two firms",,"Tax parcel owner is City of Seattle, but 2025 Terry is the Cornish Commish Buidling, jointly occupied by Cornish and City University of Seattle, both private schools, and according to this article and others, the $50M Cornish Commons building is actually jointly owned by Capstone Developers and Harrison Street Real Estate Capital, a Chicago private equity fund that leases the site under a ground lease from Cornish and 'own' the building, which reverts to Cornish in 2056.",Alice,3,Multifamily Housing,137753,CORNISH SCHL STUDENT HSNG,0.7,98,0.89,0,FALSE,50078,660001324,2020,Multifamily HR (10+),SEATTLE CITY OF,7,DOWNTOWN,,2015,SEATTLE,SEATTLE,98121,47.61753,-122.3362,,,Multifamily HR (10+),100,,31,31.8,4582216,4458216,67.8,69.5,1553563,15536,2904652,851305,0,,149976,12223,1,20,Multifamily Housing,115768,Office,12503,College/University,9733,,Account Requires Verification,Not Compliant,,,Multifamily Housing
589 OCCIDENTAL AVE S,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Multifamily Housing,134992,GRIDIRON CONDOS (STADIUM LOFTS),0.7,93,0.89,0,FALSE,24459,2937600000,2020,NonResidential,,1,DOWNTOWN,NOT_FOUND,1903,SEATTLE,WA,98104,47.59588,-122.33363,,,Multifamily Housing,,,25.4,25.4,3423852,3423852,50.7,50.7,1568726,15687,1855126,543706,0,,185614,50622,1,11,Multifamily Housing,118118,Parking,50622,Retail Store,16874,,No Issue,Compliant,,,Multifamily Housing
400 YESLER WAY,King County,Seattle,N/A,"Government (Seattle, UW, etc)",Government,,,"Tax Parcel Owner is King County, and googling address+owner finds it houses various county offices",Alice,3,Office,106099,YESLER BUILDING - KING COUNTY,0.7,77,0.81,0,FALSE,361,942001150,2020,NonResidential,KING COUNTY,1,DOWNTOWN,NOT_FOUND,1909,SEATTLE,WA,98104,47.60193,-122.32812,,,Office,91,,35.9,37,3573594,3471824,78.3,79.4,1232600,12326,2239224,656279,0,,114395,8296,1,7,Office,96582,,,,,,No Issue,Compliant,,,Office
400 S JACKSON ST,Goodman Real Estate,Seattle,5.2,Seattle Real Estate - Large,Private Ownership,"Goodman Real Estate is a leading real estate investment company specializing in multifamily and commercial real estate. Headquartered in Seattle, Washington, we maintain a diversified portfolio of quality investments across the United States. With assets valued at more than $5.2 billion, this portfolio spans the spectrum of risk-adjusted investments: multi-family communities, construction and development; and structured investments. As an owner and operator of nearly 100 apartment communities nationwide, our vertically integrated structure allows us to bring value to our industry, team members, and residents through our hands-on approach to building relationships, maintaining, and growing our teams, and serving the residents living in our communities. ",,"LLC names start with ""GRE"" and Principal is John Goodman",Alice,1,Multifamily Housing,101367,ICON APARTMENTS,0.7,69,0.89,0,FALSE,50254,5247801380,2020,Multifamily MR (5-9),GRE DOWNTOWNER LLC,2,DOWNTOWN,,2017,SEATTLE,SEATTLE,98104,47.59941,-122.32857,,,Multifamily MR (5-9),84,,41.5,41.6,4011876,4000322,98.2,98.3,992039,9920,3008283,881677,0,,137771,36404,1,7,Multifamily Housing,83887,Parking,20020,Retail Store,12480,,No Issue,Compliant,,,Multifamily Housing
1001 4TH AVE,BXP ,"Boston, MA",24.6,Real Estate Investment & Management,Private Ownership,"BXP call themselves ""the largest publicly traded developer, owner, and manager of premier workplaces in the United States"". Wikipedia call them ""a publicly traded real estate investment trust that invests in premier workplaces in Boston, Los Angeles, New York City, San Francisco, Seattle, and Washington, D.C. As of June 30, 2022, the company owned or had interests in 193 commercial real estate properties...""","Committed to the planet. We believe that being green is not a choice, it’s a responsibility. As a company committed to environmentally conscious outcomes, it is our duty to ensure that we do right by our earth. NOTE: our former note that they owned the old Bon Marche bldg was based on erroneous press that conflated the Bon Marche/Macy's building sale to KKR/Urban Visions with the Safeco Plaza sale to BXP., ""If it’s not green, it’s not an investment. ","Searched company address, have the property listed in their portfolio",Alex,1,Office,754455,SAFECO PLAZA / 1001 FOURTH AVENUE,0.6,428,0.81,0,FALSE,353,942000300,2020,NonResidential,SAFECO PLAZA LLC,1,DOWNTOWN,NOT_FOUND,1969,SEATTLE,WA,98104,47.60615,-122.33388,,,Office,80,,45,46.2,41946076,40891260,117.6,120.2,4414357,44144,36476907,10690770,0,,1123435,368980,1,49,Office,895147,Parking,234689,Food Sales,12599,,No Issue,Compliant,,,Office
2801 ELLIOTT AVE,Equity Residential,"Chicago, IL",20.2,Real Estate Investment,Private Ownership,Wikipedia: Equity Residential is a publicly traded real estate investment trust that invests in apartments. Total assets        Increase $21.169 billion (2021),,"Found apartment website, leads back to them as managers (and their website indicates they are a REIT who invest in, not just manage, apartment buildings). Also, parcel owner starts with their stock symbol.Neal had, but this doesn't connect with Olympus appts, and EQR in the parcel owner does, https://www.olympusproperty.com/blog/get-to-know-olympus-founder-chandler-wonderly)",Neal,3,Multifamily Housing,409137,OLYMPUS APTS,0.6,264,0.89,0,FALSE,19748,653000480,2020,Multifamily HR (10+),EQR/LEGACY PARTNERS (1999) TOWERS,7,DOWNTOWN,328,2001,SEATTLE,WA,98121,47.61503,-122.35378,,,Multifamily HR (10+),97,,32.1,32.6,13324633,13152296,72.6,73.4,4066595,40666,9085702,2662867,0,,590869,181732,1,16,Multifamily Housing,409137,Parking,181732,,,,No Issue,Compliant,,,Multifamily Housing
719 2ND AVE,TIAA,"New York, NY",1300,Asset Management,Private Ownership,"From wikipedia, asset management with $1 trillion in combined assets under management with holdings in more than 50 countries, and the third-largest commercial real estate manager in the world. The top level org is a nonprofit, but the $$ are pretty much all in for-profit subsidiaries.  ",,TIAA subsidiary in Principals list & address is TIAA HQ in NYC,Alice,1,Office,227978,MILLENNIUM TOWER COMMERCIAL PORTION ONLY,0.6,143,0.81,0,FALSE,27145,5530500010,2020,NonResidential,TRPF MILLENNIUM TOWER LLC,1,DOWNTOWN,NOT_FOUND,2000,SEATTLE,WA,98104,47.60331,-122.33389,,,Office,75,,48.6,49.3,14198902,13995630,127.4,128.8,1440357,14404,12555273,3679740,0,,306027,78049,1,6,Office,222807,Parking,98484,Other - Lodging/Residential,59761,,No Issue,Compliant,,,Office
2025 1ST AVE,CBRE,"Dallas, TX",149.3,Seattle Real Estate - Large,Private Ownership,"""Trammell Crow Company is a global real estate development firm. It has been a subsidiary of CBRE Group since 2006. ""CBRE Group, Inc. is an American commercial real estate services and investment firm. The abbreviation CBRE stands for Coldwell Banker Richard Ellis. It is the world's largest commercial real estate services and investment firm"".  Also see https://www.cbre.com/press-releases/cbre-commits-to-net-zero-by-2040",,Property is listed on their portfolio and leasing info goes to them,Alex,3,Office,236995,MARKET PLACE TOWER,0.6,141,0.81,0,FALSE,49776,1977200471,2020,NonResidential,PRISA MARKET PLACE TOWER WA LLC % PREI LAW DEPT,1,DOWNTOWN,,1988,SEATTLE,SEATTLE,98121,47.61156,-122.34401,,,Office,,,52.4,53.6,13238675,12940317,136.1,138.9,1509220,15092,11431097,3350263,0,,386321,149326,1,13,Office,208599,Parking,149326,Multifamily Housing,38225,,No Issue,Compliant,,,Office
2400 ELLIOTT AVE,Griffis Residential,"Greenwood Village, CO",3.3,Real Estate Investment,Private Ownership,"Griffis Residential & Griffis Investments are part of Griffis Group, headed by Ian Griffis. ""Griffis Residential is a vertically integrated multifamily real estate investment firm that currently owns and manages approximately 7,000 Class-A apartment units valued at over $2.4 billion. Target markets include Denver, Seattle, Austin, Portland, Los Angeles, San Diego, and the San Francisco Bay Area. ""","""Sustainable living is at the forefront of the Griffis Residential mission. We are proud of our positive impact within our communities and continuing efforts to make our communities as environmentally friendly as possible.""","On their portfolio, website states they own and self-manage their properties",Alex,3,Multifamily Housing,214625,GRIFFIS BELLTOWN APARTMENTS,0.6,136,0.89,0,FALSE,21839,653000026,2020,Multifamily MR (5-9),2400 ELLIOTT LLC,1,DOWNTOWN,118,1990,SEATTLE,WA,98121,47.61322,-122.34984,,,Multifamily MR (5-9),89,,37.8,38.7,8297818,8111332,90,91.7,1944846,19448,6166487,1807294,0,,320651,106026,1,5,Multifamily Housing,214625,Parking,106026,Swimming Pool,0,,No Issue,Compliant,,,Multifamily Housing
2400 1ST AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Multifamily Housing,224732,BELLTOWN COURT CONDOMINIUM,0.6,126,0.89,0,FALSE,19931,699000000,2020,Multifamily MR (5-9),,1,DOWNTOWN,NOT_FOUND,1994,SEATTLE,WA,98121,47.61468,-122.34794,,,Multifamily MR (5-9),96,,37.5,38,7563176,7458356,89.1,89.8,1814808,18148,5643547,1654029,0,,224732,0,1,8,Multifamily Housing,184567,Parking,85750,Other,14222,,Account Requires Verification,Not Compliant,,,Multifamily Housing
76 CEDAR ST,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alex,3,Multifamily Housing,187139,PARC-BELLTOWN,0.6,108,0.89,0,FALSE,27304,6633050000,2020,Multifamily HR (10+),,7,DOWNTOWN,NOT_FOUND,2007,SEATTLE,WA,98121,47.61533,-122.35145,,,Multifamily HR (10+),75,,36.3,37.4,6991551,6800402,87.7,89.7,1501296,15013,5299106,1553079,0,,187139,0,1,13,Multifamily Housing,187139,,,,,,No Issue,Compliant,,,Multifamily Housing
2720 3RD AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,Searching on MOSLER LOFTS Seattle finds it's condos,,3,Multifamily Housing,175353,MOSLER LOFTS,0.6,108,0.89,0,FALSE,27260,5677000000,2020,Multifamily HR (10+),,7,DOWNTOWN,NOT_FOUND,2007,SEATTLE,WA,98121,47.61754,-122.34902,,,Multifamily HR (10+),70,,39.5,39.7,5719745,5691072,90.9,91.5,1621408,16214,4069663,1192750,0,,175353,0,1,12,Multifamily Housing,138566,Parking,6876,Other,3212,,No Issue,Compliant,,,Multifamily Housing
401 2ND AVE S,"Crossbeam Investments, LLP",Seattle,0.04,Seattle Real Estate - size undetermined,Private Ownership,"""Crossbeam Investments, LLP is a Seattle-based property management company with a portfolio of successful commercial and apartment properties located throughout the Puget Sound region. Crossbeam is led by veteran investors in the greater Seattle-Tacoma market, and our personnel have years of property and asset management experience in this region.

We deliver genuine value to both investors and tenants through a high level of professional aptitude and ethics, and an outstanding approach to customer service."" Their site doesn't include names of team or principals or even a street address for the company, no real way to figure out assets. See AUMCalculations tab for back of the envelope very conservative AUM calculation",,"All searches came up with just the one listing, for the property, on Crossbeam site. According to their site, they manage the properties. Apparently for anonymous owners. But building managment needs to take care of heating and cooling.",Alice,3,Office,160580,COURT IN THE SQUARE (Goldsmith & Northcoast),0.6,99,0.81,0,FALSE,616,5247800755,2020,NonResidential,IC U S A NO 8 PROPERTY PARTNERSHIP,1,DOWNTOWN,NOT_FOUND,1907,SEATTLE,WA,98104,47.59858,-122.33198,,,Office,64,,44.9,45.2,7251433,7206140,115.5,115.9,502859,5029,6235379,1827485,467901,,160580,0,1,7,Office,147744,Other - Restaurant/Bar,12836,,,,No Issue,Compliant,,,Office
308 OCCIDENTAL AVE S,"Martin Smith, Inc",Seattle,0.25,Seattle Real Estate - Large,Private Ownership,"Martin Smith buys and manages commercial property largely in the form of historic Seattle buildings. Their website lists 13 buildings. Back of the envelope conservative guess: 12 properties with 780K sq ft = 65K sq ft average. Most recent purchase was 30K sq ft for $8.4M in 2019. So most of their buildings are bigger, but conservatively multiplying 8.4*30=252M, so rougly 0.25B.",,,Alice,1,Office,164380,OCCIDENTAL MALL,0.6,94,0.81,0,FALSE,615,5247800695,2020,NonResidential,BURKE-STATE BLDG LLC,7,DOWNTOWN,NOT_FOUND,1900,SEATTLE,WA,98104,47.59962,-122.33247,,,Office,89,,38.5,38.9,5610685,5564612,95.6,96,582207,5822,4508003,1321220,474403,,164380,0,1,4,Office,123607,Retail Store,20795,,,,No Issue,Compliant,,,Office
2401 ELLIOTT AVE,Unico Properties,Seattle,3,Real Estate Investment & Management,Private Ownership,See AUMCalculations tab for back of the envelope very conservative AUM calculation,"""We build and improve buildings to make them more sustainable and resilient by adopting environmentally friendly strategies, equipment, and processes.""
",Unico listed as Principal,Alice,1,Office,133177,WORLD TRADE CENTER NORTH,0.6,85,0.81,0,FALSE,710,7666202320,2020,NonResidential,UCP 2401 ELLIOTT LLC,1,DOWNTOWN,NOT_FOUND,2000,SEATTLE,WA,98121,47.61287,-122.35022,,,Office,69,,111,111,15996526,15996526,310.7,310.7,0,0,15996527,4688314,0,,251044,117867,1,5,Office,131867,Data Center,12302,,,,No Issue,Compliant,,,Office
101 6TH AVE S,Security Properties,Seattle,5.9,Real Estate Investment & Management,Private Ownership,"""Since its formation in 1969, Security Properties and its partners have invested over $2.0 billion of equity in multifamily real estate, representing a portfolio value of nearly $5.9 billion.""",,"Addresses match, LLC email directs to them",Alex,1,Multifamily Housing,133638,HANA APTS,0.6,79,0.89,0,FALSE,50477,5247801526,2020,Multifamily MR (5-9),HANA PLACE SEATTLE LLC,1,DOWNTOWN,,2018,SEATTLE,SEATTLE,98104,47.60151,-122.32661,,,Multifamily MR (5-9),99,,30.9,30.9,3751742,3751742,68.7,68.7,1228462,12285,2523280,739531,0,,154250,20612,1,7,Multifamily Housing,109075,Parking,16409,Pre-school/Daycare,12528,,No Issue,Compliant,,,Multifamily Housing
2621 2ND AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Multifamily Housing,125258,HARBOUR HEIGHTS CONDOMINIUM,0.6,78,0.89,0,FALSE,23102,3110500000,2020,Multifamily HR (10+),,7,DOWNTOWN,NOT_FOUND,1980,SEATTLE,WA,98121,47.61612,-122.34973,,,Multifamily HR (10+),83,,34.3,34.9,4246564,4165350,79,80.9,1176958,11770,2988392,875848,0,,125258,0,1,18,Multifamily Housing,112950,Office,8636,Swimming Pool,0,,No Issue,Compliant,,,Multifamily Housing
2601 4TH AVE,Martin Selig Real Estate,Seattle,1.4,Seattle Real Estate - Large,Private Ownership,Owns and Leases commercial real estate properties throughout Seattle.  Martin Selig himself is worth 1.4 according to Forbes. ,,,Alice,3,Office,126370,FOURTH & VINE BLDG,0.6,72,0.81,0,FALSE,749,656000410,2020,NonResidential,SELIG HOLDINGS COMPANY LLC,7,DOWNTOWN,NOT_FOUND,1975,SEATTLE,WA,98121,47.61732,-122.34791,,,Office,88,,40.2,40.9,5099117,5007850,99.1,99.9,955078,9551,4052774,1187800,0,,150000,23630,1,8,Office,124594,Parking,20821,,,,No Issue,Compliant,,,Office
2521 WESTERN AVE,Clarion Partners,"New York, NY",82.4,Real Estate Investment & Management,Private Ownership,,,"and clearly Schuster was the developer for the property, but searching WA Corporations & Charities for Walton Lofts found an active listing COLUMBIA WASHINGTON WALTON LOFTS with a 230 Park Ave NY address. Further searching using ""2521 WESTERN AVE seattle walton lofts business journal"" found sale to Clarion Partners. and sure enough, Clarion address is 230 Park Ave.",Alice,3,Multifamily Housing,123686,WALTON LOFTS,0.6,71,0.89,0,FALSE,50029,653000195,2020,Multifamily HR (10+),COLUMBIA WASHINGTON WALTON LOFTS RESIDENTIAL PROPERTIES LLC,1,DOWNTOWN,,2014,SEATTLE,SEATTLE,98121,47.61428,-122.35056,,,Multifamily HR (10+),83,,35.9,36.3,4456200,4412427,86.3,87.3,1003398,10034,3409029,999129,0,,123686,0,1,12,Multifamily Housing,122804,Parking,33397,,,,No Issue,Compliant,,,Multifamily Housing
51 UNIVERSITY ST,Unico Properties,Seattle,3,Real Estate Investment & Management,Private Ownership,See AUMCalculations tab for back of the envelope very conservative AUM calculation,"""We build and improve buildings to make them more sustainable and resilient by adopting environmentally friendly strategies, equipment, and processes.""
","Googling ""51 university street seattle owner"" finds this entry on Unico website, then ""51 University Street Seattle Unico"" finds this BizJ article",Alice,3,Office,104823,51 UNIVERSITY (SCHWABACHER BLDG.),0.6,68,0.81,0,FALSE,712,7666202477,2020,NonResidential,TILT49 OFFICE DEVELOPERS LLC,1,DOWNTOWN,NOT_FOUND,1918,SEATTLE,WA,98101,47.60604,-122.33948,,,Office,,,37.2,37.2,3899890,3899890,95,95,0,0,3298092,966615,601798,,117182,12359,1,6,Office,68964,Adult Education,16050,Parking,12359,,No Issue,Compliant,,,Office
71 COLUMBIA ST,Stanley Real Estate,Seattle,0.04,Seattle Real Estate - size undetermined,Private Ownership,"Stanley Real Estate, Inc. is a full service commercial brokerage company specializing in brokerage, property management, development services and investment properties. Stanley Real Estate Inc., was founded by Stanley Piha in 1984 with offices in Downtown Seattle.",,"Searched company address which linked to Stanley Real Estate, property listed in their properties on the website. ",Alex,1,Office,112560,POLSON BUILDING,0.6,63,0.81,0,FALSE,715,7666202565,2020,NonResidential,POLSON HOLDINGS LLC,1,DOWNTOWN,NOT_FOUND,1910,SEATTLE,WA,98104,47.60247,-122.33621,,,Office,96,,35.5,36.4,3672662,3580964,83.3,84.3,925944,9259,2655020,778142,0,,112560,0,1,6,Office,100860,Parking,11700,,,,No Issue,Compliant,,,Office
2101 7TH AVE,Amazon,Seattle,464,"Other large busines (chain store, storage, Amazon, etc)",Private Ownership,,,"Biz Name & Principals a real business & real people, and same as previously sleuthed buildings",Alice,3,Office,1077435,DAY 1 TOWER AND SPHERES (Amazon),0.5,572,0.81,0,FALSE,50294,660000220,2020,NonResidential,ACORN DEVELOPMENT LLC,1,DOWNTOWN,,2016,SEATTLE,SEATTLE,98121,47.61586,-122.33937,,,Office,91,,42.5,42.2,52313660,52645348,110.3,110,6108492,61085,46536848,13639170,0,,1599230,521795,2,37,Office,1089066,Parking,526179,Other - Entertainment/Public Assembly,88005,,No Issue,Compliant,,,Office
