,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,OSEBuildingID,BuildingName,BuildingType,Type_of_Bulding,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,Total_sqft,percent_sqft_1st,percent_sqft_2nd,percent_sqft_3rd,LargestPropertyUseType,LargestPropertyUseType OSE,LargestPropertyUseTypeGFA,LargestPropertyUseTypeGFA Analysis,SecondLargestPropertyUseType,SecondLargestPropertyUseType OSE,SecondLargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA Analysis,ThirdLargestPropertyUseType,ThirdLargestPropertyUseType OSE,ThirdLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA Analysis,Electricity(kBtu),Steam(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,Total_GFA,sq_ft_classification
921,921,921,921,20263,STANFORD APARTMENTS,Multifamily LR (1-4),Multifamily,28700,28700,0,28700,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,28700,28700,,,0,0,,,0,0,757857,0,0,4.7,0.2,28700,E
922,922,922,922,20264,CAMPUS APT,Multifamily LR (1-4),Multifamily,22542,22542,0,22542,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,22542,22542,,,0,0,,,0,0,369040,0,211646,13.5,0.6,22542,E
923,923,923,923,20265,UNIVERSITY MANOR APARTMENTS,Multifamily MR (5-9),Multifamily,24680,24680,0,24680,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,24680,24680,,,0,0,,,0,0,495814,0,292037,18.6,0.8,24680,E
925,925,925,925,20267,LA PAZ APARTMENTS WITH STREET LEVEL RETAIL,Multifamily LR (1-4),Multifamily,47992,47992,0,48006,0.79,0.21,0.0,Worship Facility,Worship Facility,37800,37800,Other,Other,10206,10206,,,0,0,887557,0,2313146,128.3,2.7,48006,D
926,926,926,926,20273,BROOKLYN PLAZA DORM,NonResidential,NonResidential,22320,22320,0,21212,0.67,0.33,0.0,Multifamily Housing,Multifamily Housing,14206,14206,Retail Store,Retail Store,7006,7006,,,0,0,592870,0,1140964,64.3,2.9,21212,E
927,927,927,927,20274,COHO APARTMENTS,Multifamily LR (1-4),Multifamily,28572,21245,7327,22000,1.0,0.0,0.0,Residence Hall/Dormitory,Residence Hall/Dormitory,22000,22000,Parking,,7000,0,,,0,0,1135434,0,1185715,70.0,3.3,29000,E
928,928,928,928,20279,MAVERICK APT,Multifamily LR (1-4),Multifamily,26639,26639,0,26639,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,26639,26639,,,0,0,,,0,0,678834,0,0,4.2,0.2,26639,E
929,929,929,929,20280,TYEE APARTMENTS,Multifamily LR (1-4),Multifamily,34735,27671,7064,27671,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,27671,27671,,,0,0,,,0,0,806839,0,0,5.0,0.2,27671,E
930,930,930,930,20281,LEVERE APTS,Multifamily LR (1-4),Multifamily,25568,25568,0,25568,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,25568,25568,,,0,0,,,0,0,722062,0,0,4.5,0.2,25568,E
931,931,931,931,20296,LEE AND LEE APARTMENTS,Multifamily LR (1-4),Multifamily,25904,25904,0,25904,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,25904,25904,,,0,0,,,0,0,563876,0,371282,23.2,0.9,25904,E
932,932,932,932,20297,COLLEGE PLACE APARTMENTS,Multifamily MR (5-9),Multifamily,24548,24548,0,24548,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,24548,24548,,,0,0,,,0,0,723685,0,0,4.5,0.2,24548,E
937,937,937,937,20309,CARIBBEAN MANOR APT'S,Multifamily LR (1-4),Multifamily,73927,47791,26136,47791,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,47791,47791,Parking,,26136,0,,,0,0,1185193,0,0,7.3,0.2,73927,D
938,938,938,938,20310,BROXTON CONDOMINIUM,Multifamily MR (5-9),Multifamily,29683,29683,0,29683,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,29683,29683,,,0,0,,,0,0,859958,0,23633,6.6,0.2,29683,E
939,939,939,939,20311,LICTONWOOD APT SEATTLE HOUSING,Multifamily MR (5-9),Multifamily,40791,40791,0,44317,0.95,0.0,0.05,Multifamily Housing,Multifamily Housing,42077,42077,Parking,,17566,0,Medical Office,Office,2240,2240,982865,0,661600,41.2,1.0,61883,D
941,941,941,941,20316,FAIRHAVEN APTS,Multifamily LR (1-4),Multifamily,30948,30948,0,30948,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,30948,30948,,,0,0,,,0,0,639413,0,0,3.9,0.1,30948,D
942,942,942,942,20320,ISLAND VIEW APTS,Multifamily LR (1-4),Multifamily,39319,30786,8533,30786,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,30786,30786,Parking,,0,0,,,0,0,906303,0,0,5.6,0.2,30786,D
943,943,943,943,20321,CHAMBERY PARK CONDOMINIUM,Multifamily LR (1-4),Multifamily,41443,41443,0,41443,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,41443,41443,,,0,0,,,0,0,1381132,0,0,8.5,0.2,41443,D
946,946,946,946,20325,UNIVERSITY PREPARATORY ACADEMY - CAMPUS,Campus,Campus,31386,31386,0,30000,1.0,0.0,0.0,Worship Facility,Worship Facility,30000,30000,,,0,0,,,0,0,867772,0,693377,42.2,1.3,30000,E
949,949,949,949,20343,CHATILLON,Multifamily MR (5-9),Multifamily,30834,30834,0,28876,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,28876,28876,,,0,0,,,0,0,645630,0,0,4.0,0.1,28876,E
950,950,950,950,20350,Arabelle Apartments,Multifamily LR (1-4),Multifamily,21536,21536,0,19738,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,19738,19738,Parking,,6000,0,,,0,0,344467,0,379690,22.3,1.0,25738,F
951,951,951,951,20360,CINNAMON RIDGE CONDOMINIUM,Multifamily LR (1-4),Multifamily,47873,34572,13301,47873,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,47873,47873,,,0,0,,,0,0,1016035,0,0,6.3,0.2,47873,D
952,952,952,952,20361,CITADEL THE CONDOMINIUM,Multifamily LR (1-4),Multifamily,39581,39581,0,39581,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,39581,39581,,,0,0,,,0,0,818701,0,0,5.0,0.1,39581,D
953,953,953,953,20362,CITISCAPE CONDOMINIUM,Multifamily MR (5-9),Multifamily,23177,23177,0,20720,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,20720,20720,,,0,0,,,0,0,478152,0,0,2.9,0.1,20720,E
954,954,954,954,20367,CITY LIGHTS ON HARBOR CONDOMINIUM,Multifamily LR (1-4),Multifamily,54360,54360,0,45319,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,45319,45319,,,0,0,,,0,0,1459249,0,0,9.0,0.2,45319,D
958,958,958,958,20376,KIMBALL ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,Campus,29392,25558,3834,29392,1.0,0.0,0.0,Office,Office,29392,29392,Parking,,0,0,,,0,0,630349,0,161916,12.5,0.5,29392,E
962,962,962,962,20389,CANAL PLACE CONDOMINIUM,Multifamily LR (1-4),Multifamily,38784,38784,0,33652,0.5,0.5,0.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,16826,16826,Office,Office,16826,16826,,,0,0,1574650,0,313500,26.4,0.7,33652,D
963,963,963,963,20390,CANAL STATION CONDOMINIUM,Multifamily MR (5-9),Multifamily,26568,26568,0,26568,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,26568,26568,Parking,,5000,0,,,0,0,595173,0,0,3.7,0.1,31568,E
966,966,966,966,20394,PORT OF SEATTLE -MARINE MAINTENANCE SHOP,NonResidential,NonResidential,41790,41790,0,41790,0.52,0.48,0.0,Social/Meeting Hall,Entertainment/Public Assembly,21790,21790,Office,Office,20000,20000,,,0,0,1556159,0,664430,44.9,1.1,41790,D
968,968,968,968,20396,MEAVES BUILDING,NonResidential,NonResidential,39960,39960,0,39960,0.93,0.07,0.0,Office,Office,37120,37120,Other,Other,2840,2840,,,0,0,1122488,0,674006,42.7,1.1,39960,D
969,969,969,969,20397,HOTEL SEATTLE,NonResidential,NonResidential,33300,33300,0,31470,1.0,0.0,0.0,Office,Office,31470,31470,,,0,0,,,0,0,0,1390467,236763,12.6,0.4,31470,D
970,970,970,970,20398,WOMENS UNIVERSITY CLUB,NonResidential,NonResidential,36240,36240,0,36240,1.0,0.0,0.0,Hotel,Hotel,36240,36240,,,0,0,,,0,0,430120,1318900,583446,107.6,3.0,36240,D
971,971,971,971,20401,DOVER APTS,Multifamily MR (5-9),Multifamily,39320,32360,6960,39320,1.0,0.0,0.0,Social/Meeting Hall,Entertainment/Public Assembly,39320,39320,,,0,0,,,0,0,927324,0,843075,120.6,3.7,39320,D
972,972,972,972,20402,FIRST UNITED METHODIST CHURCH,NonResidential,NonResidential,41452,41452,0,41452,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,41452,41452,,,0,0,,,0,0,473148,0,1405852,77.6,1.9,41452,D
973,973,973,973,20403,PACIFIC HOTEL/APTS,Multifamily LR (1-4),Multifamily,41536,41536,0,41536,1.0,0.0,0.0,Performing Arts,Entertainment/Public Assembly,41536,41536,,,0,0,,,0,0,29656200,0,0,182.8,4.4,41536,D
974,974,974,974,20406,REYNOLDS WORK RELEASE FACILITY,NonResidential,NonResidential,45320,45320,0,45320,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,45320,45320,,,0,0,,,0,0,1274415,0,2070870,117.8,2.6,45320,D
975,975,975,975,20407,CATE APTS (LOW INCOME),Multifamily LR (1-4),Multifamily,35820,35820,0,35820,1.0,0.0,0.0,Hotel,Hotel,35820,35820,,,0,0,,,0,0,860281,0,2417164,133.7,3.7,35820,D
976,976,976,976,20415,HOLY ROSARY SCHOOL,NonResidential,NonResidential,42984,35584,7400,33068,0.97,0.0,0.03,Multifamily Housing,Multifamily Housing,32063,32063,Parking,,7400,0,Office,Office,1005,1005,1065698,0,101239,11.9,0.3,40468,D
978,978,978,978,20425,HOPE LUTHERAN CHURCH,NonResidential,NonResidential,49744,49744,0,49744,1.0,0.0,0.0,K-12 School,K-12 School,49744,49744,,,0,0,,,0,0,750872,0,2095806,115.9,2.3,49744,D
979,979,979,979,20427,LYON'S ANTIQUE MALL-WINDEREMERE-GARLIC JIMS,NonResidential,NonResidential,37816,37816,0,38108,0.51,0.49,0.0,Worship Facility,Worship Facility,19407,19407,K-12 School,K-12 School,18701,18701,,,0,0,631117,0,793873,46.1,1.2,38108,D
980,980,980,980,20428,MATADOR/JAK'S GRILL/8 LIMBS YOGA/FITNESS TOGETHER,NonResidential,NonResidential,23315,23315,0,16653,0.47,0.42,0.12,Office,Office,7758,7758,Retail Store,Retail Store,6919,6919,Restaurant,Restaurant,1976,1976,589942,0,544487,32.6,1.4,16653,F
981,981,981,981,20430,ALASKA HOUSE,Multifamily MR (5-9),Multifamily,20700,20700,0,18123,0.38,0.38,0.24,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,6900,6900,Restaurant,Restaurant,6900,6900,Other - Recreation,Entertainment/Public Assembly,4323,4323,824161,0,4567609,247.7,12.0,18123,F
984,984,984,984,20435,TRADER JOE'S,NonResidential,NonResidential,41521,28397,13124,28815,0.91,0.0,0.09,Other - Recreation,Entertainment/Public Assembly,26241,26241,Parking,,13124,0,Restaurant,Restaurant,2574,2574,1570677,0,1707094,100.3,3.5,41939,E
985,985,985,985,20437,LINK APARTMENTS,Multifamily MR (5-9),Multifamily,25762,25762,0,25762,1.0,0.0,0.0,Supermarket/Grocery Store,Supermarket/Grocery Store,25762,25762,,,0,0,,,0,0,1941282,0,0,12.0,0.5,25762,E
987,987,987,987,20440,SK FOOD GROUP/LSG SKY CHEF,NonResidential,NonResidential,60270,47785,12485,47785,1.0,0.0,0.0,Fitness Center/Health Club/Gym,Recreation,47785,47785,Parking,,0,0,Swimming Pool,Recreation,0,0,2135317,0,4888031,272.8,5.7,47785,D
988,988,988,988,20441,WEST SEATTLE ORCHARD,Multifamily LR (1-4),Multifamily,43387,43387,0,49383,1.0,0.0,0.0,Manufacturing/Industrial Plant,Other,49383,49383,,,0,0,,,0,0,2014782,0,429837,35.2,0.8,49383,D
989,989,989,989,20444,FAIRWAY APARTMENT,Multifamily LR (1-4),Multifamily,23983,23983,0,21905,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,21905,21905,,,0,0,,,0,0,454435,0,0,2.8,0.1,21905,E
990,990,990,990,20445,Brookdale West Seattle,Multifamily MR (5-9),Multifamily,29351,25891,3460,25891,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,25891,25891,Parking,,0,0,,,0,0,615418,0,0,3.8,0.1,25891,E
992,992,992,992,20452,ELIZABETH JAMES HOUSE,Multifamily LR (1-4),Multifamily,25475,25475,0,25475,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,25475,25475,,,0,0,,,0,0,190186,0,984404,53.5,2.1,25475,E
993,993,993,993,20456,THE PARKER APTS,Multifamily LR (1-4),Multifamily,40779,40779,0,40779,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,40779,40779,Parking,,0,0,,,0,0,1079931,0,0,6.7,0.2,40779,D
994,994,994,994,20470,LAKE CITY CENTER,NonResidential,NonResidential,38328,38328,0,30810,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,30810,30810,Parking,,4000,0,,,0,0,1057064,0,0,6.5,0.2,34810,D
995,995,995,995,20472,CEDAR PARK APARTMENTS,Multifamily MR (5-9),Multifamily,39350,39350,0,41183,0.47,0.47,0.06,Supermarket/Grocery Store,Supermarket/Grocery Store,19271,19271,Retail Store,Retail Store,19249,19249,Food Service,Restaurant,2663,2663,289946,0,1043058,57.2,1.5,41183,D
997,997,997,997,20480,LAKE CITY HOUSE,Multifamily MR (5-9),Multifamily,22405,22405,0,21500,0.51,0.49,0.0,Other,Other,11000,11000,Retail Store,Retail Store,10500,10500,,,0,0,1144544,0,1938090,110.0,4.9,21500,E
1001,1001,1001,1001,20494,CEDAR PARK ELEMENTARY (SPS-DISTRICT),SPS-District K-12,Campus,67624,50567,17057,49385,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,49385,49385,Parking,,8960,0,,,0,0,1481036,0,0,9.1,0.2,58345,D
1002,1002,1002,1002,20496,CEDAR POINTE OF SEATTLE CONDOMINIUM,Multifamily LR (1-4),Multifamily,32590,32590,0,32590,1.0,0.0,0.0,K-12 School,K-12 School,32590,32590,,,0,0,,,0,0,404468,0,727196,41.1,1.3,32590,D
1006,1006,1006,1006,20506,NW ART AND FRAME/HUSKY ICE CREAM,NonResidential,NonResidential,39000,39000,0,39000,1.0,0.0,0.0,Medical Office,Office,39000,39000,,,0,0,,,0,0,2178655,0,368741,33.0,0.8,39000,D
1007,1007,1007,1007,20509,APARTMENT & OFFICE/RETAIL BLDG,Multifamily LR (1-4),Multifamily,22180,22180,0,22180,0.63,0.37,0.0,Other - Mall,Retail Store,14000,14000,Restaurant,Restaurant,8180,8180,,,0,0,2589886,0,2377135,142.2,6.4,22180,E
1008,1008,1008,1008,20512,CENTRAL PARK EAST CONDOMINIUM,Multifamily LR (1-4),Multifamily,28560,22960,5600,17631,0.87,0.0,0.13,Multifamily Housing,Multifamily Housing,15418,15418,Parking,,5538,0,Office,Office,2213,2213,277244,0,564948,31.7,1.4,23169,F
1009,1009,1009,1009,20515,BEACON HILL SCHOOL (SPS-DISTRICT),SPS-District K-12,Campus,52166,52166,0,43490,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,43490,43490,,,0,0,,,0,0,1292143,0,0,8.0,0.2,43490,D
1011,1011,1011,1011,20520,ORIENTAL MEATS,NonResidential,NonResidential,25920,25920,0,25920,0.74,0.16,0.1,Distribution Center,Non-Refrigerated Warehouse,19277,19277,Refrigerated Warehouse,Refrigerated Warehouse,4051,4051,Office,Office,2592,2592,1170495,0,231197,19.5,0.8,25920,E
1012,1012,1012,1012,20522,MB WAREHOUSE LLC,NonResidential,NonResidential,25480,25480,0,25480,1.0,0.0,0.0,Refrigerated Warehouse,Refrigerated Warehouse,25480,25480,,,0,0,,,0,0,918350,0,0,5.7,0.2,25480,E
1013,1013,1013,1013,20523,IMPRESSIONS NORTHWEST,NonResidential,NonResidential,31000,31000,0,31000,1.0,0.0,0.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,31000,31000,,,0,0,,,0,0,393131,0,175427,11.7,0.4,31000,D
1014,1014,1014,1014,20525,KUSAK CUT GLASS WORKS,NonResidential,NonResidential,29740,29740,0,29740,0.63,0.37,0.0,Office,Office,18644,18644,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,11096,11096,,,0,0,1181183,0,262414,21.2,0.7,29740,E
1015,1015,1015,1015,20526,FAMILY SERVICES,NonResidential,NonResidential,23236,23236,0,23236,0.89,0.05,0.05,Distribution Center,Non-Refrigerated Warehouse,20736,20736,Office,Office,1250,1250,Retail Store,Retail Store,1250,1250,200524,0,0,1.2,0.1,23236,E
1016,1016,1016,1016,20529,CENTER PARK APTS,Multifamily MR (5-9),Multifamily,38075,38075,0,38073,0.76,0.16,0.07,Office,Office,29035,29035,K-12 School,K-12 School,6213,6213,Retail Store,Retail Store,2825,2825,3054522,0,112096,24.8,0.7,38073,D
1018,1018,1018,1018,20532,TENNIS CENTER,Nonresidential COS,NonResidential,39170,39170,0,35500,1.0,0.0,0.0,Office,Office,35500,35500,,,0,0,,,0,0,773958,0,1153279,66.0,1.7,35500,D
1020,1020,1020,1020,20541,MYCON'S USED CARS,NonResidential,NonResidential,34542,25514,9028,25514,0.83,0.0,0.17,Multifamily Housing,Multifamily Housing,21169,21169,Parking,,9028,0,Office,Office,4345,4345,543954,0,545117,32.3,1.3,34542,E
1021,1021,1021,1021,20542,THE CRESTVIEW,Multifamily LR (1-4),Multifamily,20047,20047,0,20047,1.0,0.0,0.0,Other - Services,Services,20047,20047,,,0,0,,,0,0,164970,0,0,1.0,0.1,20047,E
1022,1022,1022,1022,20543,Andover Court Apartments,Multifamily LR (1-4),Multifamily,37080,37080,0,37080,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,37080,37080,,,0,0,,,0,0,1155557,0,0,7.1,0.2,37080,D
1023,1023,1023,1023,20552,OLD WESTERN STEEL CASTING CO,NonResidential,NonResidential,22108,22108,0,21772,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,21772,21772,,,0,0,,,0,0,886299,0,0,5.5,0.2,21772,E
1024,1024,1024,1024,20564,SWEETBRIAR APTS (MIXED USE),Multifamily LR (1-4),Multifamily,20000,20000,0,20000,1.0,0.0,0.0,Retail Store,Retail Store,20000,20000,,,0,0,,,0,0,572155,0,0,3.5,0.2,20000,F
1026,1026,1026,1026,20570,EDEN HILL (NEW MIX-USE),Multifamily LR (1-4),Multifamily,25159,25159,0,25883,1.0,0.0,0.0,Supermarket/Grocery Store,Supermarket/Grocery Store,25883,25883,Parking,,0,0,,,0,0,4846842,0,4075010,246.3,9.8,25883,E
1027,1027,1027,1027,20573,QUEEN ANNE COMMUNITY CENTER,Nonresidential COS,NonResidential,83175,51203,31972,42167,0.0,0.69,0.31,Parking,,31108,0,Multifamily Housing,Multifamily Housing,29143,29143,Retail Store,Retail Store,13024,13024,1950043,0,700438,49.2,1.0,73275,D
1028,1028,1028,1028,20577,PARK VISTA APARTMENTS,Multifamily MR (5-9),Multifamily,27247,27247,0,25809,1.0,0.0,0.0,Other - Recreation,Entertainment/Public Assembly,25809,25809,,,0,0,,,0,0,861293,0,3237319,177.2,6.5,25809,E
1030,1030,1030,1030,20586,BUCKLEY APTS,Multifamily LR (1-4),Multifamily,29848,23293,6555,30629,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,30629,30629,,,0,0,,,0,0,1084517,0,0,6.7,0.3,30629,D
1031,1031,1031,1031,20834,REMI APTS,Multifamily LR (1-4),Multifamily,34455,31455,3000,31455,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,31455,31455,Parking,,0,0,,,0,0,266600,0,1801131,97.3,3.1,31455,D
1032,1032,1032,1032,20594,BOYLSTON PLACE,Multifamily LR (1-4),Multifamily,54721,36900,17821,0,0.0,0.0,0.0,,,0,0,,,0,0,,,0,0,0,0,0,0.0,0.0,0,F
1033,1033,1033,1033,20597,LANCASTER APTS,Multifamily LR (1-4),Multifamily,28038,21723,6315,28038,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,28038,28038,Parking,,6300,0,,,0,0,693889,0,0,4.3,0.2,34338,E
1034,1034,1034,1034,20604,WAREHOUSE,NonResidential,NonResidential,24939,24939,0,24939,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,24939,24939,,,0,0,,,0,0,619089,0,0,3.8,0.2,24939,E
1035,1035,1035,1035,20605,VISKO BUILDING,NonResidential,NonResidential,26680,26680,0,33987,1.0,0.0,0.0,Distribution Center,Non-Refrigerated Warehouse,33987,33987,,,0,0,,,0,0,545314,0,0,3.4,0.1,33987,D
1036,1036,1036,1036,20613,QFC WAREHOUSE,NonResidential,NonResidential,31521,31521,0,31521,1.0,0.0,0.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,31521,31521,,,0,0,,,0,0,718243,0,1038932,59.6,1.9,31521,D
1037,1037,1037,1037,20614,J C WRIGHT SALES COMPANY,NonResidential,NonResidential,24000,24000,0,24000,1.0,0.0,0.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,24000,24000,,,0,0,,,0,0,439725,0,859568,48.4,2.0,24000,E
1038,1038,1038,1038,20620,C.C. FILSON,NonResidential,NonResidential,21900,21900,0,21900,1.0,0.0,0.0,Self-Storage Facility,Self-Storage Facility,21900,21900,,,0,0,,,0,0,76782,0,1457682,77.9,3.6,21900,E
1039,1039,1039,1039,20622,THE NOBLE APARTMENTS,Multifamily MR (5-9),Multifamily,35579,35579,0,35579,1.0,0.0,0.0,Distribution Center,Non-Refrigerated Warehouse,35579,35579,,,0,0,,,0,0,499480,0,882241,49.9,1.4,35579,D
1041,1041,1041,1041,20626,ALASKAN COPPER AND BRASS CO,NonResidential,NonResidential,40505,25885,14620,25770,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,25770,25770,Parking,,14545,0,,,0,0,715938,0,0,4.4,0.2,40315,E
1042,1042,1042,1042,20630,CANTERBURY SHORES CONDOMINIUM,Multifamily LR (1-4),Multifamily,49950,49950,0,49950,1.0,0.0,0.0,Distribution Center,Non-Refrigerated Warehouse,49950,49950,,,0,0,,,0,0,506726,0,0,3.1,0.1,49950,D
1044,1044,1044,1044,20645,STEVENS ELEMENTARY (SPS-DISTRICT),SPS-District K-12,Campus,66885,61715,5170,44900,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,44900,44900,Parking,,5170,0,,,0,0,1353631,0,0,8.3,0.1,50070,D
1047,1047,1047,1047,20658,CARLETON HOUSE CONDOMINIUM,Multifamily MR (5-9),Multifamily,34924,29492,5432,29492,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,29492,29492,Parking,,5432,0,,,0,0,578457,0,0,3.6,0.1,34924,E
1049,1049,1049,1049,20667,CHE SENH MINH,Multifamily LR (1-4),Multifamily,22612,22612,0,22612,1.0,0.0,0.0,Worship Facility,Worship Facility,22612,22612,,,0,0,,,0,0,158972,0,629597,34.4,1.5,22612,E
1050,1050,1050,1050,20668,CARRARA CONDOMINIUM,Multifamily MR (5-9),Multifamily,27076,27076,0,27076,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,27076,27076,,,0,0,,,0,0,683033,0,0,4.2,0.2,27076,E
1051,1051,1051,1051,20675,CASCADE CONDOMINIUM,Multifamily MR (5-9),Multifamily,48150,48150,0,48150,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,48150,48150,,,0,0,,,0,0,1317578,0,3706,8.3,0.2,48150,D
1053,1053,1053,1053,20686,LAKE CITY MINI STORAGE,NonResidential,NonResidential,38787,38787,0,38787,1.0,0.0,0.0,Automobile Dealership,Retail Store,38787,38787,Parking,,0,0,,,0,0,2301956,0,1396630,88.4,2.3,38787,D
1055,1055,1055,1055,20710,QUALMAN APTS,Multifamily LR (1-4),Multifamily,30545,30545,0,30545,0.77,0.23,0.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,23545,23545,Office,Office,7000,7000,,,0,0,458119,0,2100362,114.4,3.7,30545,D
1056,1056,1056,1056,20712,PARAMOUNT APTS,Multifamily LR (1-4),Multifamily,25248,25248,0,25248,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,25248,25248,,,0,0,,,0,0,187770,0,1657348,89.2,3.5,25248,E
1057,1057,1057,1057,20714,BANCROFT APTS,Multifamily LR (1-4),Multifamily,28380,28380,0,28380,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,28380,28380,,,0,0,,,0,0,585974,0,104663,9.2,0.3,28380,E
1058,1058,1058,1058,20720,NARADA APTS,Multifamily MR (5-9),Multifamily,24783,24783,0,24783,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,24783,24783,,,0,0,,,0,0,173062,0,1327911,71.6,2.9,24783,E
1059,1059,1059,1059,20724,THE PARK ON HIGHLAND DRIVE,Multifamily LR (1-4),Multifamily,40572,37767,2805,37767,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,37767,37767,Parking,,2805,0,,,0,0,826088,0,451444,29.1,0.8,40572,D
1060,1060,1060,1060,20726,QUEEN ANNE HEIGHTS,Multifamily MR (5-9),Multifamily,26044,26044,0,26044,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,26044,26044,,,0,0,,,0,0,511066,0,587678,34.4,1.3,26044,E
1061,1061,1061,1061,20730,THE Q APARTMENTS,Multifamily MR (5-9),Multifamily,36926,36926,0,36926,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,36926,36926,,,0,0,,,0,0,1382218,0,0,8.5,0.2,36926,D
1063,1063,1063,1063,20732,Carlyle,Multifamily LR (1-4),Multifamily,35070,28284,6786,35070,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,35070,35070,Parking,,6786,0,,,0,0,260236,0,2015447,108.6,3.8,41856,D
1064,1064,1064,1064,20734,HILLCREST MANOR,Multifamily LR (1-4),Multifamily,21376,21376,0,21376,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,21376,21376,,,0,0,,,0,0,171374,0,1242832,67.1,3.1,21376,E
1065,1065,1065,1065,20735,ST ANNE SCHOOL,NonResidential,NonResidential,28940,26678,2262,28940,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,28940,28940,Parking,,2262,0,,,0,0,225796,0,1602793,86.5,3.2,31202,E
1066,1066,1066,1066,20741,WEST TOWN VIEW APTS,Multifamily MR (5-9),Multifamily,32691,32691,0,33550,1.0,0.0,0.0,K-12 School,K-12 School,33550,33550,,,0,0,,,0,0,447243,0,717149,40.8,1.2,33550,D
1067,1067,1067,1067,20743,ST ANNE CHURCH & RECTORY,NonResidential,NonResidential,40758,40758,0,40758,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,40758,40758,,,0,0,,,0,0,1306870,0,0,8.1,0.2,40758,D
1068,1068,1068,1068,20747,QUEEN ANNE COURT APTS,Multifamily LR (1-4),Multifamily,24227,24227,0,26210,1.0,0.0,0.0,Worship Facility,Worship Facility,26210,26210,,,0,0,,,0,0,143655,0,1015026,54.8,2.3,26210,E
1069,1069,1069,1069,20749,GALER CREST APTS & RETAIL,Multifamily LR (1-4),Multifamily,24540,24540,0,24540,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,24540,24540,,,0,0,,,0,0,431982,0,296808,18.4,0.8,24540,E
