,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,BuildingName,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,Address,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,TotalGHGEmissions__metric_tons_,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI_kBtu_sf_,SiteEUIWN_kBtu_sf_,SiteEnergyUse_kBtu_,SiteEnergyUseWN_kBtu_,SourceEUI_kBtu_sf_,SourceEUIWN_kBtu_sf_,GHGEmissionsIntensityKgSqFt,NaturalGas_kBtu_,NaturalGas_therms_,Electricity_kBtu_,Electricity_kWh_,SteamUse_kBtu_,OtherFuelUse_kBtu_,PropertyGFATotal,PropertyGFABuilding_s_,PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType,electric_co2_m3_kwh
849,27594,5479650000,2020,Multifamily LR (1-4),MERRILL PLACE RESIDENTIAL CONDOMINIUM,,2,DOWNTOWN,NOT_FOUND,1905,97 S JACKSON ST,SEATTLE,WA,98104,47.59903,-122.33461,,,Multifamily LR (1-4),2.0,,,18.5,19.2,394677,381617,51.9,53.7,0.1,0,0,381617,111846,0,0,20583,20583,0,1,3,Multifamily Housing,20583,,,,,,No Issue,Compliant,,,Multifamily Housing,1.7881730236217656e-05
851,50049,6599950000,2020,Multifamily LR (1-4),PACIFIC CENTER CONDOMINIUM,,2,DOWNTOWN,,2000,321 10TH AVE S,SEATTLE,SEATTLE,98104,47.5998,-122.32034,,,Multifamily LR (1-4),5.8,83,,24.6,25.0,1117269,1096528,68.8,70.1,0.1,0,0,1096528,321374,0,0,44650,44650,0,1,4,Multifamily Housing,44650,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8047508510333754e-05
855,19519,86000000,2020,Multifamily MR (5-9),ASIA CONDOMINIUM,,2,DOWNTOWN,NOT_FOUND,2002,668 S LANE ST,SEATTLE,WA,98104,47.59696,-122.32412,,,Multifamily MR (5-9),10.6,,,29.8,30.1,2008910,1992910,83.5,84.1,0.2,0,0,1992910,584089,0,0,66849,66849,0,1,7,Multifamily Housing,66849,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8147919238335252e-05
860,21349,1978200960,2020,Multifamily MR (5-9),HILLTOP COURT APTS,PACIFIC SUN NORTHWEST INC,3,EAST,52,1987,1314 SPRING ST,SEATTLE,WA,98104,47.61152,-122.32301,,,Multifamily MR (5-9),6.4,,,28.5,29.0,1227507,1206966,79.8,81.2,0.2,0,0,1206966,353741,0,0,42331,42331,0,1,5,Multifamily Housing,42331,,,,,,No Issue,Compliant,,,Multifamily Housing,1.809233309115992e-05
861,21811,2285430000,2020,Multifamily MR (5-9),80 SOUTH JACKSON BUILDING CONDOMINIUM,,7,DOWNTOWN,NOT_FOUND,1900,317 1ST AVE S,SEATTLE,WA,98104,47.59942,-122.33459,,,Multifamily MR (5-9),5.3,,,27.6,28.6,1041335,1005944,77.3,80.0,0.1,0,0,1005944,294825,0,0,48092,48092,0,1,5,Multifamily Housing,28366,Parking,8082,Retail Store,8082,,No Issue,Compliant,,,Multifamily Housing,1.797676587806326e-05
862,22351,2585000000,2020,Multifamily MR (5-9),FLORENTINE CONDOMINIUM,,2,DOWNTOWN,NOT_FOUND,1909,536 1ST AVE S,SEATTLE,WA,98104,47.59731,-122.33369,,,Multifamily MR (5-9),20.3,87,,22.8,23.2,3876076,3825708,64.0,64.8,0.1,0,0,3825708,1121251,0,0,201656,201656,0,1,6,Multifamily Housing,152893,Retail Store,14536,,,,No Issue,Compliant,,,Multifamily Housing,1.8104777610008822e-05
864,23162,8170100420,2020,Multifamily MR (5-9),LESCHI HOUSE,HOUSING AUTHORITY OF CITY OF S,2,DOWNTOWN,70,1988,1011 S WELLER ST,SEATTLE,WA,98104,47.59718,-122.31895,,,Multifamily MR (5-9),10.0,82,,27.3,28.0,1921857,1871735,76.3,78.4,0.1,0,0,1871735,548574,0,0,68669,68669,0,1,6,Multifamily Housing,68669,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8229081217848457e-05
866,23184,8590400465,2020,Multifamily MR (5-9),ZINDORF APTS,ZINDORF 7 TH AVENUE LLC,3,EAST,75,1911,714 7TH AVE,SEATTLE,WA,98104,47.60601,-122.32756,,,Multifamily MR (5-9),5.7,97,,33.9,34.4,1094402,1078230,94.8,96.2,0.2,0,0,1078230,316011,0,0,30985,30985,0,1,5,Multifamily Housing,31841,Parking,0,,,,No Issue,Compliant,,,Multifamily Housing,1.8037346801218944e-05
867,23290,8590400890,2020,Multifamily MR (5-9),Frederic Ozanam House/ WESTLAKE II,WESTLAKE II HOUSING LLC,1,EAST,56,2009,801 9TH AVE,SEATTLE,WA,98104,47.60707,-122.32651,,,Multifamily MR (5-9),7.5,38,,69.2,70.1,1425627,1407148,193.7,196.2,0.3,0,0,1407148,412411,0,0,32489,27397,5092,1,6,Multifamily Housing,20346,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8185741893402455e-05
869,23307,8590900485,2020,Multifamily MR (5-9),PORTICO APTS,PL FIRTH LLC,3,EAST,47,1999,404 TERRY AVE,SEATTLE,WA,98104,47.60486,-122.32224,,,Multifamily MR (5-9),5.2,98,,22.8,23.1,990702,977460,63.7,64.6,0.1,0,0,977461,286477,0,0,57042,42952,14090,1,6,Multifamily Housing,42952,Parking,14090,,,,No Issue,Compliant,,,Multifamily Housing,1.8151544452085158e-05
871,23552,8653700000,2020,Multifamily MR (5-9),TOBIRA,,2,DOWNTOWN,NOT_FOUND,2001,108 5TH AVE S,SEATTLE,WA,98104,47.6015,-122.32722,,,Multifamily MR (5-9),10.0,100,,23.8,24.2,1901572,1874309,66.7,67.7,0.1,0,0,1874309,549329,0,0,109284,109284,0,1,7,Multifamily Housing,78669,Parking,30615,,,,No Issue,Compliant,,,Multifamily Housing,1.820402709487393e-05
874,25655,5247800335,2020,Multifamily MR (5-9),SEATTLE QUILT BUILDING,SEATTLE 316 FIRST LLC,1,DOWNTOWN,22,1905,316 1ST AVE S,SEATTLE,WA,98104,47.59946,-122.3338,,,Multifamily MR (5-9),4.0,98,,18.7,19.3,772565,747540,52.3,54.0,0.1,0,0,747540,219091,0,0,50120,43460,6660,1,7,Multifamily Housing,22853,Office,10631,Retail Store,6544,,No Issue,Compliant,,,Multifamily Housing,1.8257253835164383e-05
875,25819,5247802570,2020,Multifamily MR (5-9),705 LOFTS,ARDA LLC,2,DOWNTOWN,40,2006,705 S WELLER ST,SEATTLE,WA,98104,47.59739,-122.32354,,,Multifamily MR (5-9),6.2,,,32.0,32.5,1185485,1168479,89.7,91.0,0.2,0,0,1168479,342462,0,0,46951,35028,11923,1,6,Multifamily Housing,35425,Parking,12600,Office,1050,,No Issue,Compliant,,,Multifamily Housing,1.8104198422014704e-05
876,26598,5247800660,2020,Multifamily MR (5-9),LUCKNOW/WATERFALL PLACE APTS,NAFICY INVESTMENTS INC,7,DOWNTOWN,24,1900,215 2ND AVE S,SEATTLE,WA,98104,47.60038,-122.33196,,,Multifamily MR (5-9),3.5,87,,24.5,25.4,680907,656630,68.7,71.2,0.1,0,0,656629,192447,0,0,38765,36485,2280,1,5,Multifamily Housing,26759,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8186825463634145e-05
882,26843,5247802005,2020,Multifamily MR (5-9),METROPOLITAN PARK APARTMENTS,SEA WASHINGTON 2010 LLC,2,DOWNTOWN,83,1991,601 S WASHINGTON ST,SEATTLE,WA,98104,47.60071,-122.3257,,,Multifamily MR (5-9),10.1,99,,19.5,19.8,1938560,1906571,54.6,55.5,0.2,0,0,1906571,558784,0,0,97737,58015,39722,1,5,Multifamily Housing,97737,Parking,35340,,,,No Issue,Compliant,,,Multifamily Housing,1.8074962776314283e-05
885,26995,5247802325,2020,Multifamily MR (5-9),MILWAUKEE APARTMENTS,MILWAUKEE LLC,2,DOWNTOWN,120,1911,664 S KING ST,SEATTLE,WA,98104,47.59861,-122.32413,,,Multifamily MR (5-9),8.1,100,,25.4,25.8,1552380,1526307,71.0,72.2,0.1,0,0,1526307,447335,0,0,81120,81120,0,1,5,Multifamily Housing,43203,Parking,9534,Retail Store,9495,,No Issue,Compliant,,,Multifamily Housing,1.8107235069914046e-05
887,27089,6093100000,2020,Multifamily MR (5-9),NINE CHERRY SQUARE,,1,EAST,NOT_FOUND,1969,905 CHERRY ST,SEATTLE,WA,98104,47.6062,-122.32503,,,Multifamily MR (5-9),6.7,41,,45.4,46.1,1274069,1254049,127.1,129.1,0.2,0,0,1254049,367541,0,0,27627,27627,0,1,7,Multifamily Housing,27627,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8229258776571865e-05
892,50093,9822000080,2020,Multifamily MR (5-9),RETAIL & RESIDENTIAL BUILDING,YESLER TERRACE OWNERS ASSOCIATION,3,EAST,,2015,820 YESLER WAY,SEATTLE,SEATTLE,98104,47.60189,-122.32182,,,Multifamily MR (5-9),11.7,89,,27.5,28.0,2233033,2194516,77.1,78.4,0.2,0,0,2194516,643176,0,0,86045,77137,8908,1,6,Multifamily Housing,78359,Parking,8126,Other - Public Services,1369,,No Issue,Compliant,,,Multifamily Housing,1.8190977275271464e-05
897,50659,8590900291,2020,Multifamily MR (5-9),YESLER TERRACE - RED CEDAR,,1,EAST,,2018,808 FIR ST,SEATTLE,SEATTLE,98104,47.60285,-122.32193,,,Multifamily MR (5-9),24.3,82,,30.7,31.3,4665288,4570076,86.0,87.8,0.2,0,0,4570077,1339413,0,0,175415,153883,21532,1,7,Multifamily Housing,148826,Parking,21532,,,,No Issue,Compliant,,,Multifamily Housing,1.814227575811195e-05
904,26720,5247801115,2020,NonResidential,SEATTLE LIGHTING FIXTURE COMPANY,UNION INVESTORS L L C C/O B M HARLAN,7,DOWNTOWN,NOT_FOUND,1906,222 2ND AV ET S,SEATTLE,WA,98104,47.59986,-122.32987,,,Non-Refrigerated Warehouse,6.8,32,,29.3,29.3,1274345,1274345,82.1,82.1,0.2,0,0,1274344,373489,0,0,43484,43484,0,1,4,Non-Refrigerated Warehouse,26416,Retail Store,9531,Office,7537,,No Issue,Compliant,,,Other,1.8206694173054628e-05
905,27141,5391600310,2020,NonResidential,TSUE CHONG FOODS,KEN LOUIE PROPERTIES L L C,2,DOWNTOWN,NOT_FOUND,1992,800 S WELLER ST,SEATTLE,WA,98104,47.59775,-122.32219,,,Non-Refrigerated Warehouse,8.2,18,,46.5,46.5,1544981,1544981,130.2,130.2,0.2,0,0,1544981,452808,0,0,33238,33238,0,1,3,Non-Refrigerated Warehouse,33238,,,,,,No Issue,Compliant,,,Other,1.8109220685146903e-05
908,619,5247801160,2020,Nonresidential COS,KING STREET STATION-BNRR/AMTRAK,SEATTLE CITY OF,1,DOWNTOWN,NOT_FOUND,1906,301 S JACKSON ST,SEATTLE,WA,98104,47.59871,-122.3299,,,Transportation Terminal/Station,12.7,,,36.5,37.1,2428786,2391643,101.6,103.2,0.1,0,0,2391643,700950,0,0,85595,85595,0,1,3,Transportation Terminal/Station,42174,Other - Entertainment/Public Assembly,10239,Office,9616,,No Issue,Compliant,,,Services,1.811826806476924e-05
909,26594,5247800535,2020,NonResidential,Walker Building,UNICO BOP KORN WALKER LLC,1,DOWNTOWN,NOT_FOUND,1900,107 OCCIDENTAL AVE S,SEATTLE,WA,98104,47.60135,-122.33327,,,Convenience Store without Gas Station,3.2,,,33.4,32.9,704573,715557,84.0,82.6,0.1,0,0,598807,175500,0,0,21420,21420,0,1,1,Convenience Store without Gas Station,11033,Bar/Nightclub,7036,Restaurant,3351,,No Issue,Compliant,,,Retail Store,1.8233618233618233e-05
917,20242,1142000445,2020,NonResidential,THE COLLEGIANA (UW MED),WASHINGTON UNIVERSITY OF BOARD OF REGENTS THE,4,NORTHEAST,NOT_FOUND,1930,4311 12TH AVE NE,SEATTLE,WA,98105,47.66023,-122.31581,,,Hotel,3.3,96,,30.5,31.2,641936,627482,85.4,87.4,0.2,0,0,627482,183904,0,0,20571,20571,0,1,3,Hotel,20571,,,,,,No Issue,Compliant,,,Hotel,1.7944144771184965e-05
918,25694,4092301550,2020,NonResidential,CENTURYLINK: CAMPUS CO,,4,NORTHEAST,NOT_FOUND,1962,801 NE 42ND ST,SEATTLE,WA,98105,47.65729,-122.31937,,,Other,27.1,,,188.4,188.4,5089708,5089708,527.4,527.4,0.9,0,0,5089708,1491708,0,0,28586,28586,0,1,2,Other,27022,,,,,,No Issue,Compliant,,,Other,1.816709436431259e-05
919,50373,1142000400,2020,NonResidential,WSECU PLAZA- SEATTLE,SEATTLE CITY OF,1,NORTHEAST,,2018,1121 NE 45TH ST,SEATTLE,SEATTLE,98105,47.66107,-122.31565,,,Other,6.5,,,18.9,19.3,1257932,1230328,52.9,54.1,0.1,0,0,1230328,360589,0,0,97512,68142,29370,1,7,Other,50605,Parking,29370,Financial Office,9100,,No Issue,Compliant,,,Other,1.802606291373281e-05
921,364,1142000280,2020,NonResidential,UW TOWER BLDG COMPLEX,WASHINGTON UNIVERSITY OF BOARD OF REGENTS THE,1,NORTHEAST,NOT_FOUND,1971,4333 BROOKLYN AVE NE,SEATTLE,WA,98105,47.66072,-122.31466,,,Office,146.6,70,,58.1,59.7,28329122,27573478,162.7,167.2,0.3,0,0,27573477,8081324,0,0,474546,474546,0,4,23,Office,474546,,,,,,No Issue,Compliant,,,Office,1.814059181391564e-05
923,367,1142000530,2020,NonResidential,4311 11th Avenue NE,4300 ROOSEVELT COMMONS OWNER WA LLC,1,NORTHEAST,NOT_FOUND,2002,4311 11TH AVE NE,SEATTLE,WA,98105,47.66065,-122.31689,,,Office,19.5,79,,38.2,38.2,3661444,3661444,106.9,106.9,0.2,0,0,3661444,1073108,0,0,135051,90803,44248,1,6,Office,95943,Parking,42500,,,,No Issue,Compliant,,,Office,1.8171516753206573e-05
924,368,1142000550,2020,NonResidential,4300 ROOSEVELT,4300 ROOSEVELT COMMONS OWNER WA LLC,1,NORTHEAST,NOT_FOUND,2002,4300 ROOSEVELT WAY NE,SEATTLE,WA,98105,47.65999,-122.31741,,,Office,27.1,92,,35.0,35.3,5143220,5095644,97.9,98.8,0.2,0,0,5095645,1493448,0,0,220649,137929,82720,1,5,Office,145754,Parking,90000,,,,No Issue,Compliant,,,Office,1.814592808052239e-05
927,24488,7974700160,2020,NonResidential,HAWTHORNE HILLS PROF CENTER,SPRINGTREE PROFESSIONAL LLC,4,NORTHEAST,NOT_FOUND,1967,4026 NE 55TH ST,SEATTLE,WA,98105,47.66888,-122.28333,,,Office,2.7,,,24.5,25.1,509118,498407,68.7,70.2,0.1,0,0,498407,146075,0,0,20317,20317,0,1,2,Office,20317,,,,,,No Issue,Compliant,,,Office,1.8483655656340922e-05
928,26528,8816400975,2020,NonResidential,4701 University Way Bldg,EXCHANGE FACILITATOR CORP,4,NORTHEAST,NOT_FOUND,1957,4701 UNIVERSITY WAY NE,SEATTLE,WA,98105,47.66345,-122.3134,,,Office,6.2,44,,55.4,56.6,1187362,1161548,155.2,158.6,0.3,0,0,1161549,340430,0,0,27966,20962,7004,1,1,Office,20962,Parking,7004,,,,No Issue,Compliant,,,Office,1.8212260964074848e-05
929,26761,4206900485,2020,NonResidential,NORTH LAKE OFFICE BUILDING,THOMAS NORTHLAKE LLC,4,LAKE UNION,NOT_FOUND,2007,100 NE NORTHLAKE WAY,SEATTLE,WA,98105,47.65373,-122.32721,,,Office,12.7,16,,91.2,91.2,2397454,2397454,255.4,255.4,0.5,0,0,2397454,702654,0,0,44510,26282,18228,1,3,Office,26282,Parking,18228,,,,No Issue,Compliant,,,Office,1.807432961315242e-05
938,365,1142000290,2020,NonResidential,UW TOWER DATA CENTER,WASHINGTON UNIVERSITY OF BOARD OF REGENTS THE,1,NORTHEAST,NOT_FOUND,1969,4310 12TH AVE NE,SEATTLE,WA,98105,47.6606,-122.31512,,,Data Center,174.4,98,,910.9,910.9,32791080,32791080,2550.4,2550.4,4.8,0,0,32791081,9610516,0,0,36000,36000,0,1,5,Data Center,36000,,,,,,No Issue,Compliant,,,Other,1.8146788372237246e-05
952,20237,1142000160,2020,NonResidential,RETAIL,SADE ELEANOR,4,NORTHEAST,NOT_FOUND,1900,4315 UNIVERSITY WAY NE,SEATTLE,WA,98105,47.66033,-122.31348,,,Retail Store,4.3,86,,24.8,24.6,810707,817358,69.4,68.9,0.1,0,0,817358,239554,0,0,32960,32960,0,1,3,Retail Store,32960,,,,,,No Issue,Compliant,,,Retail Store,1.7950023794217586e-05
955,50479,1890000155,2020,NonResidential,WALLINGFORD MIXED USE BLDG (BEDROOMS & MORE),GARFIELD FAMILY LLC,1,LAKE UNION,,2018,324 NE 45TH ST,SEATTLE,SEATTLE,98105,47.66146,-122.32429,,,Retail Store,1.7,,,14.7,14.7,326077,326077,41.0,41.0,0.1,0,0,326077,95568,0,0,24158,22256,1902,1,4,Retail Store,20476,Parking,1902,Multifamily Housing,1780,,No Issue,Compliant,,,Retail Store,1.7788381048049555e-05
956,21594,2119000000,2020,Multifamily MR (5-9),DUNCAN PLACE,,4,NORTHEAST,NOT_FOUND,2008,4547 8TH AVE NE,SEATTLE,WA,98105,47.66268,-122.31985,,,Unclassified,0.0,,,,,,,,,0.0,0,0,0,0,0,0,50803,50803,0,1,6,,,,,,,,Contact the Help Desk,Not Compliant,,,Other,
957,26400,8816400270,2020,Multifamily LR (1-4),RIVENDELL APTS,RIVENDELL PROPCO LLC,1,NORTHEAST,24,1999,4719 15TH AVE NE,SEATTLE,WA,98105,47.66367,-122.31228,,,Unclassified,0.0,,,,,,,,,0.0,0,0,0,0,0,0,34962,22184,12778,1,4,,,,,,,,Portfolio Manager Account Not Shared,Not Compliant,,,Other,
958,26402,8816400325,2020,Multifamily MR (5-9),LOTHLORIEN APARTMENTS,LOTHLORIEN PROPCO LLC,1,NORTHEAST,138,2007,4719 UNIVERSITY WAY NE,SEATTLE,WA,98105,47.66382,-122.31345,,,Unclassified,0.0,,,,,,,,,0.0,0,0,0,0,0,0,130600,97205,33395,1,7,,,,,,,,Portfolio Manager Account Not Shared,Not Compliant,,,Other,
961,24252,7933000005,2020,NonResidential,SPRINGBROOK BLDG,SPRINGBROOK BUILDING LLC,4,NORTHEAST,NOT_FOUND,1984,4540 SAND POINT WAY NE,SEATTLE,WA,98105,47.66169,-122.28558,,,Medical Office,6.8,31,,58.9,59.4,1290849,1280646,164.9,166.2,0.2,0,0,1280646,375336,0,0,45264,27642,17622,1,4,Medical Office,21743,,,,,,No Issue,Compliant,,,Other,1.811710041136475e-05
962,24253,7933000005,2020,NonResidential,SPRINGBROOK BLDG LLC 4540,SPRINGBROOK BUILDING LLC,4,NORTHEAST,NOT_FOUND,1987,4500 SAND POINT WAY NE,SEATTLE,WA,98105,47.66159,-122.28606,,,Medical Office,14.4,,,98.1,98.1,2711747,2711747,274.7,274.7,0.6,0,0,2711747,794768,0,0,36932,22356,14576,2,4,Medical Office,27642,,,,,,No Issue,Compliant,,,Other,1.8118494957018905e-05
965,284,8823902255,2020,NonResidential,UNIV CONGREGATIONAL CHURCH,,1,NORTHEAST,NOT_FOUND,1952,4505 16TH AVE NE,SEATTLE,WA,98105,47.66182,-122.31113,,,Worship Facility,4.5,,,,,,,,,0.1,0,0,837933,245584,0,0,56772,56772,0,1,2,Worship Facility,56772,,,,,,Missing 2020 EUI or Electricity Data,Not Compliant,,,Worship Facility,1.8323669294416574e-05
972,49799,1142002345,2020,NonResidential,UW - ETHNIC CULTURAL CENTER,WASHINGTON UNIVERSITY OF BOARD OF REGENTS,4,NORTHEAST,,2013,3931 BROOKLYN AVE NE,SEATTLE,SEATTLE,98105,47.65448,-122.31446,,,College/University,5.2,,,108.7,111.5,1003786,978727,304.5,312.3,0.2,0,0,978727,286848,0,0,29935,29935,0,1,3,College/University,9000,,,,,,No Issue,Compliant,,,College/University,1.812806782686301e-05
986,26997,5335200281,2020,NonResidential,4545 ROOSEVELT WAY NE,UNIVERSITY CENTER LLC,1,NORTHEAST,NOT_FOUND,1999,4545 ROOSEVELT WAY NE,SEATTLE,WA,98105,47.6622,-122.31779,,,Mixed Use Property,33.9,6,,193.7,193.7,6377570,6377570,542.3,542.3,0.7,0,0,6377571,1869159,0,0,91100,50000,41100,1,6,Office,15758,Supermarket/Grocery Store,10370,K-12 School,6800,,Default Data,Not Compliant,,,Mixed Use Property,1.8136498821127576e-05
992,19846,925049417,2020,Multifamily LR (1-4),BLAKELEY MANOR,HOUSING AUTHORITY CITY SEATTLE,4,NORTHEAST,70,1984,2401 NE BLAKELEY ST,SEATTLE,WA,98105,47.6657,-122.3017,,,Multifamily LR (1-4),9.2,65,,29.0,29.7,1773595,1730478,81.1,83.1,0.2,0,0,1730478,507174,0,0,57856,57856,0,1,4,Multifamily Housing,59742,,,,,,No Issue,Compliant,,,Multifamily Housing,1.813973113763718e-05
993,20005,854500000,2020,Multifamily LR (1-4),BLAKELEY PLACE CONDOMINIUM,,4,NORTHEAST,NOT_FOUND,1997,2301 NE BLAKELEY ST,SEATTLE,WA,98105,47.66508,-122.30253,,,Multifamily LR (1-4),2.9,70,,22.8,23.2,552396,542094,63.8,65.0,0.1,0,0,542094,158879,0,0,23794,23794,0,1,4,Multifamily Housing,23794,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8252884270419628e-05
994,20027,925049079,2020,Multifamily LR (1-4),IVY RIDGE,TYLEE II LLC,4,NORTHEAST,150,1999,4730 21ST AVE NE,SEATTLE,WA,98105,47.66377,-122.30488,,,Multifamily LR (1-4),14.2,89,,29.2,29.8,2725934,2672623,81.7,83.3,0.2,0,0,2672623,783301,0,0,147443,91617,55826,1,3,Multifamily Housing,91617,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8128407853430546e-05
995,20028,925049084,2020,Multifamily LR (1-4),PACIFIC SUNRISE,ABSAROKA HOLDINGS LLC,1,NORTHEAST,51,1988,4612 22ND AVE NE,SEATTLE,WA,98105,47.66232,-122.30394,,,Multifamily LR (1-4),7.5,100,,26.8,27.7,1459534,1410221,75.0,77.6,0.1,0,0,1410221,413312,0,0,65103,52654,12449,1,4,Multifamily Housing,52654,Parking,12449,,,,No Issue,Compliant,,,Multifamily Housing,1.8146097863115515e-05
996,20037,925049143,2020,Multifamily LR (1-4),BAYVIEW APTS,LOS ROBLES LLC+BAYVIEW MANAGER LLC,4,NORTHEAST,27,1960,2233 NE 46TH ST,SEATTLE,WA,98105,47.66156,-122.30314,,,Multifamily LR (1-4),3.4,68,,29.8,30.5,655635,641864,83.5,85.3,0.2,0,0,641864,188120,0,0,21528,21528,0,1,4,Multifamily Housing,21528,,,,,,No Issue,Compliant,,,Multifamily Housing,1.807357006166277e-05
998,20179,1025049103,2020,Multifamily LR (1-4),LEWISON PLACE APARTMENTS,LEWISON APARTMENTS LLC,1,NORTHEAST,30,1966,4740 40TH AVE NE,SEATTLE,WA,98105,47.66415,-122.28447,,,Multifamily LR (1-4),4.0,,,29.7,30.5,767123,745426,83.0,85.4,0.2,0,0,745425,218472,0,0,25137,25137,0,1,3,Multifamily Housing,25137,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8308982386758945e-05
999,20234,1142000120,2020,Multifamily LR (1-4),BARTELL'S AND APARTMENTS,BENNETT RICHARD ARTHUR+ROBERTA LEE,1,NORTHEAST,16,1909,4346 UNIVERSITY WAY NE,SEATTLE,WA,98105,47.66112,-122.31285,,,Multifamily LR (1-4),2.7,,,25.4,25.0,507085,514370,71.1,70.1,0.1,0,0,514370,150753,0,0,20260,20260,0,1,4,Multifamily Housing,12640,Retail Store,7620,,,,No Issue,Compliant,,,Multifamily Housing,1.7910091341465844e-05
1000,20243,1142000450,2020,Multifamily LR (1-4),LA MIRADA APARTMENTS,DLK LIMITED LIABILITY COMPANY,4,NORTHEAST,40,1956,1120 NE 43RD ST,SEATTLE,WA,98105,47.65998,-122.31579,,,Multifamily LR (1-4),3.4,93,,26.6,27.4,650323,632026,74.5,76.7,0.1,0,0,632026,185236,0,0,23742,23742,0,1,4,Multifamily Housing,23742,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8354963398043576e-05
1001,20251,1142000805,2020,Multifamily LR (1-4),FORDE APARTMENTS,FORTY TWO THIRTY ONE LLC,4,NORTHEAST,25,1981,4231 12TH AVE NE,SEATTLE,WA,98105,47.65915,-122.31579,,,Multifamily LR (1-4),2.9,82,,26.1,26.8,567475,552442,73.0,75.0,0.1,0,0,552442,161911,0,0,24492,21176,3316,1,3,Multifamily Housing,21176,,,,,,No Issue,Compliant,,,Multifamily Housing,1.7911074602713836e-05
1002,20258,1142000955,2020,Multifamily LR (1-4),WELLESLEY APARTMENTS,ROSE FAMILY LLC JAMES B,4,NORTHEAST,38,1925,4203 BROOKLYN AVE NE,SEATTLE,WA,98105,47.65847,-122.3147,,,Multifamily LR (1-4),4.5,64,,29.5,30.5,875628,847337,82.7,85.4,0.2,0,0,847337,248340,0,0,28700,28700,0,1,3,Multifamily Housing,28700,,,,,,No Issue,Compliant,,,Multifamily Housing,1.812031891761295e-05
1006,20274,1142001475,2020,Multifamily LR (1-4),COHO APARTMENTS,KENNEDY DON D,4,NORTHEAST,41,1964,4120 BROOKLYN AVE NE,SEATTLE,WA,98105,47.65755,-122.31406,,,Multifamily LR (1-4),3.6,91,,25.7,26.3,700466,685704,72.1,73.6,0.1,0,0,685704,200968,0,0,26639,26639,0,1,4,Multifamily Housing,26639,,,,,,No Issue,Compliant,,,Multifamily Housing,1.791329962979181e-05
1007,20279,1142001535,2020,Multifamily LR (1-4),MAVERICK APT,BROOKLYN MAVERICK LLC,1,NORTHEAST,40,1963,4131 BROOKLYN AVE NE,SEATTLE,WA,98105,47.65766,-122.31471,,,Multifamily LR (1-4),4.3,80,,29.0,29.8,825285,803189,81.3,83.5,0.2,0,0,803189,235401,0,0,34735,27671,7064,1,4,Multifamily Housing,27671,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8266702350457305e-05
1008,20280,1142001560,2020,Multifamily LR (1-4),TYEE APARTMENTS,SEATTLE UNIVERSITY DISTRICT LP,1,NORTHEAST,48,1963,4115 BROOKLYN AVE NE,SEATTLE,WA,98105,47.6573,-122.31474,,,Multifamily LR (1-4),3.9,94,,28.3,28.8,737102,724231,79.3,80.7,0.2,0,0,724231,212260,0,0,25568,25568,0,1,4,Multifamily Housing,25568,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8373692641100537e-05
1010,20296,1142001770,2020,Multifamily LR (1-4),LEE AND LEE APARTMENTS,LEE FANG AN+YU LING,4,NORTHEAST,51,1941,4145 11TH AVE NE,SEATTLE,WA,98105,47.65807,-122.31713,,,Multifamily LR (1-4),3.3,98,,25.6,26.4,648490,627241,71.5,74.0,0.1,0,0,627241,183834,0,0,24548,24548,0,1,3,Multifamily Housing,24548,,,,,,No Issue,Compliant,,,Multifamily Housing,1.7950977512320897e-05
1011,20340,1525049011,2020,Multifamily LR (1-4),LAURELHURST APTS,VILLAGE MANOR LLC,4,NORTHEAST,42,1961,3913 NE 45TH ST,SEATTLE,WA,98105,47.66085,-122.28577,,,Multifamily LR (1-4),3.7,95,,24.1,24.8,715378,695255,67.4,69.4,0.1,0,0,695255,203768,0,0,30834,30834,0,4,4,Multifamily Housing,28876,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8157905068509287e-05
